feature_a,feature_b,feature_c,feature_d,outcome
1.23,45.6,cat1,typeA,0
-0.87,78.2,cat2,typeB,1
2.45,32.1,cat3,typeA,1
-1.34,56.7,cat1,typeC,0
0.56,89.3,cat2,typeA,1
-2.11,23.4,cat3,typeB,0
1.78,67.8,cat1,typeC,1
-0.45,91.2,cat2,typeA,0
2.89,12.5,cat3,typeB,1
-1.67,54.3,cat1,typeC,0
0.92,76.4,cat2,typeA,1
-2.34,38.9,cat3,typeB,0
1.45,82.1,cat1,typeC,1
-0.78,45.6,cat2,typeA,0
2.12,63.7,cat3,typeB,1
-1.89,29.4,cat1,typeC,0
0.67,71.8,cat2,typeA,1
-2.56,41.2,cat3,typeB,0
1.91,58.5,cat1,typeC,1
-0.34,86.9,cat2,typeA,0
2.67,19.3,cat3,typeB,1
-1.23,52.7,cat1,typeC,0
0.89,79.1,cat2,typeA,1
-2.01,35.6,cat3,typeB,0
1.56,68.4,cat1,typeC,1
-0.67,92.8,cat2,typeA,0
2.34,26.2,cat3,typeB,1
-1.45,61.5,cat1,typeC,0
0.78,84.7,cat2,typeA,1
-2.23,43.1,cat3,typeB,0
1.12,73.9,cat1,typeC,1
-0.56,31.4,cat2,typeA,0
2.78,59.6,cat3,typeB,1
-1.91,87.2,cat1,typeC,0
0.45,22.8,cat2,typeA,1
-2.67,66.5,cat3,typeB,0
1.34,94.3,cat1,typeC,1
-0.89,38.7,cat2,typeA,0
2.56,55.1,cat3,typeB,1
-1.12,81.9,cat1,typeC,0
0.23,27.4,cat2,typeA,1
-2.45,63.8,cat3,typeB,0
1.67,90.2,cat1,typeC,1
-0.12,44.6,cat2,typeA,0
2.89,70.5,cat3,typeB,1
-1.56,16.3,cat1,typeC,0
0.34,83.7,cat2,typeA,1
-2.78,49.1,cat3,typeB,0
1.89,75.8,cat1,typeC,1
-0.45,21.5,cat2,typeA,0
2.23,58.9,cat3,typeB,1
-1.78,86.4,cat1,typeC,0
0.56,33.2,cat2,typeA,1
-2.12,69.7,cat3,typeB,0
1.45,95.1,cat1,typeC,1
-0.67,41.8,cat2,typeA,0
2.01,64.3,cat3,typeB,1
-1.34,19.6,cat1,typeC,0
0.78,77.9,cat2,typeA,1
-2.56,52.4,cat3,typeB,0
1.23,88.7,cat1,typeC,1
-0.89,35.1,cat2,typeA,0
2.67,71.5,cat3,typeB,1
-1.45,24.8,cat1,typeC,0
0.12,60.2,cat2,typeA,1
-2.34,93.6,cat3,typeB,0
1.78,46.9,cat1,typeC,1
-0.23,82.3,cat2,typeA,0
2.45,28.7,cat3,typeB,1
-1.67,65.1,cat1,typeC,0
0.89,91.8,cat2,typeA,1
-2.01,37.4,cat3,typeB,0
1.56,74.2,cat1,typeC,1
-0.34,20.9,cat2,typeA,0
2.78,56.5,cat3,typeB,1
-1.89,85.7,cat1,typeC,0
0.45,42.1,cat2,typeA,1
-2.23,78.4,cat3,typeB,0
1.12,14.6,cat1,typeC,1
-0.78,61.8,cat2,typeA,0
2.34,97.3,cat3,typeB,1
-1.23,48.5,cat1,typeC,0
0.67,84.9,cat2,typeA,1
-2.67,31.2,cat3,typeB,0
1.91,67.6,cat1,typeC,1
-0.45,93.1,cat2,typeA,0
2.56,39.8,cat3,typeB,1
-1.12,76.4,cat1,typeC,0
0.23,22.7,cat2,typeA,1
-2.89,59.1,cat3,typeB,0
1.67,95.5,cat1,typeC,1
-0.56,45.2,cat2,typeA,0
2.12,81.8,cat3,typeB,1
-1.78,27.6,cat1,typeC,0
0.89,64.3,cat2,typeA,1
-2.45,90.7,cat3,typeB,0
1.34,36.9,cat1,typeC,1
-0.67,73.4,cat2,typeA,0
2.01,19.1,cat3,typeB,1
-1.56,55.8,cat1,typeC,0
0.78,92.2,cat2,typeA,1
-2.34,38.5,cat3,typeB,0
1.45,75.1,cat1,typeC,1
-0.12,21.8,cat2,typeA,0
2.89,58.4,cat3,typeB,1
-1.91,85.9,cat1,typeC,0
0.34,44.6,cat2,typeA,1
-2.78,81.2,cat3,typeB,0
1.89,27.5,cat1,typeC,1
-0.89,63.8,cat2,typeA,0
2.23,96.4,cat3,typeB,1
-1.34,42.1,cat1,typeC,0
