transaction_id,amount,customer_id,region
EAST-1001,175.25,C-EAST-001,East
EAST-1002,89.00,C-EAST-002,East
EAST-1003,450.75,C-EAST-003,East
EAST-1004,234.50,C-EAST-004,East
EAST-1005,678.90,C-EAST-005,East
EAST-1006,123.45,C-EAST-006,East
EAST-1007,567.80,C-EAST-007,East
EAST-1008,901.25,C-EAST-008,East
EAST-1009,345.60,C-EAST-009,East
EAST-1010,789.30,C-EAST-010,East
EAST-1011,456.75,C-EAST-011,East
EAST-1012,234.90,C-EAST-012,East
EAST-1013,678.15,C-EAST-013,East
EAST-1014,890.50,C-EAST-014,East
EAST-1015,123.80,C-EAST-015,East
EAST-1016,567.25,C-EAST-016,East
EAST-1017,901.60,C-EAST-017,East
EAST-1018,345.95,C-EAST-018,East
EAST-1019,789.40,C-EAST-019,East
EAST-1020,456.85,C-EAST-020,East
EAST-1021,234.70,C-EAST-021,East
EAST-1022,678.30,C-EAST-022,East
EAST-1023,890.65,C-EAST-023,East
EAST-1024,123.95,C-EAST-024,East
EAST-1025,567.40,C-EAST-025,East
EAST-1026,901.75,C-EAST-026,East
EAST-1027,345.20,C-EAST-027,East
EAST-1028,789.55,C-EAST-028,East
EAST-1029,456.90,C-EAST-029,East
EAST-1030,234.35,C-EAST-030,East
EAST-1031,678.60,C-EAST-031,East
EAST-1032,890.85,C-EAST-032,East
EAST-1033,123.50,C-EAST-033,East
EAST-1034,567.95,C-EAST-034,East
EAST-1035,901.30,C-EAST-035,East
EAST-1036,345.75,C-EAST-036,East
EAST-1037,789.20,C-EAST-037,East
EAST-1038,456.65,C-EAST-038,East
EAST-1039,234.10,C-EAST-039,East
EAST-1040,678.45,C-EAST-040,East
EAST-1041,890.70,C-EAST-041,East
EAST-1042,123.35,C-EAST-042,East
EAST-1043,567.80,C-EAST-043,East
EAST-1044,901.15,C-EAST-044,East
EAST-1045,345.50,C-EAST-045,East
EAST-1046,789.85,C-EAST-046,East
EAST-1047,456.20,C-EAST-047,East
EAST-1048,234.95,C-EAST-048,East
EAST-1049,678.70,C-EAST-049,East
EAST-1050,890.25,C-EAST-050,East
