transaction_id,amount,customer_id,timestamp,region,payment_method,store_id
3001,299,7001,2023-03-05 11:20:15,West,credit,W01
3002,1050,7002,2023-03-05 13:40:50,West,debit,W02
3003,75,7003,2023-03-05 14:15:30,West,cash,W01
3004,450,7004,2023-03-06 09:25:45,West,credit,W03
3005,825,7005,2023-03-06 10:50:20,West,debit,W01
3006,199,7006,2023-03-06 12:30:10,West,cash,W02
3007,1250,7007,2023-03-07 08:45:35,West,credit,W01
3008,340,7008,2023-03-07 11:20:55,West,debit,W03
3009,625,7009,2023-03-07 14:05:40,West,cash,W02
3010,890,7010,2023-03-08 09:15:25,West,credit,W01
3011,175,7011,2023-03-08 10:40:15,West,debit,W02
3012,550,7012,2023-03-08 13:25:50,West,cash,W03
3013,925,7013,2023-03-09 08:30:20,West,credit,W01
3014,410,7014,2023-03-09 11:15:45,West,debit,W02
3015,780,7015,2023-03-09 14:50:30,West,cash,W01
3016,1150,7016,2023-03-10 09:05:15,West,credit,W03
3017,265,7017,2023-03-10 10:35:40,West,debit,W01
3018,695,7018,2023-03-10 12:20:25,West,cash,W02
3019,850,7019,2023-03-11 08:55:50,West,credit,W01
3020,425,7020,2023-03-11 11:30:15,West,debit,W03
3021,990,7021,2023-03-11 13:45:35,West,cash,W02
3022,315,7022,2023-03-12 09:20:10,West,credit,W01
3023,1075,7023,2023-03-12 10:55:45,West,debit,W02
3024,540,7024,2023-03-12 14:10:20,West,cash,W03
3025,875,7025,2023-03-13 08:40:55,West,credit,W01
3026,390,7026,2023-03-13 11:25:30,West,debit,W02
3027,720,7027,2023-03-13 13:50:15,West,cash,W01
3028,1200,7028,2023-03-14 09:15:40,West,credit,W03
3029,485,7029,2023-03-14 10:45:25,West,debit,W01
3030,655,7030,2023-03-14 12:30:50,West,cash,W02
3031,925,7031,2023-03-15 08:20:15,West,credit,W01
3032,375,7032,2023-03-15 11:05:40,West,debit,W03
3033,810,7033,2023-03-15 14:35:25,West,cash,W02
3034,1100,7034,2023-03-16 09:50:10,West,credit,W01
3035,520,7035,2023-03-16 11:20:55,West,debit,W02
