transaction_id,amount,customer_id,timestamp,region
TXN-A001,99.99,5001,2023-02-10 09:15:30,South
TXN-A002,250.50,5002,2023-02-10 10:22:45,South
TXN-A003,1299.95,5003,2023-02-10 11:30:15,South
TXN-B245,450.75,5004,2023-02-10 13:45:00,South
TXN-B246,89.99,5005,2023-02-10 14:20:30,South
TXN-C890,175.25,5006,2023-02-10 15:10:45,South
TXN-C891,599.00,5007,2023-02-10 16:35:20,South
TXN-D123,2100.50,5008,2023-02-11 08:15:10,South
TXN-D124,350.00,5009,2023-02-11 09:40:25,South
TXN-E456,125.99,5010,2023-02-11 10:55:30,South
TXN-E457,875.50,5011,2023-02-11 11:20:45,South
TXN-F789,1500.00,5012,2023-02-11 12:30:15,South
TXN-F790,299.99,5013,2023-02-11 13:45:50,South
TXN-G012,425.75,5014,2023-02-11 14:10:30,South
TXN-G013,650.00,5015,2023-02-11 15:25:20,South
TXN-H345,199.95,5016,2023-02-11 16:40:15,South
TXN-H346,1800.25,5017,2023-02-12 08:05:30,South
TXN-I678,95.50,5018,2023-02-12 09:15:45,South
TXN-I679,550.00,5019,2023-02-12 10:30:20,South
TXN-J901,725.99,5020,2023-02-12 11:45:10,South
TXN-J902,310.50,5021,2023-02-12 12:55:30,South
TXN-K234,1450.00,5022,2023-02-12 14:10:45,South
TXN-K235,189.99,5023,2023-02-12 15:20:15,South
TXN-L567,899.95,5024,2023-02-12 16:35:50,South
TXN-L568,425.00,5025,2023-02-13 08:15:20,South
TXN-M890,675.50,5026,2023-02-13 09:30:40,South
TXN-M891,1250.75,5027,2023-02-13 10:45:15,South
TXN-N123,350.25,5028,2023-02-13 11:55:30,South
TXN-N124,525.99,5029,2023-02-13 13:10:45,South
TXN-O456,2500.00,5030,2023-02-13 14:25:20,South
TXN-O457,145.50,5031,2023-02-13 15:40:10,South
TXN-P789,799.95,5032,2023-02-13 16:50:35,South
TXN-P790,950.00,5033,2023-02-14 08:20:15,South
TXN-Q012,375.75,5034,2023-02-14 09:35:40,South
TXN-Q013,1675.50,5035,2023-02-14 10:50:25,South
TXN-R345,225.99,5036,2023-02-14 12:05:30,South
TXN-R346,850.00,5037,2023-02-14 13:20:45,South
TXN-S678,495.25,5038,2023-02-14 14:35:15,South
TXN-S679,1125.99,5039,2023-02-14 15:45:50,South
TXN-T901,625.50,5040,2023-02-14 16:55:20,South
