transaction_id,amount,customer_id,timestamp,region
1001,150,CUST001,2023-01-15 10:30:00,North
1002,299,CUST002,2023-01-15 11:45:00,North
1003,1200,CUST003,2023-01-15 13:20:00,North
1004,450,CUST004,2023-01-15 14:55:00,North
1005,875,CUST005,2023-01-15 16:10:00,North
1006,320,CUST006,2023-01-16 09:15:00,North
1007,680,CUST007,2023-01-16 10:40:00,North
1008,1500,CUST008,2023-01-16 11:25:00,North
1009,240,CUST009,2023-01-16 13:50:00,North
1010,950,CUST010,2023-01-16 15:30:00,North
1011,410,CUST011,2023-01-17 08:20:00,North
1012,720,CUST012,2023-01-17 09:45:00,North
1013,1850,CUST013,2023-01-17 11:10:00,North
1014,380,CUST014,2023-01-17 12:35:00,North
1015,560,CUST015,2023-01-17 14:00:00,North
1016,920,CUST016,2023-01-18 08:30:00,North
1017,1100,CUST017,2023-01-18 10:15:00,North
1018,470,CUST018,2023-01-18 11:50:00,North
1019,650,CUST019,2023-01-18 13:25:00,North
1020,890,CUST020,2023-01-18 15:40:00,North
1021,340,CUST021,2023-01-19 09:05:00,North
1022,1300,CUST022,2023-01-19 10:30:00,North
1023,520,CUST023,2023-01-19 12:15:00,North
1024,780,CUST024,2023-01-19 14:00:00,North
1025,1450,CUST025,2023-01-19 15:45:00,North
1026,290,CUST026,2023-01-20 08:10:00,North
1027,830,CUST027,2023-01-20 09:55:00,North
1028,1600,CUST028,2023-01-20 11:20:00,North
1029,420,CUST029,2023-01-20 13:35:00,North
1030,970,CUST030,2023-01-20 15:10:00,North
1031,350,CUST031,2023-01-21 08:45:00,North
1032,710,CUST032,2023-01-21 10:20:00,North
1033,1250,CUST033,2023-01-21 12:05:00,North
1034,490,CUST034,2023-01-21 13:40:00,North
1035,860,CUST035,2023-01-21 15:25:00,North
1036,380,CUST036,2023-01-22 09:00:00,North
1037,1050,CUST037,2023-01-22 10:35:00,North
1038,620,CUST038,2023-01-22 12:10:00,North
1039,940,CUST039,2023-01-22 13:55:00,North
1040,1720,CUST040,2023-01-22 15:30:00,North
1041,430,CUST041,2023-01-23 08:15:00,North
1042,750,CUST042,2023-01-23 09:50:00,North
1043,1380,CUST043,2023-01-23 11:35:00,North
1044,510,CUST044,2023-01-23 13:20:00,North
1045,880,CUST045,2023-01-23 15:05:00,North
