Id,AccountId,Amount,StageName
006xx000005DGb2AAG,001xx000003DGb2AAG,50000.00,Closed Won
006xx000005DGb3AAG,001xx000003DGb3AAG,125000.50,Prospecting
006xx000005DGb4AAG,001xx000003DGb2AAG,,Closed Won
006xx000005DGb5AAG,001xx000003DGb4AAG,75000,Closed Lost
006xx000005DGb6AAG,001xx000003DGb5AAG,200000.00,Closed Won
006xx000005DGb7AAG,001xx000003DGb6AAG,45000.00,Qualification
006xx000005DGb8AAG,001xx000003DGb7AAG,89000.50,Closed Won
006xx000005DGb9AAG,001xx000003DGb8AAG,156000.00,Negotiation
006xx000005DGbAAAG,001xx000003DGb9AAG,32000.00,Prospecting
006xx000005DGbBAAG,001xx000003DGbAAAG,98000.00,Closed Won
006xx000005DGbCAAG,001xx000003DGbBAAG,67000.50,Proposal
006xx000005DGbDAAG,001xx000003DGbCAAG,112000.00,Closed Won
006xx000005DGbEAAG,001xx000003DGbDAAG,,Prospecting
006xx000005DGbFAAG,001xx000003DGbEAAG,145000.00,Closed Lost
006xx000005DGbGAAG,001xx000003DGbFAAG,88000.00,Closed Won
006xx000005DGbHAAG,001xx000003DGb2AAG,54000.50,Qualification
006xx000005DGbIAAG,001xx000003DGb3AAG,76000.00,Closed Won
006xx000005DGbJAAG,001xx000003DGb4AAG,123000.00,Negotiation
006xx000005DGbKAAG,001xx000003DGb5AAG,91000.50,Closed Won
006xx000005DGbLAAG,001xx000003DGb6AAG,45000.00,Prospecting
006xx000005DGbMAAG,001xx000003DGb7AAG,234000.00,Closed Won
006xx000005DGbNAAG,001xx000003DGb8AAG,67000.00,Closed Lost
006xx000005DGbOAAG,001xx000003DGb9AAG,89000.50,Proposal
006xx000005DGbPAAG,001xx000003DGbAAAG,156000.00,Closed Won
006xx000005DGbQAAG,001xx000003DGbBAAG,43000.00,Qualification
006xx000005DGbRAAG,001xx000003DGbCAAG,78000.50,Closed Won
006xx000005DGbSAAG,001xx000003DGbDAAG,112000.00,Negotiation
006xx000005DGbTAAG,001xx000003DGbEAAG,95000.00,Closed Won
006xx000005DGbUAAG,001xx000003DGbFAAG,,Closed Won
006xx000005DGbVAAG,001xx000003DGb2AAG,134000.00,Prospecting
006xx000005DGbWAAG,001xx000003DGb3AAG,87000.50,Closed Won
006xx000005DGbXAAG,001xx000003DGb4AAG,145000.00,Closed Lost
006xx000005DGbYAAG,001xx000003DGb5AAG,98000.00,Qualification
006xx000005DGbZAAG,001xx000003DGb6AAG,176000.50,Closed Won
006xx000005DGc0AAG,001xx000003DGb7AAG,54000.00,Proposal
006xx000005DGc1AAG,001xx000003DGb8AAG,89000.00,Closed Won
006xx000005DGc2AAG,001xx000003DGb9AAG,123000.50,Negotiation
006xx000005DGc3AAG,001xx000003DGbAAAG,67000.00,Closed Won
006xx000005DGc4AAG,001xx000003DGbBAAG,198000.00,Closed Lost
006xx000005DGc5AAG,001xx000003DGbCAAG,45000.50,Prospecting
006xx000005DGc6AAG,001xx000003DGbDAAG,234000.00,Closed Won
006xx000005DGc7AAG,001xx000003DGbEAAG,87000.00,Qualification
006xx000005DGc8AAG,001xx000003DGbFAAG,156000.50,Closed Won
006xx000005DGc9AAG,001xx000003DGb2AAG,78000.00,Proposal
006xx000005DGcAAAG,001xx000003DGb3AAG,112000.00,Closed Won
006xx000005DGcBAAG,001xx000003DGb4AAG,,Prospecting
006xx000005DGcCAAG,001xx000003DGb5AAG,145000.50,Closed Won
006xx000005DGcDAAG,001xx000003DGb6AAG,89000.00,Negotiation
006xx000005DGcEAAG,001xx000003DGb7AAG,134000.00,Closed Won
006xx000005DGcFAAG,001xx000003DGb8AAG,67000.50,Closed Lost
006xx000005DGcGAAG,001xx000003DGb9AAG,98000.00,Qualification
006xx000005DGcHAAG,001xx000003DGbAAAG,176000.00,Closed Won
006xx000005DGcIAAG,001xx000003DGbBAAG,54000.50,Proposal
006xx000005DGcJAAG,001xx000003DGbCAAG,123000.00,Closed Won
006xx000005DGcKAAG,001xx000003DGbDAAG,87000.00,Prospecting
006xx000005DGcLAAG,001xx000003DGbEAAG,145000.50,Closed Won
006xx000005DGcMAAG,001xx000003DGbFAAG,78000.00,Negotiation
006xx000005DGcNAAG,001xx000003DGb2AAG,198000.00,Closed Lost
006xx000005DGcOAAG,001xx000003DGb3AAG,234000.50,Closed Won
006xx000005DGcPAAG,001xx000003DGb4AAG,45000.00,Qualification
006xx000005DGcQAAG,001xx000003DGb5AAG,89000.00,Proposal
006xx000005DGcRAAG,001xx000003DGb6AAG,156000.50,Closed Won
006xx000005DGcSAAG,001xx000003DGb7AAG,67000.00,Prospecting
006xx000005DGcTAAG,001xx000003DGb8AAG,112000.00,Closed Won
006xx000005DGcUAAG,001xx000003DGb9AAG,,Closed Lost
006xx000005DGcVAAG,001xx000003DGbAAAG,98000.50,Negotiation
006xx000005DGcWAAG,001xx000003DGbBAAG,134000.00,Closed Won
006xx000005DGcXAAG,001xx000003DGbCAAG,87000.00,Qualification
006xx000005DGcYAAG,001xx000003DGbDAAG,176000.50,Closed Won
006xx000005DGcZAAG,001xx000003DGbEAAG,54000.00,Proposal
006xx000005DGd0AAG,001xx000003DGbFAAG,145000.00,Closed Lost
006xx000005DGd1AAG,001xx000003DGb2AAG,123000.50,Closed Won
006xx000005DGd2AAG,001xx000003DGb3AAG,78000.00,Prospecting
006xx000005DGd3AAG,001xx000003DGb4AAG,198000.00,Closed Won
006xx000005DGd4AAG,001xx000003DGb5AAG,89000.50,Negotiation
006xx000005DGd5AAG,001xx000003DGb6AAG,234000.00,Closed Won
006xx000005DGd6AAG,001xx000003DGb7AAG,67000.00,Qualification
006xx000005DGd7AAG,001xx000003DGb8AAG,112000.50,Proposal
006xx000005DGd8AAG,001xx000003DGb9AAG,156000.00,Closed Won
006xx000005DGd9AAG,001xx000003DGbAAAG,45000.00,Prospecting
006xx000005DGdAAAG,001xx000003DGbBAAG,87000.50,Closed Won
006xx000005DGdBAAG,001xx000003DGbCAAG,,Closed Lost
006xx000005DGdCAAG,001xx000003DGbDAAG,134000.00,Negotiation
006xx000005DGdDAAG,001xx000003DGbEAAG,98000.00,Closed Won
006xx000005DGdEAAG,001xx000003DGbFAAG,176000.50,Qualification
006xx000005DGdFAAG,001xx000003DGb2AAG,54000.00,Proposal
006xx000005DGdGAAG,001xx000003DGb3AAG,123000.00,Closed Won
006xx000005DGdHAAG,001xx000003DGb4AAG,89000.50,Prospecting
006xx000005DGdIAAG,001xx000003DGb5AAG,145000.00,Closed Won
006xx000005DGdJAAG,001xx000003DGb6AAG,78000.00,Closed Lost
006xx000005DGdKAAG,001xx000003DGb7AAG,198000.50,Negotiation
006xx000005DGdLAAG,001xx000003DGb8AAG,67000.00,Qualification
006xx000005DGdMAAG,001xx000003DGb9AAG,234000.00,Closed Won
006xx000005DGdNAAG,001xx000003DGbAAAG,112000.50,Proposal
006xx000005DGdOAAG,001xx000003DGbBAAG,87000.00,Closed Won
006xx000005DGdPAAG,001xx000003DGbCAAG,156000.00,Prospecting
006xx000005DGdQAAG,001xx000003DGbDAAG,45000.50,Closed Won
006xx000005DGdRAAG,001xx000003DGbEAAG,98000.00,Negotiation
006xx000005DGdSAAG,001xx000003DGbFAAG,134000.50,Closed Lost
006xx000005DGdTAAG,001xx000003DGb2AAG,176000.00,Closed Won
006xx000005DGdUAAG,001xx000003DGb3AAG,54000.00,Qualification
006xx000005DGdVAAG,001xx000003DGb4AAG,123000.50,Proposal
006xx000005DGdWAAG,001xx000003DGb5AAG,89000.00,Closed Won
006xx000005DGdXAAG,001xx000003DGb6AAG,145000.00,Prospecting
006xx000005DGdYAAG,001xx000003DGb7AAG,78000.50,Closed Won
006xx000005DGdZAAG,001xx000003DGb8AAG,198000.00,Negotiation
006xx000005DGe0AAG,001xx000003DGb9AAG,67000.00,Closed Lost
006xx000005DGe1AAG,001xx000003DGbAAAG,112000.50,Qualification
006xx000005DGe2AAG,001xx000003DGbBAAG,234000.00,Closed Won
006xx000005DGe3AAG,001xx000003DGbCAAG,87000.00,Proposal
006xx000005DGe4AAG,001xx000003DGbDAAG,156000.50,Closed Won
006xx000005DGe5AAG,001xx000003DGbEAAG,45000.00,Prospecting
006xx000005DGe6AAG,001xx000003DGbFAAG,98000.00,Closed Won
006xx000005DGe7AAG,001xx000003DGb2AAG,134000.50,Negotiation
006xx000005DGe8AAG,001xx000003DGb3AAG,176000.00,Closed Won
006xx000005DGe9AAG,001xx000003DGb4AAG,54000.00,Closed Lost
006xx000005DGeAAAG,001xx000003DGb5AAG,123000.50,Qualification
006xx000005DGeBAAG,001xx000003DGb6AAG,89000.00,Proposal
006xx000005DGeCAAG,001xx000003DGb7AAG,145000.00,Closed Won
006xx000005DGeDAAG,001xx000003DGb8AAG,78000.50,Prospecting
006xx000005DGeEAAG,001xx000003DGb9AAG,198000.00,Closed Won
