transaction_id|customer_id|transaction_date|amount|product_category|payment_method|status|store_location
TXN000001|CUST12345|2024-01-15 14:23:45|125.50|Electronics|Credit Card|Completed|New York
TXN000002|CUST67890|2024-01-15 14:25:12|89.99|Clothing|Debit Card|Completed|
TXN000003|CUST11223|2024-01-15 14:27:33|250.00||Cash|Completed|Los Angeles
TXN000004|CUST45678|2024-01-15 14:30:18|1250.75|Electronics|Apple Pay|Completed|Chicago
TXN000005|CUST23456|2024-01-15 14:32:44|45.20|Food & Beverage|Credit Card|Completed|
TXN000006|CUST78901|2024-01-15 14:35:09|320.00|Home & Garden|PayPal|Pending|Houston
TXN000007|CUST34567|2024-01-15 14:38:25|89.50|Books|Debit Card|Completed|Phoenix
TXN000008|CUST89012|2024-01-15 14:41:33|175.99|Sports|Credit Card|Completed|New York
TXN000009|CUST56789|2024-01-15 14:44:17|2100.00|Electronics|Credit Card|Completed|Los Angeles
TXN000010|CUST90123|2024-01-15 14:47:52|65.30|Food & Beverage|Cash|Completed|Chicago
TXN000011|CUST13579|2024-01-15 14:50:28|450.00|Clothing|Apple Pay|Completed|
TXN000012|CUST24680|2024-01-15 14:53:41|95.75||Debit Card|Cancelled|Houston
TXN000013|CUST35791|2024-01-15 14:56:15|1850.00|Electronics|PayPal|Completed|New York
TXN000014|CUST46802|2024-01-15 14:59:03|28.99|Books|Cash|Completed|Phoenix
TXN000015|CUST57913|2024-01-15 15:02:37|340.50|Home & Garden|Credit Card|Completed|Los Angeles
TXN000016|CUST68024|2024-01-15 15:05:44|115.20|Sports|Debit Card|Refunded|
TXN000017|CUST79135|2024-01-15 15:08:19|78.40|Food & Beverage|Credit Card|Completed|Chicago
TXN000018|CUST80246|2024-01-15 15:11:52|520.00|Clothing|Apple Pay|Completed|Houston
TXN000019|CUST91357|2024-01-15 15:14:28|199.99|Electronics|PayPal|Pending|New York
TXN000020|CUST02468|2024-01-15 15:17:05|42.50||Cash|Completed|
TXN000021|CUST13680|2024-01-15 15:20:33|885.00|Home & Garden|Credit Card|Completed|Phoenix
TXN000022|CUST24791|2024-01-15 15:23:47|67.80|Books|Debit Card|Completed|Los Angeles
TXN000023|CUST35802|2024-01-15 15:26:14|3200.00|Electronics|Credit Card|Completed|Chicago
TXN000024|CUST46913|2024-01-15 15:29:39|155.25|Sports|Apple Pay|Completed|Houston
TXN000025|CUST58024|2024-01-15 15:32:56|91.40|Food & Beverage|PayPal|Completed|
TXN000026|CUST69135|2024-01-15 15:35:22|425.00|Clothing|Debit Card|Cancelled|New York
TXN000027|CUST70246|2024-01-15 15:38:48|215.99||Cash|Completed|Phoenix
TXN000028|CUST81357|2024-01-15 15:41:13|1450.00|Electronics|Credit Card|Completed|Los Angeles
TXN000029|CUST92468|2024-01-15 15:44:37|38.75|Books|Debit Card|Completed|Chicago
TXN000030|CUST03579|2024-01-15 15:47:59|680.50|Home & Garden|Apple Pay|Completed|
TXN000031|CUST14680|2024-01-15 15:50:24|125.30|Sports|PayPal|Refunded|Houston
TXN000032|CUST25791|2024-01-15 15:53:41|54.99|Food & Beverage|Cash|Completed|New York
TXN000033|CUST36802|2024-01-15 15:56:18|975.00|Clothing|Credit Card|Completed|Phoenix
TXN000034|CUST47913|2024-01-15 15:59:42|2850.00|Electronics|Debit Card|Completed|Los Angeles
TXN000035|CUST59024|2024-01-15 16:02:09|145.60||Apple Pay|Completed|
TXN000036|CUST60135|2024-01-15 16:05:35|310.25|Home & Garden|PayPal|Pending|Chicago
TXN000037|CUST71246|2024-01-15 16:08:53|82.40|Books|Cash|Completed|Houston
TXN000038|CUST82357|2024-01-15 16:11:27|495.00|Sports|Credit Card|Completed|New York
TXN000039|CUST93468|2024-01-15 16:14:44|73.85|Food & Beverage|Debit Card|Completed|
TXN000040|CUST04579|2024-01-15 16:17:16|1680.00|Electronics|Apple Pay|Completed|Phoenix
TXN000041|CUST15680|2024-01-15 16:20:38|225.50|Clothing|PayPal|Completed|Los Angeles
TXN000042|CUST26791|2024-01-15 16:23:52|48.90||Cash|Cancelled|Chicago
TXN000043|CUST37802|2024-01-15 16:26:19|890.00|Home & Garden|Credit Card|Completed|Houston
TXN000044|CUST48913|2024-01-15 16:29:47|156.75|Books|Debit Card|Completed|
TXN000045|CUST50024|2024-01-15 16:32:13|3750.00|Electronics|Credit Card|Completed|New York
TXN000046|CUST61135|2024-01-15 16:35:39|267.30|Sports|Apple Pay|Completed|Phoenix
TXN000047|CUST72246|2024-01-15 16:38:54|95.60|Food & Beverage|PayPal|Completed|Los Angeles
TXN000048|CUST83357|2024-01-15 16:41:28|540.00|Clothing|Cash|Refunded|
