2024-01-15 06:00:15 UTC | INFO | (agent.py:125) | Datadog Agent v7.48.0 starting
2024-01-15 06:00:16 UTC | INFO | (config.py:89) | Loading configuration from /etc/datadog-agent/datadog.yaml
2024-01-15 06:00:17 UTC | INFO | (api.py:234) | Successfully connected to Datadog intake
2024-01-15 06:00:18 UTC | INFO | (collector.py:156) | Check collector initialized
2024-01-15 06:00:19 UTC | INFO | (forwarder.py:78) | Forwarder started successfully
2024-01-15 06:00:30 UTC | INFO | (checks.disk:45) | Running check: disk
2024-01-15 06:00:30 UTC | INFO | (checks.cpu:52) | Running check: cpu
2024-01-15 06:00:30 UTC | INFO | (checks.memory:38) | Running check: memory
2024-01-15 06:01:45 UTC | INFO | (checks.network:91) | Running check: network
2024-01-15 06:03:00 UTC | INFO | (checks.disk:45) | Running check: disk
2024-01-15 06:03:00 UTC | INFO | (checks.cpu:52) | Running check: cpu
2024-01-15 06:03:00 UTC | INFO | (checks.memory:38) | Running check: memory
2024-01-15 06:04:15 UTC | INFO | (checks.process:67) | Running check: process
2024-01-15 06:06:00 UTC | INFO | (checks.disk:45) | Running check: disk
2024-01-15 06:06:00 UTC | INFO | (checks.cpu:52) | Running check: cpu
2024-01-15 06:06:00 UTC | INFO | (checks.memory:38) | Running check: memory
2024-01-15 06:07:15 UTC | INFO | (checks.network:91) | Running check: network
2024-01-15 06:09:00 UTC | INFO | (checks.disk:45) | Running check: disk
2024-01-15 06:09:00 UTC | INFO | (checks.cpu:52) | Running check: cpu
2024-01-15 06:12:00 UTC | INFO | (checks.disk:45) | Running check: disk
2024-01-15 06:15:00 UTC | INFO | (checks.memory:38) | Running check: memory
2024-01-15 06:18:00 UTC | INFO | (checks.disk:45) | Running check: disk
2024-01-15 06:21:00 UTC | INFO | (checks.cpu:52) | Running check: cpu
2024-01-15 06:24:00 UTC | INFO | (checks.network:91) | Running check: network
2024-01-15 06:27:00 UTC | INFO | (checks.disk:45) | Running check: disk
2024-01-15 06:30:00 UTC | INFO | (checks.memory:38) | Running check: memory
2024-01-15 06:45:23 UTC | INFO | (config.py:156) | Configuration change detected
2024-01-15 06:45:24 UTC | INFO | (config.py:167) | Reloading configuration from /etc/datadog-agent/datadog.yaml
2024-01-15 06:45:25 UTC | INFO | (config.py:198) | Configuration file reloaded successfully
2024-01-15 06:45:26 UTC | INFO | (collector.py:203) | Restarting check collector with new configuration
2024-01-15 06:46:01 UTC | INFO | (checks.disk:45) | Running check: disk
2024-01-15 06:46:01 UTC | INFO | (checks.cpu:52) | Running check: cpu
2024-01-15 06:46:01 UTC | INFO | (checks.memory:38) | Running check: memory
2024-01-15 06:46:01 UTC | INFO | (checks.network:91) | Running check: network
2024-01-15 06:46:01 UTC | INFO | (checks.process:67) | Running check: process
2024-01-15 06:46:02 UTC | INFO | (checks.disk:45) | Running check: disk
