id,value_a,value_b
1,45.2,32.8
2,67,54
3,23.5,41.2
4,89,76
5,12.3,45.6
6,56.7,23.4
7,78,91
8,34.5,67.8
9,92,45
10,21.6,38.9
11,64,72
12,43.8,56.1
13,87,29
14,15.4,84.3
15,69,51
16,38.9,65.2
17,91,47
18,27.3,73.6
19,74,88
20,52.1,36.4
21,83,62
22,19.7,94.5
23,66,41
24,44.2,58.7
25,95,73
26,31.6,49.8
27,76,85
28,58.4,22.1
29,89,67
30,25.8,91.3
31,71,54
32,47.3,79.6
33,93,38
34,36.1,63.4
35,82,96
36,14.9,45.2
37,68,71
38,53.7,87.8
39,97,33
40,29.4,69.5
41,75,52
42,41.8,76.1
43,86,64
44,22.5,98.3
45,63,49
46,49.1,55.7
47,94,81
48,35.3,27.9
49,79,93
50,17.6,42.4
51,72,68
52,56.2,84.6
53,88,36
54,33.9,61.8
55,81,75
56,26.4,97.2
57,67,43
58,54.8,59.5
59,96,87
60,39.2,24.1
61,73,91
62,48.5,66.3
63,92,52
64,21.1,78.9
65,65,44
66,42.6,70.4
67,85,58
68,28.3,95.6
69,70,81
70,59.7,37.2
71,99,69
72,34.4,53.8
73,77,96
74,16.8,46.5
75,62,74
76,51.2,82.1
77,90,39
78,37.9,65.7
79,84,93
80,23.5,48.3
81,69,56
82,46.1,71.9
83,91,85
84,32.7,29.6
85,76,62
86,55.3,88.4
87,98,41
88,27.8,67.2
89,74,79
90,50.4,94.8
91,87,34
92,19.2,60.5
93,66,73
94,43.6,57.1
95,89,92
96,30.1,45.9
97,72,68
98,58.9,83.3
99,95,49
100,36.5,75.6
101,80,61
102,24.2,97.4
103,68,52
104,53.8,78.2
105,94,86
106,41.4,33.7
107,77,69
108,15.7,94.9
109,63,47
110,49.9,64.5
111,86,91
112,28.6,56.8
113,71,82
114,57.1,39.3
115,93,75
116,34.8,68.1
117,79,54
118,22.3,99.6
119,65,43
120,52.7,87.4
121,88,71
122,39.9,25.2
123,75,58
124,47.4,92.8
125,90,66
126,31.2,44.9
127,73,79
128,60.6,85.7
129,96,37
130,26.1,72.3
131,69,94
132,55.8,50.6
133,91,83
134,43.3,29.1
135,78,65
136,18.5,96.2
137,64,48
138,51.9,73.8
139,87,89
140,35.7,41.4
141,81,57
142,29.2,84.6
143,72,70
144,48.8,62.9
145,94,76
146,40.4,98.5
147,76,53
148,56.1,67.3
149,92,81
150,33.6,46.7
151,79,69
152,24.9,93.1
153,67,44
154,54.3,88.9
155,89,95
156,45.8,31.5
157,82,74
158,20.4,59.2
159,68,86
160,50.7,77.6
