timestamp,account_id,amount,transaction_type
2024-01-15T09:30:00,ACC001,1000.50,CREDIT
2024-01-15T09:45:23,ACC002,250.333,CREDIT
2024-01-15T10:15:00,ACC001,50.99,DEBIT
2024-01-15T10:30:45,ACC003,1500.5,CREDIT
2024-01-15T10:45:00,ACC004,99.999,CREDIT
2024-01-15T11:00:00,ACC001,25.1,DEBIT
2024-01-15T11:15:30,ACC002,100.50,CREDIT
2024-01-15T11:30:00,ACC005,45.333,CREDIT
2024-01-15T11:45:00,ACC003,200.99,DEBIT
2024-01-15T12:00:00,ACC006,0.01,CREDIT
2024-01-15T12:15:00,ACC001,75.25,CREDIT
2024-01-15T12:30:00,ACC007,1200.5,CREDIT
2024-01-15T12:45:00,ACC004,10.001,DEBIT
2024-01-15T13:00:00,ACC002,500.999,DEBIT
2024-01-15T13:15:00,ACC008,300.33,CREDIT
2024-01-15T13:30:00,ACC005,20.99,DEBIT
2024-01-15T13:45:00,ACC001,150.333,DEBIT
2024-01-15T14:00:00,ACC009,750.50,CREDIT
2024-01-15T14:15:00,ACC003,100.1,CREDIT
2024-01-15T14:30:00,ACC006,0.001,CREDIT
2024-01-15T14:45:00,ACC010,2000.99,CREDIT
2024-01-15T15:00:00,ACC004,50.50,CREDIT
2024-01-15T15:15:00,ACC007,300.333,DEBIT
2024-01-15T15:30:00,ACC002,25.25,CREDIT
2024-01-15T15:45:00,ACC001,200.999,CREDIT
2024-01-15T16:00:00,ACC005,100.01,CREDIT
2024-01-15T16:15:00,ACC008,150.50,DEBIT
2024-01-15T16:30:00,ACC003,75.333,DEBIT
2024-01-15T16:45:00,ACC011,500.99,CREDIT
2024-01-15T17:00:00,ACC009,250.25,DEBIT
2024-01-15T17:15:00,ACC006,10.50,DEBIT
2024-01-15T17:30:00,ACC012,1500.333,CREDIT
2024-01-15T17:45:00,ACC004,200.99,DEBIT
2024-01-15T18:00:00,ACC001,50.01,DEBIT
2024-01-16T09:00:00,ACC002,300.50,CREDIT
2024-01-16T09:15:00,ACC010,500.333,DEBIT
2024-01-16T09:30:00,ACC007,100.99,CREDIT
2024-01-16T09:45:00,ACC003,250.50,CREDIT
2024-01-16T10:00:00,ACC005,75.999,DEBIT
2024-01-16T10:15:00,ACC011,150.25,DEBIT
2024-01-16T10:30:00,ACC008,200.01,CREDIT
2024-01-16T10:45:00,ACC001,100.333,CREDIT
2024-01-16T11:00:00,ACC012,300.50,DEBIT
2024-01-16T11:15:00,ACC004,25.99,CREDIT
2024-01-16T11:30:00,ACC006,50.001,CREDIT
2024-01-16T11:45:00,ACC009,400.50,CREDIT
2024-01-16T12:00:00,ACC002,150.333,DEBIT
2024-01-16T12:15:00,ACC010,100.25,CREDIT
2024-01-16T12:30:00,ACC007,500.99,DEBIT
2024-01-16T12:45:00,ACC003,75.01,DEBIT
2024-01-16T13:00:00,ACC005,200.50,CREDIT
2024-01-16T13:15:00,ACC001,300.999,DEBIT
2024-01-16T13:30:00,ACC011,250.33,CREDIT
2024-01-16T13:45:00,ACC008,100.50,DEBIT
2024-01-16T14:00:00,ACC012,400.999,CREDIT
2024-01-16T14:15:00,ACC004,150.01,DEBIT
2024-01-16T14:30:00,ACC006,25.99,DEBIT
2024-01-16T14:45:00,ACC009,200.333,DEBIT
2024-01-16T15:00:00,ACC002,500.50,DEBIT
2024-01-16T15:15:00,ACC010,300.01,DEBIT
2024-01-16T15:30:00,ACC007,150.25,CREDIT
2024-01-16T15:45:00,ACC003,100.999,CREDIT
2024-01-16T16:00:00,ACC005,50.33,DEBIT
2024-01-16T16:15:00,ACC001,200.50,CREDIT
2024-01-16T16:30:00,ACC011,100.99,DEBIT
2024-01-16T16:45:00,ACC008,300.333,CREDIT
