operation,transaction_id,customer_id,old_amount,new_amount,timestamp
INSERT,2001,C001,,125.50,2024-03-01 10:15:00
INSERT,2002,C003,,89.99,2024-03-01 10:22:00
UPDATE,1005,C002,150.00,175.00,2024-03-01 10:45:00
DELETE,1012,C005,200.00,,2024-03-01 11:00:00
INSERT,2003,C007,,67.25,2024-03-01 11:15:00
INSERT,2004,C002,,310.00,2024-03-01 11:30:00
UPDATE,1023,C008,95.50,105.75,2024-03-01 11:45:00
INSERT,2005,C015,,45.00,2024-03-01 12:00:00
DELETE,1034,C012,175.25,,2024-03-01 12:15:00
INSERT,2006,C004,,220.80,2024-03-01 12:30:00
UPDATE,1045,C003,120.00,135.50,2024-03-01 12:45:00
INSERT,2007,C009,,88.60,2024-03-01 13:00:00
INSERT,2008,C001,,195.75,2024-03-01 13:15:00
DELETE,1056,C018,99.99,,2024-03-01 13:30:00
UPDATE,1067,C007,180.00,165.00,2024-03-01 13:45:00
INSERT,2009,C022,,142.30,2024-03-01 14:00:00
INSERT,2010,C011,,78.50,2024-03-01 14:15:00
DELETE,1078,C014,250.00,,2024-03-01 14:30:00
INSERT,2011,C006,,56.99,2024-03-01 14:45:00
UPDATE,1089,C010,88.00,92.50,2024-03-01 15:00:00
INSERT,2012,C020,,167.40,2024-03-01 15:15:00
INSERT,2013,C003,,203.25,2024-03-01 15:30:00
DELETE,1095,C016,145.60,,2024-03-01 15:45:00
UPDATE,1102,C001,210.00,225.00,2024-03-01 16:00:00
INSERT,2014,C013,,91.85,2024-03-01 16:15:00
INSERT,2015,C025,,119.99,2024-03-01 16:30:00
UPDATE,1115,C004,165.50,155.50,2024-03-01 16:45:00
DELETE,1128,C021,188.00,,2024-03-01 17:00:00
INSERT,2016,C008,,76.20,2024-03-01 17:15:00
INSERT,2017,C017,,134.55,2024-03-01 17:30:00
UPDATE,1139,C002,125.75,140.25,2024-03-01 17:45:00
INSERT,2018,C019,,99.00,2024-03-01 18:00:00
DELETE,1150,C023,220.50,,2024-03-01 18:15:00
INSERT,2019,C005,,158.30,2024-03-01 18:30:00
INSERT,2020,C024,,87.45,2024-03-01 18:45:00
UPDATE,1161,C015,102.00,110.00,2024-03-01 19:00:00
INSERT,2021,C009,,245.60,2024-03-01 19:15:00
INSERT,2022,C001,,182.90,2024-03-01 19:30:00
DELETE,1172,C006,156.75,,2024-03-01 19:45:00
UPDATE,1183,C012,198.50,205.00,2024-03-01 20:00:00
INSERT,2023,C007,,94.40,2024-03-01 20:15:00
INSERT,2024,C010,,168.20,2024-03-01 20:30:00
DELETE,1194,C004,112.30,,2024-03-01 20:45:00
INSERT,2025,C003,,215.85,2024-03-01 21:00:00
UPDATE,1205,C020,145.00,160.00,2024-03-01 21:15:00
INSERT,2026,C002,,93.75,2024-03-01 21:30:00
INSERT,2027,C011,,128.50,2024-03-01 21:45:00
DELETE,1216,C013,177.20,,2024-03-01 22:00:00
UPDATE,1227,C008,89.90,95.40,2024-03-01 22:15:00
INSERT,2028,C026,,205.00,2024-03-01 22:30:00
