timestamp,concurrent_connections,timeout_failures,avg_connection_time_ms,rtt_latency_ms,handler_threads_busy,queue_depth,successful_connections,retry_attempts
2024-01-15 00:00:00,85,2,280,8,15,12,83,5
2024-01-15 01:00:00,62,0,220,5,12,8,62,0
2024-01-15 02:00:00,58,1,245,6,10,5,57,2
2024-01-15 03:00:00,55,0,210,4,9,3,55,0
2024-01-15 04:00:00,52,0,195,3,8,2,52,0
2024-01-15 05:00:00,68,1,265,7,14,10,67,3
2024-01-15 06:00:00,145,8,950,12,28,45,137,25
2024-01-15 07:00:00,285,18,1850,18,48,95,267,68
2024-01-15 08:00:00,420,35,3200,25,72,185,385,142
2024-01-15 09:00:00,535,68,6800,38,94,285,467,315
2024-01-15 10:00:00,580,75,7450,42,98,320,505,385
2024-01-15 11:00:00,565,72,7100,40,96,305,493,368
2024-01-15 12:00:00,485,52,4850,32,85,225,433,248
2024-01-15 13:00:00,520,64,6200,36,92,270,456,298
2024-01-15 14:00:00,545,70,6950,41,95,295,475,342
2024-01-15 15:00:00,590,78,7850,45,99,335,512,412
2024-01-15 16:00:00,575,74,7300,43,97,315,501,388
2024-01-15 17:00:00,495,55,5150,33,87,240,440,265
2024-01-15 18:00:00,325,22,2150,21,52,110,303,95
2024-01-15 19:00:00,215,12,1450,15,38,68,203,52
2024-01-15 20:00:00,165,6,820,11,25,38,159,28
2024-01-15 21:00:00,125,4,580,9,20,25,121,18
2024-01-15 22:00:00,95,2,350,7,16,15,93,8
2024-01-15 23:00:00,78,1,290,6,13,10,77,4
2024-01-16 00:00:00,72,0,255,5,11,7,72,0
2024-01-16 01:00:00,65,1,240,6,11,6,64,2
2024-01-16 02:00:00,60,0,215,4,9,4,60,0
2024-01-16 03:00:00,56,0,205,3,8,3,56,0
2024-01-16 04:00:00,54,0,198,3,8,2,54,0
2024-01-16 05:00:00,70,1,275,8,15,11,69,3
2024-01-16 06:00:00,152,9,1020,13,30,48,143,28
2024-01-16 07:00:00,295,20,1950,19,50,102,275,75
2024-01-16 08:00:00,435,38,3450,27,75,198,397,158
2024-01-16 09:00:00,550,71,7050,40,95,295,479,348
2024-01-16 10:00:00,595,80,8100,46,100,340,515,425
2024-01-16 11:00:00,575,76,7650,44,98,325,499,398
2024-01-16 12:00:00,505,58,5350,34,88,248,447,278
2024-01-16 13:00:00,540,69,6750,39,94,288,471,335
2024-01-16 14:00:00,560,73,7250,42,96,308,487,368
2024-01-16 15:00:00,610,80,8350,48,100,350,530,445
2024-01-16 16:00:00,585,77,7750,45,99,328,508,405
2024-01-16 17:00:00,515,61,5650,35,90,258,454,292
2024-01-16 18:00:00,340,24,2350,22,55,118,316,105
2024-01-16 19:00:00,225,13,1550,16,40,72,212,58
2024-01-16 20:00:00,172,7,885,12,27,42,165,32
2024-01-16 21:00:00,132,5,620,10,22,28,127,22
2024-01-16 22:00:00,102,3,385,8,17,18,99,12
2024-01-16 23:00:00,82,1,310,7,14,12,81,5
2024-01-17 00:00:00,75,1,268,6,12,8,74,3
2024-01-17 01:00:00,68,0,235,5,10,6,68,0
2024-01-17 02:00:00,62,0,220,4,10,5,62,0
2024-01-17 03:00:00,58,0,208,3,9,3,58,0
2024-01-17 04:00:00,55,0,200,3,8,2,55,0
2024-01-17 05:00:00,72,1,285,9,16,13,71,4
2024-01-17 06:00:00,158,10,1085,14,32,52,148,32
2024-01-17 07:00:00,305,21,2050,20,52,108,284,82
2024-01-17 08:00:00,448,40,3650,28,78,208,408,168
2024-01-17 09:00:00,565,74,7350,41,97,308,491,372
2024-01-17 10:00:00,605,79,8250,47,99,345,526,432
2024-01-17 11:00:00,585,78,7850,45,99,332,507,415
2024-01-17 12:00:00,520,63,5850,36,91,265,457,305
2024-01-17 13:00:00,555,72,7050,40,95,298,483,358
2024-01-17 14:00:00,575,75,7550,44,97,318,500,392
2024-01-17 15:00:00,620,80,8500,49,100,348,540,465
2024-01-17 16:00:00,595,79,8050,46,99,338,516,422
2024-01-17 17:00:00,530,65,6050,37,92,272,465,312
2024-01-17 18:00:00,355,26,2550,23,58,125,329,118
2024-01-17 19:00:00,235,14,1650,17,42,78,221,65
2024-01-17 20:00:00,180,8,950,13,29,46,172,38
2024-01-17 21:00:00,138,5,655,10,23,32,133,25
2024-01-17 22:00:00,108,3,420,8,18,20,105,15
2024-01-17 23:00:00,88,2,328,7,15,14,86,8
2024-01-18 00:00:00,78,1,278,6,13,9,77,4
2024-01-18 01:00:00,70,0,245,5,11,7,70,0
2024-01-18 02:00:00,64,0,225,4,10,5,64,0
2024-01-18 03:00:00,60,0,212,3,9,4,60,0
2024-01-18 04:00:00,57,0,202,3,8,3,57,0
2024-01-18 05:00:00,74,1,295,9,16,14,73,5
2024-01-18 06:00:00,165,11,1150,15,34,56,154,35
2024-01-18 07:00:00,315,23,2150,21,54,115,292,88
2024-01-18 08:00:00,460,42,3850,29,80,218,418,178
2024-01-18 09:00:00,580,76,7650,43,98,320,504,398
2024-01-18 10:00:00,615,80,8450,48,100,348,535,455
2024-01-18 11:00:00,595,80,8150,47,100,342,515,438
2024-01-18 12:00:00,535,67,6250,38,93,278,468,328
2024-01-18 13:00:00,570,74,7350,42,96,310,496,382
2024-01-18 14:00:00,590,78,7850,46,99,328,512,418
2024-01-18 15:00:00,630,80,8500,50,100,350,550,478
2024-01-18 16:00:00,605,80,8250,47,100,345,525,445
2024-01-18 17:00:00,545,68,6450,39,94,285,477,338
2024-01-18 18:00:00,370,28,2750,24,60,135,342,132
2024-01-18 19:00:00,245,15,1750,18,44,85,230,72
2024-01-18 20:00:00,188,9,1020,14,31,50,179,42
2024-01-18 21:00:00,145,6,695,11,24,35,139,28
2024-01-18 22:00:00,115,4,458,9,19,22,111,18
2024-01-18 23:00:00,92,2,348,7,16,16,90,10
2024-01-19 00:00:00,82,1,288,6,14,10,81,5
2024-01-19 01:00:00,73,0,252,5,12,8,73,0
2024-01-19 02:00:00,66,0,230,4,10,6,66,0
2024-01-19 03:00:00,62,0,215,3,9,4,62,0
2024-01-19 04:00:00,58,0,205,3,8,3,58,0
2024-01-19 05:00:00,76,1,305,10,17,15,75,6
2024-01-19 06:00:00,172,12,1220,16,36,60,160,38
2024-01-19 07:00:00,325,24,2250,22,56,122,301,95
2024-01-19 08:00:00,475,45,4050,30,82,228,430,188
2024-01-19 09:00:00,595,78,7950,45,99,335,517,415
2024-01-19 10:00:00,625,80,8500,49,100,350,545,468
2024-01-19 11:00:00,605,80,8350,48,100,348,525,452
2024-01-19 12:00:00,550,70,6650,40,95,292,480,348
2024-01-19 13:00:00,585,77,7650,44,98,322,508,405
2024-01-19 14:00:00,605,79,8150,47,99,340,526,435
2024-01-19 15:00:00,640,80,8500,50,100,350,560,488
2024-01-19 16:00:00,615,80,8400,48,100,348,535,462
2024-01-19 17:00:00,560,72,6850,41,96,298,488,362
2024-01-19 18:00:00,385,30,2950,25,62,145,355,145
2024-01-19 19:00:00,255,16,1850,19,46,92,239,78
2024-01-19 20:00:00,195,10,1085,15,33,55,185,48
2024-01-19 21:00:00,152,7,735,12,26,38,145,32
2024-01-19 22:00:00,120,4,495,9,20,24,116,20
