transaction_id,customer_id,amount,timestamp
T1001,C001,125.50,2024-01-15 10:30:45
T1002,C002,2500.00,2024-01-15 11:22:30
T1003,C003,45.75,2024-01-15 12:15:22
T1004,C001,890.00,2024-01-15 13:45:10
T1005,C004,15.50,2024-01-15 14:20:33
T1006,C005,3200.00,2024-01-15 15:10:45
T1007,C002,67.80,2024-01-15 16:05:12
T1008,C006,1500.00,2024-01-15 17:30:28
T1009,C007,250.00,2024-01-15 18:22:15
T1010,C003,4500.00,2024-01-15 19:15:40
T1011,C008,99.99,2024-01-16 08:30:22
T1012,C009,1750.00,2024-01-16 09:15:33
T1013,C001,320.50,2024-01-16 10:40:18
T1014,C010,8.75,2024-01-16 11:25:45
T1015,C004,2200.00,2024-01-16 12:50:30
T1016,C011,145.00,2024-01-16 13:35:22
T1017,C005,55.25,2024-01-16 14:20:15
T1018,C012,3800.00,2024-01-16 15:45:50
T1019,C006,425.75,2024-01-16 16:30:12
T1020,C013,12.50,2024-01-16 17:15:28
T1021,C007,950.00,2024-01-17 08:20:35
T1022,C014,4200.00,2024-01-17 09:40:22
T1023,C002,175.50,2024-01-17 10:55:18
T1024,C015,680.00,2024-01-17 11:30:45
T1025,C008,25.99,2024-01-17 12:15:33
T1026,C016,2900.00,2024-01-17 13:45:20
T1027,C003,540.25,2024-01-17 14:20:15
T1028,C017,19.75,2024-01-17 15:35:40
T1029,C009,1250.00,2024-01-17 16:50:28
T1030,C018,3500.00,2024-01-17 17:25:15
T1031,C001,85.50,2024-01-18 08:30:22
T1032,C010,750.00,2024-01-18 09:15:45
T1033,C019,4800.00,2024-01-18 10:40:33
T1034,C004,220.75,2024-01-18 11:25:18
T1035,C020,35.00,2024-01-18 12:50:42
T1036,C011,1850.00,2024-01-18 13:35:28
T1037,C005,465.50,2024-01-18 14:20:15
T1038,C021,9.99,2024-01-18 15:45:33
T1039,C012,2750.00,2024-01-18 16:30:20
T1040,C022,595.00,2024-01-18 17:15:45
T1041,C006,120.25,2024-01-19 08:20:18
T1042,C023,3900.00,2024-01-19 09:40:35
T1043,C013,78.50,2024-01-19 10:55:22
T1044,C024,1420.00,2024-01-19 11:30:48
T1045,C007,280.75,2024-01-19 12:15:33
T1046,C025,4950.00,2024-01-19 13:45:20
T1047,C014,52.00,2024-01-19 14:20:15
T1048,C026,890.50,2024-01-19 15:35:42
T1049,C002,2100.00,2024-01-19 16:50:28
T1050,C027,165.25,2024-01-19 17:25:35
T1051,C015,22.99,2024-01-20 08:30:22
T1052,C028,3300.00,2024-01-20 09:15:45
T1053,C008,725.00,2024-01-20 10:40:18
T1054,C029,48.75,2024-01-20 11:25:33
T1055,C016,1650.00,2024-01-20 12:50:20
T1056,C030,4100.00,2024-01-20 13:35:45
T1057,C003,340.50,2024-01-20 14:20:28
T1058,C031,95.00,2024-01-20 15:45:15
T1059,C017,2450.00,2024-01-20 16:30:33
T1060,C032,615.75,2024-01-20 17:15:22
T1061,C009,29.50,2024-01-21 08:20:45
T1062,C033,1980.00,2024-01-21 09:40:18
T1063,C018,385.25,2024-01-21 10:55:33
T1064,C034,4600.00,2024-01-21 11:30:20
T1065,C001,155.00,2024-01-21 12:15:45
T1066,C019,850.50,2024-01-21 13:45:28
T1067,C035,18.75,2024-01-21 14:20:15
T1068,C010,2850.00,2024-01-21 15:35:33
T1069,C036,520.00,2024-01-21 16:50:22
T1070,C020,72.50,2024-01-21 17:25:45
T1071,C037,3650.00,2024-01-22 08:30:18
T1072,C004,245.75,2024-01-22 09:15:33
T1073,C021,1125.00,2024-01-22 10:40:20
T1074,C038,39.99,2024-01-22 11:25:45
T1075,C011,4350.00,2024-01-22 12:50:28
T1076,C022,675.50,2024-01-22 13:35:15
T1077,C039,14.25,2024-01-22 14:20:33
T1078,C005,2300.00,2024-01-22 15:45:22
T1079,C023,445.00,2024-01-22 16:30:45
T1080,C040,108.75,2024-01-22 17:15:18
T1081,C012,1780.00,2024-01-23 08:20:33
T1082,C024,3100.00,2024-01-23 09:40:20
T1083,C006,295.50,2024-01-23 10:55:45
T1084,C041,58.00,2024-01-23 11:30:28
T1085,C025,4700.00,2024-01-23 12:15:15
T1086,C042,820.25,2024-01-23 13:45:33
T1087,C013,26.50,2024-01-23 14:20:22
T1088,C026,2050.00,2024-01-23 15:35:45
T1089,C043,565.75,2024-01-23 16:50:18
T1090,C007,135.00,2024-01-23 17:25:33
T1091,C027,3850.00,2024-01-24 08:30:20
T1092,C044,490.50,2024-01-24 09:15:45
T1093,C014,21.75,2024-01-24 10:40:28
T1094,C028,1340.00,2024-01-24 11:25:15
T1095,C045,4250.00,2024-01-24 12:50:33
T1096,C015,780.25,2024-01-24 13:35:22
T1097,C029,44.99,2024-01-24 14:20:45
T1098,C046,2600.00,2024-01-24 15:45:18
T1099,C008,365.50,2024-01-24 16:30:33
T1100,C030,92.00,2024-01-24 17:15:20
T1101,C047,1920.00,2024-01-25 08:20:45
T1102,C016,3450.00,2024-01-25 09:40:28
T1103,C031,215.75,2024-01-25 10:55:15
T1104,C048,65.50,2024-01-25 11:30:33
T1105,C017,950.00,2024-01-25 12:15:22
T1106,C032,4850.00,2024-01-25 13:45:45
T1107,C049,32.25,2024-01-25 14:20:18
T1108,C009,2950.00,2024-01-25 15:35:33
T1109,C033,625.00,2024-01-25 16:50:20
T1110,C050,178.50,2024-01-25 17:25:45
T1111,C018,1580.00,2024-01-26 08:30:28
T1112,C034,3750.00,2024-01-26 09:15:15
T1113,C001,410.25,2024-01-26 10:40:33
T1114,C019,88.00,2024-01-26 11:25:22
T1115,C035,2250.00,2024-01-26 12:50:45
T1116,C036,535.75,2024-01-26 13:35:18
T1117,C037,16.99,2024-01-26 14:20:33
T1118,C010,4450.00,2024-01-26 15:45:20
T1119,C038,915.50,2024-01-26 16:30:45
T1120,C020,245.00,2024-01-26 17:15:28
T1121,C039,1845.00,2024-01-27 08:20:15
T1122,C004,3550.00,2024-01-27 09:40:33
T1123,C040,475.25,2024-01-27 10:55:22
T1124,C021,119.99,2024-01-27 11:30:45
T1125,C041,2780.00,2024-01-27 12:15:18
T1126,C011,685.50,2024-01-27 13:45:33
T1127,C042,37.75,2024-01-27 14:20:20
T1128,C022,4990.00,2024-01-27 15:35:45
T1129,C043,1260.00,2024-01-27 16:50:28
T1130,C005,325.75,2024-01-27 17:25:15
T1131,C044,82.50,2024-01-28 08:30:33
T1132,C023,2150.00,2024-01-28 09:15:22
T1133,C045,3980.00,2024-01-28 10:40:45
T1134,C012,570.25,2024-01-28 11:25:18
T1135,C046,28.00,2024-01-28 12:50:33
T1136,C024,1475.00,2024-01-28 13:35:20
T1137,C047,4125.00,2024-01-28 14:20:45
T1138,C006,755.50,2024-01-28 15:45:28
T1139,C025,195.75,2024-01-28 16:30:15
T1140,C048,3225.00,2024-01-28 17:15:33
T1141,C013,62.00,2024-01-29 08:20:22
T1142,C026,1690.00,2024-01-29 09:40:45
T1143,C049,890.25,2024-01-29 10:55:18
T1144,C007,41.50,2024-01-29 11:30:33
T1145,C027,2525.00,2024-01-29 12:15:20
T1146,C050,4575.00,2024-01-29 13:45:45
T1147,C014,355.75,2024-01-29 14:20:28
T1148,C028,128.00,2024-01-29 15:35:15
T1149,C029,3075.00,2024-01-29 16:50:33
T1150,C015,645.50,2024-01-29 17:25:22
