ride_id,pickup_lat,pickup_lon,timestamp,fare_amount
NY_001,40.7589,-73.9851,2024-01-15T08:23:15Z,12.50
NY_002,40.7128,-73.9950,2024-01-15T09:15:22Z,18.75
NY_003,40.7580,-73.9855,2024-01-15T10:45:30Z,22.00
NY_004,40.7489,-73.9680,2024-01-15T11:20:45Z,15.25
NY_005,40.7256,-73.9512,2024-01-15T12:05:18Z,9.50
NY_006,91.2345,-73.9851,2024-01-15T13:30:42Z,14.75
NY_007,40.7612,-73.9776,2024-01-15T14:12:55Z,28.00
NY_008,40.7089,-73.9456,2024-01-15T15:40:20Z,11.25
NY_009,40.7734,-73.9823,2024-01-15T16:25:33Z,19.50
NY_010,40.7423,-73.9912,2024-01-15T17:55:10Z,16.75
NY_011,40.7156,-73.9589,2024-01-16T08:10:25Z,13.00
NY_012,40.7501,-185.3456,2024-01-16T09:22:40Z,20.25
NY_013,40.7645,-73.9734,2024-01-16T10:35:15Z,17.50
NY_014,40.7289,-73.9467,2024-01-16T11:48:30Z,24.00
NY_015,40.7790,-73.9890,2024-01-16T12:15:45Z,10.75
NY_001,40.7234,-73.9678,2024-01-16T13:20:55Z,15.00
NY_016,40.7412,-73.9523,2024-01-16T14:42:10Z,21.25
NY_017,40.7567,-73.9801,2024-01-16T15:55:28Z,8.50
NY_018,40.7190,-73.9934,2024-01-16T16:10:35Z,26.75
NY_019,40.7678,-73.9612,2024-01-16T17:25:50Z,-12.50
NY_020,40.7345,-73.9745,2024-01-17T08:30:15Z,14.00
NY_021,40.7523,-73.9890,2024-01-17T09:45:22Z,19.25
NY_022,40.7089,-73.9556,2024-01-17T10:12:38Z,16.50
NY_024,40.7456,-73.9823,2024-01-17T12:40:52Z,23.75
NY_025,-100.5678,-73.9912,2024-01-17T13:55:10Z,11.00
NY_026,40.7712,-73.9634,2024-01-17T14:18:25Z,18.50
NY_027,40.7234,-73.9478,2024-01-17T15:32:40Z,15.75
NY_028,40.7389,-73.9789,2024-01-17T16:45:55Z,20.00
NY_029,40.7567,-73.9845,2024-01-18T08:15:10Z,12.25
NY_030,40.7145,-73.9723,2024-01-18T09:28:22Z,17.00
NY_002,40.7423,-73.9590,2024-01-18T10:40:35Z,22.50
NY_031,40.7678,-73.9912,2024-01-18T11:52:48Z,9.75
NY_032,40.7290,-73.9656,2024-01-18T12:10:15Z,25.25
NY_033,40.7534,-73.9534,2024-01-18T13:25:30Z,14.50
NY_034,40.7612,-73.9867,2024-01-18T14:38:45Z,-8.00
NY_035,40.7189,-73.9745,2024-01-18T15:50:18Z,19.75
NY_036,40.7445,180.5678,2024-01-18T16:15:32Z,16.00
NY_037,40.7723,-73.9601,2024-01-18T17:28:45Z,21.50
NY_038,40.7356,-73.9890,2024-01-19T08:40:15Z,13.25
NY_039,40.7501,-73.9723,2024-01-19T09:52:28Z,18.00
NY_040,40.7178,-73.9567,2024-01-19T10:15:40Z,24.75
NY_041,40.7634,-73.9812,2024-01-19T11:28:52Z,10.50
NY_043,40.7567,-73.9934,2024-01-19T13:52:25Z,16.25
NY_044,40.7289,-73.9478,2024/15/32,21.75
NY_045,40.7690,-73.9756,2024-01-19T15:18:48Z,12.00
NY_046,40.7234,-73.9890,2024-01-19T16:30:15Z,19.50
NY_003,40.7478,-73.9612,2024-01-19T17:42:28Z,15.75
NY_047,40.7601,-73.9534,2024-01-20T08:10:40Z,23.25
NY_048,40.7123,-73.9867,2024-01-20T09:22:52Z,8.75
NY_049,40.7556,-73.9745,2024-01-20T10:35:10Z,26.50
NY_050,40.7389,-73.9601,2024-01-20T11:48:25Z,14.25
NY_051,40.7645,-73.9923,2024-01-20T12:15:38Z,20.75
NY_052,-95.3456,-73.9778,2024-01-20T13:28:50Z,11.50
NY_053,40.7212,-73.9656,2024-01-20T14:40:15Z,17.25
NY_054,40.7489,-73.9534,2024-01-20T15:52:28Z,22.00
NY_055,40.7734,-73.9812,2024-01-20T16:10:40Z,-15.50
NY_056,40.7367,-73.9689,2024-01-20T17:22:52Z,13.75
NY_057,40.7523,-73.9867,2024-01-21T08:35:10Z,19.00
NY_058,40.7145,-73.9723,2024-01-21T09:48:25Z,24.50
NY_059,40.7612,-73.9590,2024-01-21T10:15:38Z,10.25
NY_060,40.7290,-73.9945,2024-01-21T11:28:50Z,16.75
NY_004,40.7456,-73.9812,2024-01-21T12:40:15Z,21.25
NY_061,40.7678,-73.9656,2024-01-21T13:52:28Z,12.50
NY_062,40.7201,-73.9534,bad-timestamp,18.75
