wavelength_nm,absorption_intensity
350,0.08
353,0.09
356,0.07
359,0.10
362,0.08
365,0.11
368,0.09
371,0.10
374,0.08
377,0.09
380,0.11
383,0.10
386,0.09
389,0.10
392,0.08
395,0.11
398,0.09
401,0.10
404,0.12
407,0.10
410,0.11
413,0.09
416,0.10
419,0.12
422,0.11
425,0.10
428,0.12
431,0.13
434,0.14
437,0.18
440,0.24
443,0.31
446,0.39
449,0.47
452,0.55
455,0.62
458,0.68
461,0.74
464,0.79
467,0.83
470,0.86
473,0.89
476,0.91
479,0.93
482,0.94
485,0.96
488,0.97
491,0.98
494,0.99
497,0.99
500,1.00
503,0.99
506,0.98
509,0.99
512,0.98
515,0.99
518,1.00
521,0.99
524,0.98
527,0.97
530,0.96
533,0.94
536,0.92
539,0.90
542,0.88
545,0.85
548,0.83
551,0.80
554,0.78
557,0.75
560,0.73
563,0.70
566,0.68
569,0.65
572,0.63
575,0.61
578,0.59
581,0.57
584,0.55
587,0.53
590,0.51
593,0.49
596,0.48
599,0.46
602,0.45
605,0.43
608,0.42
611,0.40
614,0.39
617,0.38
620,0.37
623,0.36
626,0.35
629,0.34
632,0.33
635,0.32
638,0.31
641,0.30
644,0.30
647,0.29
650,0.28
653,0.28
656,0.27
659,0.27
662,0.26
665,0.26
668,0.25
671,0.25
674,0.24
677,0.24
680,0.24
683,0.23
686,0.23
689,0.23
692,0.22
695,0.22
698,0.22
700,0.22
