#GENOME_SIZE=10000000 BIN_SIZE=100000 TOTAL_READS=50000
0 1 45
1 0 45
5 10 120
10 5 120
25 30 88
30 25 88
8 12 50
15 20 40
15 20 35
20 15 60
3 7 95
7 3 95
18 22 150
22 18 150
12 16 78
16 12 78
40 45 200
45 40 200
2 4 33
4 2 33
50 55 180
55 50 180
28 32 110
32 28 110
6 9 67
9 6 67
35 38 145
38 35 145
14 17 89
17 14 89
48 52 175
52 48 175
11 13 58
13 11 58
60 65 220
65 60 220
23 27 102
27 23 102
70 75 310
75 70 310
1 3 41
3 1 41
80 85 280
85 80 280
19 21 92
21 19 92
90 95 420
95 90 420
4 8 55
8 4 55
33 36 125
36 33 125
42 47 165
47 42 165
56 59 195
59 56 195
63 68 245
68 63 245
72 77 290
77 72 290
82 87 330
87 82 330
88 92 380
92 88 380
10 15 73
15 10 73
25 28 98
28 25 98
38 42 155
42 38 155
51 54 185
54 51 185
61 64 215
64 61 215
71 74 275
74 71 275
81 84 315
84 81 315
91 94 400
94 91 400
5 8 62
8 5 62
16 19 85
19 16 85
29 33 115
33 29 115
43 46 170
46 43 170
53 57 190
57 53 190
66 69 250
69 66 250
76 79 295
79 76 295
86 89 350
89 86 350
2 6 48
6 2 48
12 14 70
14 12 70
24 26 105
26 24 105
37 40 140
40 37 140
49 51 178
51 49 178
62 67 235
67 62 235
73 78 285
78 73 285
83 88 340
88 83 340
93 97 410
97 93 410
120 50 75
10 150 30
5 200 100
250 10 85
15 180 45
99 101 50
105 20 65
8 110 90
130 140 120
25 105 55
150 5 40
7 120 78
160 30 95
40 200 110
18 115 82
12 125 70
220 50 130
65 135 88
28 145 92
240 60 150
35 108 77
14 122 68
75 170 105
48 111 84
80 185 125
190 25 95
6 103 58
33 128 73
200 45 140
52 138 87
210 18 115
90 155 98
230 70 160
23 118 65
42 142 90
250 80 175
11 160 52
56 175 100
270 15 135
19 109 62
63 148 108
280 35 180
72 163 120
290 50 195
82 178 135
300 65 210
88 188 145
1 3 22
15 20 18
25 30 42
8 12 30
40 45 95
50 55 85
10 15 37
60 65 110
3 7 48
70 75 160
18 22 75
80 85 140
5 10 60
90 95 200
28 32 55
12 16 38
35 38 72
48 52 88
2 4 19
56 59 97
63 68 122
72 77 145
82 87 165
88 92 190
10 14
25 28 52
38 42 78
51 54 92
61 64 107
71 74 137
81 84 157
91 94 200
5 8 31
16 19 42
29 33 57
