transaction_id,customer_id,product_category,amount,date,region
TXN001,CUST023,Electronics,299.99,2023-01-15,North
TXN002,CUST045,Clothing,79.50,2023-01-16,South
TXN003,CUST023,Home & Garden,150.00,2023-02-10,North
TXN004,CUST012,Electronics,449.99,2023-01-18,East
TXN005,CUST034,Sports,89.99,2023-01-20,West
TXN006,CUST007,Books,24.99,2023-01-22,Central
TXN007,CUST045,Electronics,199.99,2023-01-25,South
TXN008,CUST019,Toys,45.50,2023-02-01,North
TXN009,CUST028,Clothing,120.00,2023-02-03,East
TXN010,CUST012,Electronics,349.99,2023-02-05,East
TXN011,CUST050,Home & Garden,210.00,2023-02-08,West
TXN012,CUST003,Electronics,279.99,2023-02-12,Central
TXN013,CUST041,Sports,155.00,2023-02-14,South
TXN014,CUST023,Clothing,65.00,2023-02-15,North
TXN015,CUST016,Books,18.50,2023-02-18,East
TXN016,CUST037,Electronics,399.99,2023-02-20,West
TXN017,CUST008,Toys,32.99,2023-02-22,Central
TXN018,CUST045,Electronics,289.99,2023-02-25,South
TXN019,CUST029,Home & Garden,175.00,2023-03-01,North
TXN020,CUST014,Clothing,95.50,2023-03-03,East
TXN021,CUST012,Sports,125.00,2023-03-05,East
TXN022,CUST033,Electronics,425.00,2023-03-08,West
TXN023,CUST007,Books,29.99,2023-03-10,Central
TXN024,CUST048,Toys,58.00,2023-03-12,South
TXN025,CUST021,Electronics,319.99,2023-03-15,North
TXN026,CUST039,Clothing,110.00,2023-03-18,East
TXN027,CUST005,Home & Garden,189.99,2023-03-20,West
TXN028,CUST042,Electronics,259.99,2023-03-22,Central
TXN029,CUST023,Sports,78.50,2023-03-25,North
TXN030,CUST016,Books,35.00,2023-03-28,East
TXN031,CUST027,Electronics,379.99,2023-04-02,South
TXN032,CUST012,Toys,41.99,2023-04-05,East
TXN033,CUST044,Clothing,88.00,2023-04-08,West
TXN034,CUST009,Electronics,299.00,2023-04-10,Central
TXN035,CUST035,Home & Garden,220.00,2023-04-12,North
TXN036,CUST018,Sports,145.50,2023-04-15,South
TXN037,CUST045,Electronics,339.99,2023-04-18,South
TXN038,CUST007,Books,22.50,2023-04-20,Central
TXN039,CUST031,Toys,49.99,2023-04-22,East
TXN040,CUST023,Electronics,415.00,2023-04-25,North
TXN041,CUST046,Clothing,72.00,2023-04-28,West
TXN042,CUST011,Home & Garden,165.00,2023-05-01,North
TXN043,CUST025,Electronics,289.99,2023-05-03,East
TXN044,CUST012,Sports,99.99,2023-05-06,East
TXN045,CUST038,Books,31.99,2023-05-08,South
TXN046,CUST049,Electronics,359.99,2023-05-10,West
TXN047,CUST015,Toys,55.00,2023-05-12,Central
TXN048,CUST023,Clothing,105.50,2023-05-15,North
TXN049,CUST006,Electronics,269.99,2023-05-18,South
TXN050,CUST040,Home & Garden,195.00,2023-05-20,East
TXN051,CUST012,Electronics,449.00,2023-05-22,East
TXN052,CUST030,Sports,118.50,2023-05-25,West
TXN053,CUST007,Books,26.99,2023-05-28,Central
TXN054,CUST022,Electronics,329.99,2023-06-01,North
TXN055,CUST045,Toys,38.00,2023-06-03,South
TXN056,CUST017,Clothing,92.50,2023-06-05,East
TXN057,CUST036,Electronics,389.99,2023-06-08,West
TXN058,CUST023,Home & Garden,180.00,2023-06-10,North
TXN059,CUST013,Sports,135.00,2023-06-12,Central
TXN060,CUST047,Electronics,299.99,2023-06-15,South
TXN061,CUST008,Books,19.99,2023-06-18,East
TXN062,CUST012,Toys,62.50,2023-06-20,East
TXN063,CUST032,Electronics,419.99,2023-06-22,West
TXN064,CUST023,Clothing,115.00,2023-06-25,North
TXN065,CUST024,Home & Garden,205.00,2023-06-28,South
TXN066,CUST045,Electronics,349.99,2023-07-01,South
TXN067,CUST010,Sports,108.50,2023-07-03,East
TXN068,CUST007,Books,33.50,2023-07-05,Central
TXN069,CUST026,Electronics,279.99,2023-07-08,West
TXN070,CUST012,Toys,44.99,2023-07-10,East
TXN071,CUST043,Clothing,82.00,2023-07-12,North
TXN072,CUST023,Electronics,459.99,2023-07-15,North
TXN073,CUST020,Home & Garden,170.00,2023-07-18,South
TXN074,CUST045,Sports,142.50,2023-07-20,South
TXN075,CUST004,Electronics,309.99,2023-07-22,East
TXN076,CUST016,Books,28.00,2023-07-25,East
TXN077,CUST033,Toys,51.50,2023-07-28,West
TXN078,CUST012,Electronics,369.99,2023-08-01,East
TXN079,CUST023,Clothing,98.50,2023-08-03,North
TXN080,CUST045,Home & Garden,215.00,2023-08-05,South
TXN081,CUST001,Electronics,399.00,2023-08-08,Central
TXN082,CUST012,Sports,128.00,2023-08-10,East
TXN083,CUST007,Books,21.99,2023-08-12,Central
TXN084,CUST028,Electronics,319.99,2023-08-15,East
TXN085,CUST023,Toys,47.00,2023-08-18,North
TXN086,CUST050,Clothing,76.50,2023-08-20,West
TXN087,CUST045,Electronics,439.99,2023-08-22,South
TXN088,CUST012,Home & Garden,185.00,2023-08-25,East
TXN089,CUST019,Sports,115.50,2023-08-28,North
TXN090,CUST034,Electronics,289.99,2023-09-01,West
TXN091,CUST007,Books,36.50,2023-09-03,Central
TXN092,CUST023,Toys,59.99,2023-09-05,North
TXN093,CUST045,Electronics,349.00,2023-09-08,South
TXN094,CUST012,Clothing,103.50,2023-09-10,East
TXN095,CUST041,Home & Garden,198.00,2023-09-12,South
TXN096,CUST002,Electronics,429.99,2023-09-15,Central
TXN097,CUST023,Sports,95.00,2023-09-18,North
TXN098,CUST016,Books,24.50,2023-09-20,East
TXN099,CUST045,Electronics,379.99,2023-09-22,South
TXN100,CUST012,Toys,42.50,2023-09-25,East
TXN101,CUST037,Clothing,89.00,2023-09-28,West
TXN102,CUST023,Electronics,469.99,2023-10-01,North
TXN103,CUST008,Home & Garden,225.00,2023-10-03,Central
TXN104,CUST045,Sports,152.50,2023-10-05,South
TXN105,CUST012,Electronics,339.99,2023-10-08,East
TXN106,CUST007,Books,30.99,2023-10-10,Central
TXN107,CUST029,Toys,54.00,2023-10-12,North
TXN108,CUST023,Clothing,112.50,2023-10-15,North
TXN109,CUST045,Electronics,409.99,2023-10-18,South
TXN110,CUST012,Home & Garden,190.00,2023-10-20,East
TXN111,CUST015,Sports,122.00,2023-10-22,Central
TXN112,CUST023,Electronics,359.99,2023-10-25,North
TXN113,CUST016,Books,27.50,2023-10-28,East
TXN114,CUST045,Toys,48.50,2023-11-01,South
TXN115,CUST012,Electronics,389.99,2023-11-03,East
TXN116,CUST033,Clothing,86.00,2023-11-05,West
TXN117,CUST023,Home & Garden,202.00,2023-11-08,North
TXN118,CUST007,Sports,138.50,2023-11-10,Central
TXN119,CUST045,Electronics,319.99,2023-11-12,South
TXN120,CUST012,Books,32.99,2023-11-15,East
