age,income,purchase_history,engagement_score,will_purchase
52,95000,31,0.78,1
33,42000,8,0.34,0
45,78000,22,0.65,1
28,35000,5,0.29,0
61,112000,38,0.82,1
39,58000,15,0.51,1
24,28000,3,0.22,0
55,89000,28,0.71,1
42,67000,19,0.58,1
31,41000,9,0.38,0
58,102000,34,0.79,1
36,52000,12,0.45,0
49,83000,26,0.68,1
26,32000,4,0.26,0
64,118000,41,0.85,1
44,72000,21,0.62,1
29,38000,7,0.33,0
53,91000,30,0.74,1
38,56000,14,0.49,0
60,108000,36,0.81,1
35,48000,11,0.42,0
50,86000,27,0.69,1
25,30000,3,0.24,0
62,115000,39,0.83,1
41,65000,18,0.56,1
30,39000,8,0.36,0
57,99000,33,0.77,1
37,54000,13,0.47,0
48,81000,25,0.66,1
27,34000,5,0.28,0
63,120000,42,0.86,1
43,69000,20,0.60,1
32,43000,9,0.39,0
56,94000,32,0.76,1
40,61000,16,0.53,1
51,88000,29,0.72,1
23,27000,2,0.21,0
59,105000,35,0.80,1
34,46000,10,0.41,0
47,79000,24,0.64,1
28,36000,6,0.31,0
65,123000,43,0.87,1
46,75000,23,0.63,1
33,44000,9,0.37,0
54,92000,31,0.75,1
39,59000,15,0.52,1
22,26000,2,0.20,0
61,110000,37,0.82,1
35,49000,11,0.43,0
52,90000,30,0.73,1
29,37000,7,0.32,0
58,100000,34,0.78,1
42,66000,19,0.57,1
24,29000,4,0.25,0
67,127000,45,0.89,1
45,73000,22,0.61,1
31,40000,8,0.35,0
55,93000,32,0.75,1
38,57000,14,0.50,1
49,84000,26,0.67,1
26,33000,5,0.27,0
62,114000,39,0.84,1
44,71000,21,0.59,1
30,38000,7,0.34,0
57,98000,33,0.77,1
36,51000,12,0.44,0
50,87000,28,0.70,1
25,31000,4,0.23,0
64,121000,41,0.85,1
41,64000,18,0.55,1
32,42000,9,0.38,0
56,96000,32,0.76,1
39,60000,16,0.54,1
48,82000,25,0.65,1
27,35000,6,0.30,0
66,125000,44,0.88,1
43,68000,20,0.58,1
33,45000,10,0.40,0
54,91000,31,0.74,1
40,62000,17,0.56,1
51,89000,29,0.71,1
23,28000,3,0.22,0
60,107000,36,0.81,1
34,47000,11,0.42,0
47,80000,24,0.64,1
28,36000,6,0.29,0
63,119000,40,0.84,1
46,76000,23,0.62,1
31,41000,8,0.36,0
55,94000,32,0.75,1
38,58000,15,0.51,1
49,85000,27,0.68,1
