age,income,purchase_history,engagement_score,will_purchase
39,68000,19,0.55,1
61,105000,42,0.81,1
28,45000,8,0.42,0
52,92000,31,0.73,1
34,58000,14,0.48,1
47,78000,25,0.64,1
25,38000,5,0.35,0
56,98000,36,0.78,1
42,71000,22,0.59,1
31,52000,11,0.44,0
59,102000,39,0.82,1
36,62000,17,0.53,1
44,75000,24,0.61,1
29,48000,9,0.40,0
53,95000,33,0.75,1
38,66000,18,0.54,1
48,81000,27,0.67,1
26,41000,6,0.37,0
58,100000,38,0.80,1
41,70000,21,0.58,1
33,55000,13,0.46,0
55,96000,35,0.77,1
37,64000,16,0.52,1
46,77000,26,0.65,1
27,43000,7,0.39,0
57,99000,37,0.79,1
40,69000,20,0.56,1
32,54000,12,0.45,0
54,94000,34,0.76,1
35,60000,15,0.50,1
49,83000,28,0.68,1
24,37000,4,0.34,0
60,104000,41,0.83,1
43,73000,23,0.60,1
30,50000,10,0.43,0
51,90000,30,0.72,1
45,76000,25,0.63,1
23,35000,3,0.32,0
62,107000,43,0.84,1
50,88000,29,0.70,1
22,33000,2,0.30,0
63,110000,44,0.85,1
65,115000,46,0.87,1
21,31000,1,0.28,0
64,112000,45,0.86,1
20,29000,0,0.26,0
66,118000,47,0.88,1
67,121000,48,0.89,1
68,124000,49,0.90,1
69,127000,50,0.91,1
70,130000,50,0.92,1
39,67000,19,0.55,1
28,44000,8,0.41,0
52,91000,32,0.74,1
34,57000,14,0.47,0
47,79000,26,0.66,1
25,39000,5,0.36,0
56,97000,36,0.77,1
42,72000,22,0.60,1
31,51000,11,0.43,0
59,103000,40,0.83,1
36,63000,17,0.54,1
44,74000,24,0.62,1
29,47000,9,0.39,0
53,93000,33,0.74,1
38,65000,18,0.53,1
48,80000,27,0.66,1
26,40000,6,0.36,0
58,101000,38,0.81,1
41,71000,21,0.59,1
33,56000,13,0.47,0
55,95000,35,0.76,1
37,63000,16,0.51,1
46,78000,26,0.64,1
27,42000,7,0.38,0
57,98000,37,0.78,1
40,68000,20,0.55,1
32,53000,12,0.44,0
54,92000,34,0.75,1
35,61000,15,0.51,1
49,84000,28,0.69,1
24,36000,4,0.33,0
60,105000,41,0.82,1
43,72000,23,0.59,1
30,49000,10,0.42,0
51,89000,30,0.71,1
45,77000,25,0.64,1
23,34000,3,0.31,0
62,108000,43,0.85,1
50,87000,29,0.69,1
22,32000,2,0.29,0
63,111000,44,0.86,1
39,66000,19,0.54,1
28,46000,8,0.42,0
52,90000,31,0.72,1
34,59000,14,0.49,1
47,80000,25,0.65,1
25,40000,5,0.37,0
56,96000,36,0.76,1
42,70000,22,0.58,1
31,52000,11,0.45,0
59,104000,39,0.84,1
36,64000,17,0.55,1
44,76000,24,0.63,1
29,48000,9,0.41,0
53,94000,33,0.76,1
38,67000,18,0.56,1
48,82000,27,0.68,1
26,41000,6,0.38,0
58,102000,38,0.82,1
41,69000,21,0.57,1
33,54000,13,0.46,0
55,97000,35,0.78,1
37,65000,16,0.53,1
46,79000,26,0.66,1
27,44000,7,0.40,0
57,100000,37,0.80,1
40,70000,20,0.58,1
32,55000,12,0.46,0
54,93000,34,0.74,1
35,62000,15,0.52,1
49,85000,28,0.70,1
24,38000,4,0.35,0
60,106000,41,0.83,1
43,74000,23,0.61,1
30,51000,10,0.44,0
51,91000,30,0.73,1
45,78000,25,0.65,1
23,36000,3,0.33,0
62,109000,43,0.84,1
50,89000,29,0.71,1
22,34000,2,0.31,0
63,112000,44,0.87,1
65,116000,46,0.88,1
21,30000,1,0.27,0
64,113000,45,0.85,1
20,28000,0,0.25,0
66,119000,47,0.89,1
67,122000,48,0.90,1
68,125000,49,0.91,1
69,128000,50,0.92,1
70,131000,50,0.93,1
39,69000,19,0.57,1
28,45000,8,0.40,0
52,93000,32,0.75,1
34,58000,14,0.48,1
47,81000,26,0.67,1
25,39000,5,0.35,0
56,99000,36,0.79,1
42,73000,22,0.61,1
31,53000,11,0.46,0
59,105000,40,0.84,1
36,62000,17,0.52,1
44,75000,24,0.62,1
29,46000,9,0.38,0
53,95000,33,0.77,1
38,68000,18,0.57,1
48,83000,27,0.69,1
26,42000,6,0.39,0
58,103000,38,0.83,1
41,72000,21,0.60,1
33,57000,13,0.49,0
55,98000,35,0.79,1
37,66000,16,0.54,1
46,80000,26,0.67,1
27,45000,7,0.41,0
57,101000,37,0.81,1
40,71000,20,0.59,1
32,56000,12,0.47,0
54,94000,34,0.76,1
35,63000,15,0.53,1
49,86000,28,0.71,1
24,39000,4,0.36,0
60,107000,41,0.84,1
43,75000,23,0.62,1
30,52000,10,0.45,0
51,92000,30,0.74,1
45,79000,25,0.66,1
23,37000,3,0.34,0
62,110000,43,0.86,1
50,90000,29,0.72,1
22,35000,2,0.32,0
63,113000,44,0.88,1
39,70000,19,0.58,1
28,47000,8,0.43,0
52,94000,32,0.76,1
34,60000,14,0.50,1
47,82000,26,0.68,1
25,41000,5,0.38,0
56,100000,36,0.80,1
42,74000,22,0.62,1
31,54000,11,0.47,0
59,106000,40,0.85,1
36,65000,17,0.55,1
44,77000,24,0.64,1
29,49000,9,0.42,0
53,96000,33,0.78,1
38,69000,18,0.58,1
48,84000,27,0.70,1
26,43000,6,0.40,0
58,104000,38,0.84,1
41,73000,21,0.61,1
33,58000,13,0.50,0
55,99000,35,0.80,1
37,67000,16,0.56,1
46,81000,26,0.68,1
27,46000,7,0.42,0
57,102000,37,0.82,1
40,72000,20,0.60,1
32,57000,12,0.48,0
54,95000,34,0.77,1
35,64000,15,0.54,1
49,87000,28,0.72,1
24,40000,4,0.37,0
60,108000,41,0.85,1
43,76000,23,0.63,1
30,53000,10,0.46,0
51,93000,30,0.75,1
45,80000,25,0.67,1
23,38000,3,0.35,0
62,111000,43,0.87,1
50,91000,29,0.73,1
22,36000,2,0.33,0
63,114000,44,0.89,1
65,117000,46,0.90,1
21,31000,1,0.29,0
64,114000,45,0.88,1
20,29000,0,0.27,0
66,120000,47,0.91,1
67,123000,48,0.92,1
68,126000,49,0.93,1
69,129000,50,0.94,1
70,132000,50,0.95,1
39,71000,19,0.59,1
28,48000,8,0.44,0
52,95000,32,0.77,1
34,61000,14,0.51,1
47,83000,26,0.69,1
25,42000,5,0.39,0
56,101000,36,0.81,1
42,75000,22,0.63,1
31,55000,11,0.48,0
59,107000,40,0.86,1
36,66000,17,0.56,1
44,78000,24,0.65,1
29,50000,9,0.43,0
53,97000,33,0.79,1
38,70000,18,0.59,1
48,85000,27,0.71,1
26,44000,6,0.41,0
58,105000,38,0.85,1
41,74000,21,0.62,1
33,59000,13,0.51,0
55,100000,35,0.81,1
37,68000,16,0.57,1
46,82000,26,0.69,1
27,47000,7,0.43,0
57,103000,37,0.83,1
40,73000,20,0.61,1
32,58000,12,0.49,0
54,96000,34,0.78,1
35,65000,15,0.55,1
49,88000,28,0.73,1
24,41000,4,0.38,0
60,109000,41,0.86,1
43,77000,23,0.64,1
30,54000,10,0.47,0
51,94000,30,0.76,1
45,81000,25,0.68,1
23,39000,3,0.36,0
62,112000,43,0.88,1
50,92000,29,0.74,1
22,37000,2,0.34,0
63,115000,44,0.90,1
39,72000,19,0.60,1
28,49000,8,0.45,0
52,96000,32,0.78,1
34,62000,14,0.52,1
47,84000,26,0.70,1
25,43000,5,0.40,0
56,102000,36,0.82,1
42,76000,22,0.64,1
31,56000,11,0.49,0
59,108000,40,0.87,1
36,67000,17,0.57,1
44,79000,24,0.66,1
29,51000,9,0.44,0
53,98000,33,0.80,1
38,71000,18,0.60,1
48,86000,27,0.72,1
26,45000,6,0.42,0
58,106000,38,0.86,1
41,75000,21,0.63,1
33,60000,13,0.52,0
55,101000,35,0.82,1
37,69000,16,0.58,1
46,83000,26,0.70,1
27,48000,7,0.44,0
57,104000,37,0.84,1
40,74000,20,0.62,1
32,59000,12,0.50,0
54,97000,34,0.79,1
35,66000,15,0.56,1
49,89000,28,0.74,1
24,42000,4,0.39,0
60,110000,41,0.87,1
43,78000,23,0.65,1
30,55000,10,0.48,0
51,95000,30,0.77,1
45,82000,25,0.69,1
23,40000,3,0.37,0
62,113000,43,0.89,1
50,93000,29,0.75,1
22,38000,2,0.35,0
63,116000,44,0.91,1
65,118000,46,0.92,1
21,32000,1,0.30,0
64,115000,45,0.89,1
20,30000,0,0.28,0
66,121000,47,0.92,1
67,124000,48,0.93,1
68,127000,49,0.94,1
69,130000,50,0.95,1
70,133000,50,0.96,1
39,73000,19,0.61,1
28,50000,8,0.46,0
52,97000,32,0.79,1
34,63000,14,0.53,1
47,85000,26,0.71,1
25,44000,5,0.41,0
56,103000,36,0.83,1
42,77000,22,0.65,1
31,57000,11,0.50,0
59,109000,40,0.88,1
36,68000,17,0.58,1
44,80000,24,0.67,1
29,52000,9,0.45,0
53,99000,33,0.81,1
38,72000,18,0.61,1
48,87000,27,0.73,1
26,46000,6,0.43,0
58,107000,38,0.87,1
41,76000,21,0.64,1
33,61000,13,0.53,0
55,102000,35,0.83,1
37,70000,16,0.59,1
46,84000,26,0.71,1
27,49000,7,0.45,0
57,105000,37,0.85,1
40,75000,20,0.63,1
32,60000,12,0.51,0
54,98000,34,0.80,1
35,67000,15,0.57,1
49,90000,28,0.75,1
24,43000,4,0.40,0
60,111000,41,0.88,1
43,79000,23,0.66,1
30,56000,10,0.49,0
51,96000,30,0.78,1
45,83000,25,0.70,1
23,41000,3,0.38,0
62,114000,43,0.90,1
50,94000,29,0.76,1
22,39000,2,0.36,0
63,117000,44,0.92,1
39,74000,19,0.62,1
28,51000,8,0.47,0
52,98000,32,0.80,1
34,64000,14,0.54,1
47,86000,26,0.72,1
25,45000,5,0.42,0
56,104000,36,0.84,1
42,78000,22,0.66,1
31,58000,11,0.51,0
59,110000,40,0.89,1
36,69000,17,0.59,1
44,81000,24,0.68,1
29,53000,9,0.46,0
53,100000,33,0.82,1
38,73000,18,0.62,1
48,88000,27,0.74,1
26,47000,6,0.44,0
58,108000,38,0.88,1
41,77000,21,0.65,1
33,62000,13,0.54,0
55,103000,35,0.84,1
37,71000,16,0.60,1
46,85000,26,0.72,1
27,50000,7,0.46,0
57,106000,37,0.86,1
40,76000,20,0.64,1
