timestamp,temperature,is_weekend,hour,consumption_kwh
2024-01-01T00:00:00,5.2,0,0,198.3
2024-01-01T01:00:00,4.8,0,1,185.4
2024-01-01T02:00:00,4.3,0,2,178.9
2024-01-01T03:00:00,3.9,0,3,172.5
2024-01-01T04:00:00,3.5,0,4,168.7
2024-01-01T05:00:00,3.2,0,5,165.3
2024-01-01T06:00:00,3.1,0,6,182.6
2024-01-01T07:00:00,4.5,0,7,245.8
2024-01-01T08:00:00,6.8,0,8,312.4
2024-01-01T09:00:00,9.2,0,9,348.6
2024-01-01T10:00:00,11.5,0,10,368.2
2024-01-01T11:00:00,13.8,0,11,375.9
2024-01-01T12:00:00,15.2,0,12,382.4
2024-01-01T13:00:00,16.8,0,13,378.5
2024-01-01T14:00:00,18.5,0,14,365.7
2024-01-01T15:00:00,18.9,0,15,358.3
2024-01-01T16:00:00,17.8,0,16,352.6
2024-01-01T17:00:00,15.6,0,17,362.8
2024-01-01T18:00:00,13.2,0,18,385.4
2024-01-01T19:00:00,11.5,0,19,392.7
2024-01-01T20:00:00,9.8,0,20,368.9
2024-01-01T21:00:00,8.6,0,21,325.4
2024-01-01T22:00:00,7.5,0,22,278.6
2024-01-01T23:00:00,6.4,0,23,232.5
2024-01-02T00:00:00,5.8,0,0,195.7
2024-01-02T01:00:00,5.3,0,1,182.8
2024-01-02T02:00:00,4.9,0,2,176.4
2024-01-02T03:00:00,4.5,0,3,170.9
2024-01-02T04:00:00,4.1,0,4,167.3
2024-01-02T05:00:00,3.8,0,5,163.8
2024-01-02T06:00:00,3.7,0,6,180.4
2024-01-02T07:00:00,5.1,0,7,242.6
2024-01-02T08:00:00,7.4,0,8,308.9
2024-01-02T09:00:00,9.8,0,9,345.3
2024-01-02T10:00:00,12.1,0,10,365.8
2024-01-02T11:00:00,14.4,0,11,373.2
2024-01-02T12:00:00,15.8,0,12,379.6
2024-01-02T13:00:00,17.4,0,13,375.9
2024-01-02T14:00:00,19.1,0,14,363.4
2024-01-02T15:00:00,19.5,0,15,356.1
2024-01-02T16:00:00,18.4,0,16,350.3
2024-01-02T17:00:00,16.2,0,17,360.5
2024-01-02T18:00:00,13.8,0,18,383.1
2024-01-02T19:00:00,12.1,0,19,390.4
2024-01-02T20:00:00,10.4,0,20,366.7
2024-01-02T21:00:00,9.2,0,21,323.2
2024-01-02T22:00:00,8.1,0,22,276.4
2024-01-02T23:00:00,7.0,0,23,230.3
2024-01-03T00:00:00,6.4,0,0,193.5
2024-01-03T01:00:00,5.9,0,1,180.6
2024-01-03T02:00:00,5.5,0,2,174.2
2024-01-03T03:00:00,5.1,0,3,168.7
2024-01-03T04:00:00,4.7,0,4,165.1
2024-01-03T05:00:00,4.4,0,5,161.6
2024-01-03T06:00:00,4.3,0,6,178.2
2024-01-03T07:00:00,5.7,0,7,240.4
2024-01-03T08:00:00,8.0,0,8,306.7
2024-01-03T09:00:00,10.4,0,9,343.1
2024-01-03T10:00:00,12.7,0,10,363.6
2024-01-03T11:00:00,15.0,0,11,371.0
2024-01-03T12:00:00,16.4,0,12,377.4
2024-01-03T13:00:00,18.0,0,13,373.7
2024-01-03T14:00:00,19.7,0,14,361.2
2024-01-03T15:00:00,20.1,0,15,353.9
2024-01-03T16:00:00,19.0,0,16,348.1
2024-01-03T17:00:00,16.8,0,17,358.3
2024-01-03T18:00:00,14.4,0,18,380.9
2024-01-03T19:00:00,12.7,0,19,388.2
2024-01-03T20:00:00,11.0,0,20,364.5
2024-01-03T21:00:00,9.8,0,21,321.0
2024-01-03T22:00:00,8.7,0,22,274.2
2024-01-03T23:00:00,7.6,0,23,228.1
2024-01-04T00:00:00,7.0,0,0,191.3
2024-01-04T01:00:00,6.5,0,1,178.4
2024-01-04T02:00:00,6.1,0,2,172.0
2024-01-04T03:00:00,5.7,0,3,166.5
2024-01-04T04:00:00,5.3,0,4,162.9
2024-01-04T05:00:00,5.0,0,5,159.4
2024-01-04T06:00:00,4.9,0,6,176.0
2024-01-04T07:00:00,6.3,0,7,238.2
2024-01-04T08:00:00,8.6,0,8,304.5
2024-01-04T09:00:00,11.0,0,9,340.9
2024-01-04T10:00:00,13.3,0,10,361.4
2024-01-04T11:00:00,15.6,0,11,368.8
2024-01-04T12:00:00,17.0,0,12,375.2
2024-01-04T13:00:00,18.6,0,13,371.5
2024-01-04T14:00:00,20.3,0,14,359.0
2024-01-04T15:00:00,20.7,0,15,351.7
2024-01-04T16:00:00,19.6,0,16,345.9
2024-01-04T17:00:00,17.4,0,17,356.1
2024-01-04T18:00:00,15.0,0,18,378.7
2024-01-04T19:00:00,13.3,0,19,386.0
