transaction_id	timestamp	amount	currency	customer_id	payment_method
TXN-A-1001	2024-01-15 08:00:00	125.50	USD	CUST-2341	credit_card
TXN-A-1002	2024-01-15 08:15:00	89.99	EUR	CUST-1872	debit_card
TXN-A-1003	2024-01-15 08:30:00	250.00	GBP	CUST-4521	bank_transfer
TXN-A-1004	2024-01-15 08:45:00	45.75	USD	CUST-3109	credit_card
TXN-A-1005	2024-01-15 09:00:00	199.99	EUR	CUST-2876	credit_card
TXN-A-1006	2024-01-15 09:15:00	75.25	USD	CUST-1234	debit_card
TXN-A-1007	2024-01-15 09:30:00	320.00	GBP	CUST-5647	bank_transfer
TXN-A-1008	2024-01-15 09:45:00	15.50	USD	CUST-4329	credit_card
TXN-A-1009	2024-01-15 10:00:00	155.80	EUR	CUST-2109	debit_card
TXN-A-1010	2024-01-15 10:15:00	425.00	USD	CUST-3456	credit_card
TXN-A-1011	2024-01-15 10:30:00	67.40	GBP	CUST-1987	bank_transfer
TXN-A-1012	2024-01-15 10:45:00	99.99	EUR	CUST-4782	credit_card
TXN-A-1013	2024-01-15 11:00:00	180.25	USD	CUST-2564	debit_card
TXN-A-1014	2024-01-15 11:15:00	210.00	GBP	CUST-3890	credit_card
TXN-A-1015	2024-01-15 11:30:00	55.99	EUR	CUST-1654	bank_transfer
TXN-A-1016	2024-01-15 11:45:00	340.50	USD	CUST-4123	credit_card
TXN-A-1017	2024-01-15 12:00:00	120.00	GBP	CUST-2987	debit_card
TXN-A-1018	2024-01-15 12:15:00	88.75	EUR	CUST-3245	credit_card
TXN-A-1019	2024-01-15 12:30:00	175.30	USD	CUST-1876	bank_transfer
TXN-A-1020	2024-01-15 12:45:00	295.00	GBP	CUST-4567	credit_card
TXN-A-1021	2024-01-15 13:00:00	42.99	USD	CUST-2398	debit_card
TXN-A-1022	2024-01-15 13:15:00	165.50	EUR	CUST-3712	credit_card
TXN-A-1023	2024-01-15 13:30:00	230.00	GBP	CUST-1543	bank_transfer
TXN-A-1024	2024-01-15 13:45:00	95.25	USD	CUST-4890	debit_card
TXN-A-1025	2024-01-15 14:00:00	380.00	EUR	CUST-2156	credit_card
TXN-A-1026	2024-01-15 14:15:00	145.99	USD	CUST-3421	bank_transfer
TXN-A-1027	2024-01-15 14:30:00	275.50	GBP	CUST-1789	credit_card
TXN-A-1028	2024-01-15 14:45:00	58.00	EUR	CUST-4234	debit_card
TXN-A-1029	2024-01-15 15:00:00	190.75	USD	CUST-2671	credit_card
TXN-A-1030	2024-01-15 15:15:00	310.00	GBP	CUST-3908	bank_transfer
TXN-A-1031	2024-01-15 15:30:00	72.50	EUR	CUST-1432	credit_card
TXN-A-1032	2024-01-15 15:45:00	450.00	USD	CUST-4765	debit_card
TXN-A-1033	2024-01-15 16:00:00	135.25	GBP	CUST-2543	credit_card
TXN-A-1034	2024-01-15 16:15:00	220.80	EUR	CUST-3187	bank_transfer
TXN-A-1035	2024-01-15 16:30:00	85.00	USD	CUST-1965	credit_card
TXN-A-1036	2024-01-15 16:45:00	365.50	GBP	CUST-4321	debit_card
TXN-A-1037	2024-01-15 17:00:00	115.99	EUR	CUST-2809	credit_card
TXN-A-1038	2024-01-15 17:15:00	255.00	USD	CUST-3654	bank_transfer
TXN-A-1039	2024-01-15 17:30:00	410.25	GBP	CUST-1298	credit_card
TXN-A-1040	2024-01-15 17:45:00	92.50	EUR	CUST-4512	debit_card
TXN-A-1041	2024-01-15 18:00:00	160.00	USD	CUST-2734	credit_card
TXN-A-1042	2024-01-15 18:15:00	285.75	GBP	CUST-3876	bank_transfer
TXN-A-1043	2024-01-15 18:30:00	105.50	EUR	CUST-1567	credit_card
