transaction_id	timestamp	amount	currency	customer_id	payment_method	merchant_id
TXN-B-1001	2024-01-15 07:30:00	125.50	USD	CUST-2001	credit_card	MERCH-101
TXN-B-1002	2024-01-15 07:45:12	89.99	EUR	CUST-2002	paypal	MERCH-102
TXN-B-1003	2024-01-15 08:15:33	245.00	CAD	CUST-2003	apple_pay	MERCH-103
TXN-B-1004	2024-01-15 08:30:45	67.25	USD	CUST-2004	credit_card	MERCH-101
TXN-B-1005	2024-01-15 08:52:18	399.99	EUR	CUST-2005	paypal	MERCH-104
TXN-B-1006	2024-01-15 09:10:22	156.75	USD	CUST-2006	apple_pay	MERCH-105
TXN-B-1007	2024-01-15 09:33:50	42.50	CAD	CUST-2007	credit_card	MERCH-102
TXN-B-1008	2024-01-15 09:55:11	598.00	USD	CUST-2008	paypal	MERCH-106
TXN-B-1009	2024-01-15 10:12:37	73.80	EUR	CUST-2009	apple_pay	MERCH-103
TXN-B-1010	2024-01-15 10:28:44	215.25	CAD	CUST-2010	credit_card	MERCH-107
TXN-B-1011	2024-01-15 10:47:55	189.99	USD	CUST-2011	paypal	MERCH-101
TXN-B-1012	2024-01-15 11:05:20	450.00	EUR	CUST-2012	apple_pay	MERCH-108
TXN-B-1013	2024-01-15 11:22:33	95.50	CAD	CUST-2013	credit_card	MERCH-104
TXN-B-1014	2024-01-15 11:40:18	328.75	USD	CUST-2014	paypal	MERCH-102
TXN-B-1015	2024-01-15 12:02:45	55.00	EUR	CUST-2015	apple_pay	MERCH-109
TXN-B-1016	2024-01-15 12:25:10	675.50	CAD	CUST-2016	credit_card	MERCH-105
TXN-B-1017	2024-01-15 12:48:33	112.25	USD	CUST-2017	paypal	MERCH-110
TXN-B-1018	2024-01-15 13:10:55	285.00	EUR	CUST-2018	apple_pay	MERCH-106
TXN-B-1019	2024-01-15 13:32:20	149.99	CAD	CUST-2019	credit_card	MERCH-103
TXN-B-1020	2024-01-15 13:55:42	520.75	USD	CUST-2020	paypal	MERCH-111
TXN-B-1021	2024-01-15 14:15:08	78.50	EUR	CUST-2021	apple_pay	MERCH-107
TXN-B-1022	2024-01-15 14:38:25	365.25	CAD	CUST-2022	credit_card	MERCH-101
TXN-B-1023	2024-01-15 14:59:50	199.00	USD	CUST-2023	paypal	MERCH-112
TXN-B-1024	2024-01-15 15:18:15	88.75	EUR	CUST-2024	apple_pay	MERCH-108
TXN-B-1025	2024-01-15 15:40:33	425.50	CAD	CUST-2025	credit_card	MERCH-104
TXN-B-1026	2024-01-15 16:02:47	165.00	USD	CUST-2026	paypal	MERCH-113
TXN-B-1027	2024-01-15 16:25:10	298.99	EUR	CUST-2027	apple_pay	MERCH-109
TXN-B-1028	2024-01-15 16:48:22	135.25	CAD	CUST-2028	credit_card	MERCH-102
TXN-B-1029	2024-01-15 17:10:45	550.00	USD	CUST-2029	paypal	MERCH-114
TXN-B-1030	2024-01-15 17:32:18	92.50	EUR	CUST-2030	apple_pay	MERCH-105
TXN-B-1031	2024-01-15 17:55:30	385.75	CAD	CUST-2031	credit_card	MERCH-110
TXN-B-1032	2024-01-15 18:15:55	225.00	USD	CUST-2032	paypal	MERCH-106
TXN-B-1033	2024-01-15 18:38:12	115.99	EUR	CUST-2033	apple_pay	MERCH-115
TXN-B-1034	2024-01-15 18:52:40	645.25	CAD	CUST-2034	credit_card	MERCH-111
TXN-B-1035	2024-01-15 19:00:00	178.50	USD	CUST-2035	paypal	MERCH-103
