customer_id,income,debt_ratio,credit_history_length,num_credit_lines,credit_utilization,num_late_payments,employment_length,age,has_mortgage,default_risk,dataset_type
1001,45.5,0.35,120,5,0.45,1,48,34,1,0,train
1002,32.0,0.78,48,3,0.85,4,24,28,0,1,train
1003,68.0,0.22,180,8,0.30,0,96,45,1,0,train
1004,52.3,0.65,72,4,0.72,3,36,31,0,1,train
1005,89.5,0.18,240,10,0.25,0,120,52,1,0,train
1006,38.0,0.82,36,2,0.88,5,18,26,0,1,train
1007,75.0,0.28,200,9,0.35,0,108,48,1,0,train
1008,41.0,0.55,90,4,0.65,2,42,33,0,0,train
1009,28.0,0.95,24,2,0.92,6,12,24,0,1,train
1010,95.0,0.15,280,12,0.20,0,144,58,1,0,train
1011,55.0,0.45,140,6,0.50,1,60,38,1,0,train
1012,33.5,0.88,40,3,0.90,5,20,27,0,1,train
1013,72.0,0.25,190,8,0.32,0,102,47,1,0,train
1014,48.0,0.60,100,5,0.68,3,45,35,0,1,train
1015,62.0,0.30,160,7,0.38,0,78,42,1,0,train
1016,35.0,0.85,32,2,0.87,4,16,25,0,1,train
1017,80.0,0.20,220,9,0.28,0,115,50,1,0,train
1018,44.0,0.70,65,4,0.75,3,30,32,0,1,train
1019,58.0,0.35,150,6,0.42,1,70,40,1,0,train
1020,91.0,0.16,260,11,0.22,0,130,55,1,0,train
1021,40.0,0.75,55,3,0.80,4,28,29,0,1,train
1022,67.0,0.27,175,8,0.33,0,95,46,1,0,train
1023,50.0,0.50,110,5,0.55,2,50,36,1,0,train
1024,30.0,0.92,28,2,0.95,6,14,23,0,1,train
1025,78.0,0.23,210,9,0.30,0,110,49,1,0,train
1026,43.0,0.68,70,4,0.73,3,32,31,0,1,train
1027,85.0,0.19,250,10,0.24,0,125,54,1,0,train
1028,36.0,0.80,38,2,0.85,5,22,26,0,1,train
1029,65.0,0.32,170,7,0.40,0,88,43,1,0,train
1030,47.0,0.58,95,5,0.62,2,44,34,0,0,train
1031,53.0,0.48,130,6,0.52,1,65,39,1,0,train
1032,34.0,0.87,35,2,0.89,5,19,25,0,1,train
1033,70.0,0.26,185,8,0.34,0,100,47,1,0,train
1034,42.0,0.72,60,3,0.78,4,29,30,0,1,train
1035,60.0,0.33,155,7,0.43,1,72,41,1,0,train
1036,88.0,0.17,245,11,0.23,0,135,53,1,0,train
1037,39.0,0.77,50,3,0.82,4,26,28,0,1,train
1038,73.0,0.24,195,8,0.31,0,105,48,1,0,train
1039,46.0,0.62,85,4,0.70,3,40,33,0,1,train
1040,56.0,0.38,145,6,0.46,1,68,39,1,0,train
1041,93.0,0.14,270,12,0.19,0,140,56,1,0,train
1042,37.0,0.83,42,2,0.86,5,21,27,0,1,train
1043,69.0,0.29,165,7,0.37,0,90,44,1,0,train
1044,49.0,0.54,105,5,0.60,2,48,35,1,0,train
1045,31.0,0.90,30,2,0.93,6,15,24,0,1,train
1046,76.0,0.21,205,9,0.29,0,112,49,1,0,train
1047,44.5,0.66,68,4,0.74,3,34,32,0,1,train
1048,82.0,0.18,235,10,0.26,0,122,52,1,0,train
1049,38.5,0.79,45,3,0.84,4,23,27,0,1,train
1050,64.0,0.31,162,7,0.41,0,82,42,1,0,train
1051,51.0,0.52,115,5,0.58,2,52,37,1,0,train
1052,35.5,0.86,34,2,0.88,5,18,26,0,1,train
1053,71.0,0.25,188,8,0.33,0,103,47,1,0,train
1054,43.5,0.69,63,4,0.76,3,31,31,0,1,train
1055,59.0,0.36,152,6,0.44,1,74,40,1,0,train
1056,90.0,0.16,265,11,0.21,0,138,55,1,0,train
1057,40.5,0.74,52,3,0.81,4,27,29,0,1,train
1058,66.0,0.28,172,7,0.36,0,92,45,1,0,train
1059,48.5,0.56,102,5,0.64,2,46,34,0,0,train
1060,32.5,0.89,29,2,0.91,6,13,24,0,1,train
1061,77.0,0.22,208,9,0.30,0,114,50,1,0,train
1062,45.0,0.64,75,4,0.71,3,35,32,0,1,train
1063,84.0,0.19,242,10,0.25,0,128,53,1,0,train
1064,39.5,0.76,47,3,0.83,4,25,28,0,1,train
1065,63.0,0.34,158,7,0.42,0,80,42,1,0,train
1066,52.5,0.49,125,6,0.54,1,62,38,1,0,train
1067,36.5,0.84,37,2,0.87,5,20,26,0,1,train
1068,74.0,0.23,198,8,0.32,0,106,48,1,0,train
1069,47.5,0.61,88,4,0.69,3,38,33,0,1,train
1070,57.0,0.37,148,6,0.45,1,71,40,1,0,train
1071,92.0,0.15,272,12,0.20,0,142,57,1,0,train
1072,38.0,0.81,44,2,0.86,5,22,27,0,1,train
1073,68.5,0.27,178,8,0.35,0,98,46,1,0,train
1074,50.5,0.53,108,5,0.61,2,49,36,1,0,train
1075,33.0,0.91,31,2,0.94,6,14,24,0,1,train
1076,79.0,0.20,215,9,0.28,0,116,50,1,0,train
1077,42.5,0.67,66,4,0.74,3,33,31,0,1,train
1078,86.0,0.17,248,10,0.24,0,132,54,1,0,train
1079,37.5,0.82,41,2,0.86,5,21,27,0,1,train
1080,65.5,0.30,168,7,0.39,0,86,43,1,0,train
1081,49.5,0.55,106,5,0.63,2,47,35,0,0,train
1082,54.0,0.46,135,6,0.51,1,66,39,1,0,train
1083,34.5,0.88,33,2,0.89,5,17,25,0,1,train
1084,72.5,0.24,192,8,0.32,0,104,47,1,0,train
1085,44.0,0.71,62,4,0.77,4,30,31,0,1,train
1086,61.0,0.32,156,7,0.41,0,76,41,1,0,train
1087,89.0,0.16,262,11,0.22,0,136,55,1,0,train
1088,41.5,0.73,54,3,0.80,4,28,29,0,1,train
1089,67.5,0.26,174,7,0.34,0,94,45,1,0,train
1090,46.5,0.59,92,5,0.66,2,42,34,0,0,train
1091,55.5,0.40,142,6,0.48,1,69,39,1,0,train
1092,94.0,0.14,275,12,0.19,0,145,57,1,0,train
1093,36.0,0.85,36,2,0.88,5,19,26,0,1,train
1094,70.5,0.25,182,8,0.33,0,101,47,1,0,train
1095,48.0,0.57,98,5,0.65,2,44,34,0,0,train
1096,30.5,0.93,27,2,0.94,6,13,23,0,1,train
1097,75.5,0.21,202,9,0.29,0,111,49,1,0,train
1098,43.0,0.70,64,4,0.75,3,32,31,0,1,train
1099,83.0,0.18,238,10,0.25,0,126,52,1,0,train
1100,39.0,0.78,46,3,0.84,4,24,28,0,1,train
1101,64.5,0.31,164,7,0.40,0,84,43,1,0,train
1102,51.5,0.51,118,5,0.57,2,54,37,1,0,train
1103,35.0,0.87,35,2,0.88,5,18,26,0,1,train
1104,71.5,0.24,190,8,0.32,0,102,47,1,0,train
1105,45.5,0.63,78,4,0.72,3,36,32,0,1,train
1106,58.5,0.35,150,6,0.43,1,73,40,1,0,test
1107,91.5,0.15,268,11,0.21,0,139,56,1,0,test
1108,40.0,0.75,51,3,0.81,4,26,29,0,1,test
1109,66.5,0.28,176,7,0.36,0,93,45,1,0,test
1110,47.0,0.60,90,5,0.67,2,43,34,0,0,test
1111,32.0,0.90,28,2,0.92,6,14,24,0,1,test
1112,78.5,0.20,212,9,0.28,0,113,50,1,0,test
1113,44.5,0.65,73,4,0.73,3,34,32,0,1,test
1114,85.5,0.17,246,10,0.24,0,130,53,1,0,test
1115,38.5,0.80,43,2,0.85,5,22,27,0,1,test
1116,63.5,0.33,160,7,0.41,0,81,42,1,0,test
1117,50.0,0.54,112,5,0.59,2,51,36,1,0,test
1118,35.5,0.86,35,2,0.88,5,19,26,0,1,test
1119,73.5,0.23,196,8,0.31,0,105,48,1,0,test
1120,46.0,0.62,82,4,0.70,3,37,33,0,1,test
1121,56.5,0.38,146,6,0.46,1,70,40,1,0,test
1122,88.5,0.16,258,11,0.22,0,134,54,1,0,test
1123,41.0,0.74,53,3,0.80,4,27,29,0,1,test
1124,69.5,0.26,180,8,0.34,0,99,46,1,0,test
1125,49.0,0.56,104,5,0.64,2,46,35,0,0,test
1126,31.5,0.91,29,2,0.93,6,13,24,0,1,test
1127,76.5,0.21,206,9,0.29,0,112,49,1,0,test
1128,42.0,0.68,67,4,0.74,3,33,31,0,1,test
1129,81.0,0.19,230,10,0.26,0,124,51,1,0,test
1130,37.0,0.83,40,2,0.86,5,21,27,0,1,test
1131,62.5,0.34,159,7,0.42,0,79,42,1,0,test
1132,53.0,0.47,128,6,0.53,1,64,38,1,0,test
1133,34.0,0.89,32,2,0.90,5,17,25,0,1,test
1134,74.5,0.22,200,8,0.31,0,107,48,1,0,test
1135,48.5,0.58,96,5,0.66,2,44,34,0,0,test
1136,59.5,0.36,153,6,0.44,1,75,40,1,0,test
1137,95.0,0.14,280,12,0.20,0,148,58,1,0,test
1138,39.5,0.77,49,3,0.82,4,25,28,0,1,test
1139,67.0,0.29,173,7,0.37,0,91,45,1,0,test
1140,46.0,0.61,86,4,0.68,3,39,33,0,1,test
1141,54.5,0.44,138,6,0.50,1,67,39,1,0,test
1142,87.0,0.17,252,11,0.23,0,131,54,1,0,test
1143,38.0,0.81,42,2,0.85,5,22,27,0,1,test
1144,71.0,0.25,186,8,0.33,0,100,47,1,0,test
1145,50.5,0.52,114,5,0.60,2,50,36,1,0,test
1146,33.5,0.92,30,2,0.94,6,14,24,0,1,test
1147,80.5,0.19,225,9,0.27,0,119,51,1,0,test
1148,43.5,0.69,70,4,0.75,3,35,32,0,1,test
1149,86.5,0.17,250,10,0.24,0,133,53,1,0,test
1150,40.5,0.76,50,3,0.83,4,26,28,0,1,test
