customer_id,ticket_id,issue_date,issue_type,status,priority,resolution_time_hours
1001,TKT-10001,2023-01-15,Technical Issue,Closed,High,24
1002,TKT-10002,2023-01-18,Billing Question,Closed,Medium,8
1003,TKT-10003,2023-01-22,Product Inquiry,Closed,Low,4
1004,TKT-10004,2023-02-05,Return Request,Closed,Medium,12
1005,TKT-10005,2023-02-10,Technical Issue,Closed,Critical,2
1006,TKT-10006,2023-02-14,Feature Request,Open,Low,48
1007,TKT-10007,2023-02-20,Billing Question,Closed,High,6
1008,TKT-10008,2023-03-01,Technical Issue,Closed,Medium,16
1009,TKT-10009,2023-03-05,Product Inquiry,Closed,Low,3
1010,TKT-10010,2023-03-12,Return Request,Closed,Medium,10
1011,TKT-10011,2023-03-18,Technical Issue,In Progress,High,36
1012,TKT-10012,2023-03-25,Billing Question,Closed,Low,5
1013,TKT-10013,2023-04-02,Feature Request,Pending,Medium,24
1014,TKT-10014,2023-04-08,Technical Issue,Closed,Critical,1
1015,TKT-10015,2023-04-15,Product Inquiry,Closed,Low,7
1016,TKT-10016,2023-04-22,Return Request,Closed,High,14
1017,TKT-10017,2023-04-28,Billing Question,Closed,Medium,9
1018,TKT-10018,2023-05-05,Technical Issue,Closed,High,20
1019,TKT-10019,2023-05-12,Feature Request,Open,Low,56
1020,TKT-10020,2023-05-18,Product Inquiry,Closed,Medium,6
1021,TKT-10021,2023-05-25,Technical Issue,Closed,Critical,3
1022,TKT-10022,2023-06-01,Billing Question,Closed,Low,8
1023,TKT-10023,2023-06-08,Return Request,Closed,Medium,11
1024,TKT-10024,2023-06-15,Technical Issue,In Progress,High,42
1025,TKT-10025,2023-06-22,Product Inquiry,Closed,Low,4
1026,TKT-10026,2023-06-28,Feature Request,Pending,Medium,30
1027,TKT-10027,2023-07-05,Billing Question,Closed,High,7
1028,TKT-10028,2023-07-12,Technical Issue,Closed,Critical,2
1029,TKT-10029,2023-07-18,Return Request,Closed,Medium,13
1030,TKT-10030,2023-07-25,Product Inquiry,Closed,Low,5
1001,TKT-10031,2023-08-01,Technical Issue,Closed,High,18
1002,TKT-10032,2023-08-08,Billing Question,Closed,Medium,10
1003,TKT-10033,2023-08-15,Feature Request,Open,Low,60
1004,TKT-10034,2023-08-22,Technical Issue,Closed,Critical,4
1005,TKT-10035,2023-08-28,Product Inquiry,Closed,Low,6
1031,TKT-10036,2023-09-05,Return Request,Closed,Medium,15
1032,TKT-10037,2023-09-12,Billing Question,Closed,High,8
1033,TKT-10038,2023-09-18,Technical Issue,In Progress,Medium,28
1034,TKT-10039,2023-09-25,Product Inquiry,Closed,Low,5
1035,TKT-10040,2023-10-02,Feature Request,Pending,Medium,40
1036,TKT-10041,2023-10-08,Technical Issue,Closed,Critical,3
