timestamp,device,process_name,pid,await_ms,read_kb_per_sec,write_kb_per_sec
2024-01-15T14:30:00,sda,systemd,1,2.1,45,12
2024-01-15T14:30:00,sdb,postgres,1523,187.3,234,2890
2024-01-15T14:30:00,sdc,nginx,892,8.4,67,23
2024-01-15T14:30:00,sdd,redis,2341,12.3,156,89
2024-01-15T14:30:00,sda,apache2,1876,15.2,234,456
2024-01-15T14:30:00,sdc,mysqld,2109,32.1,445,678
2024-01-15T14:30:00,sdd,memcached,2456,6.7,89,34
2024-01-15T14:30:30,sda,systemd,1,3.2,52,18
2024-01-15T14:30:30,sdb,postgres,1523,198.7,312,3120
2024-01-15T14:30:30,sdc,nginx,892,9.1,72,28
2024-01-15T14:30:30,sdd,redis,2341,14.8,178,102
2024-01-15T14:30:30,sda,apache2,1876,18.4,267,512
2024-01-15T14:30:30,sdc,mysqld,2109,28.9,389,601
2024-01-15T14:30:30,sdd,memcached,2456,7.2,95,41
2024-01-15T14:31:00,sda,systemd,1,2.8,48,15
2024-01-15T14:31:00,sdb,postgres,1523,212.4,289,3456
2024-01-15T14:31:00,sdc,nginx,892,7.6,63,19
2024-01-15T14:31:00,sdd,redis,2341,11.5,142,76
2024-01-15T14:31:00,sda,apache2,1876,16.7,201,423
2024-01-15T14:31:00,sdc,mysqld,2109,35.6,512,723
2024-01-15T14:31:00,sdd,memcached,2456,5.9,78,29
2024-01-15T14:31:30,sda,systemd,1,3.5,56,21
2024-01-15T14:31:30,sdb,postgres,1523,189.2,278,2967
2024-01-15T14:31:30,sdc,nginx,892,10.3,81,32
2024-01-15T14:31:30,sdd,redis,2341,13.2,167,94
2024-01-15T14:31:30,sda,apache2,1876,19.8,289,534
2024-01-15T14:31:30,sdc,mysqld,2109,41.2,478,812
2024-01-15T14:31:30,sdd,memcached,2456,8.1,102,38
2024-01-15T14:32:00,sda,systemd,1,2.4,41,11
2024-01-15T14:32:00,sdb,postgres,1523,223.6,345,3678
2024-01-15T14:32:00,sdc,nginx,892,8.9,69,25
2024-01-15T14:32:00,sdd,redis,2341,10.7,134,68
2024-01-15T14:32:00,sda,apache2,1876,14.3,223,398
2024-01-15T14:32:00,sdc,mysqld,2109,38.7,501,756
2024-01-15T14:32:00,sdd,memcached,2456,6.4,84,31
2024-01-15T14:32:30,sda,systemd,1,3.1,49,16
2024-01-15T14:32:30,sdb,postgres,1523,195.8,301,3201
2024-01-15T14:32:30,sdc,nginx,892,9.7,75,29
2024-01-15T14:32:30,sdd,redis,2341,12.9,159,87
2024-01-15T14:32:30,sda,apache2,1876,17.6,256,478
2024-01-15T14:32:30,sdc,mysqld,2109,33.4,467,689
2024-01-15T14:32:30,sdd,memcached,2456,7.8,91,36
2024-01-15T14:33:00,sda,systemd,1,2.6,44,13
2024-01-15T14:33:00,sdb,postgres,1523,208.3,267,3389
2024-01-15T14:33:00,sdc,nginx,892,8.2,65,21
2024-01-15T14:33:00,sdd,redis,2341,11.8,145,73
2024-01-15T14:33:00,sda,apache2,1876,15.9,234,445
2024-01-15T14:33:00,sdc,mysqld,2109,36.9,489,734
2024-01-15T14:33:00,sdd,memcached,2456,6.1,81,28
2024-01-15T14:33:30,sda,systemd,1,3.8,58,22
2024-01-15T14:33:30,sdb,postgres,1523,217.9,323,3567
2024-01-15T14:33:30,sdc,nginx,892,11.2,84,35
2024-01-15T14:33:30,sdd,redis,2341,14.5,173,99
2024-01-15T14:33:30,sda,apache2,1876,20.3,298,567
2024-01-15T14:33:30,sdc,mysqld,2109,44.8,523,845
2024-01-15T14:33:30,sdd,memcached,2456,8.6,107,42
2024-01-15T14:34:00,sda,systemd,1,2.9,47,14
