product_id,product_name,category,price,quantity,date
1001,Widget-A/Pro,Electronics,299.99,15,2024-01-15
1002,Gadget B-500,Electronics,449.99,8,2024-01-18
1003,Tool C (Heavy Duty),Tools,89.99,25,2024-01-22
1004,Device D+,Electronics,799.99,5,2024-02-01
1005,Widget E & F Bundle,Accessories,149.99,12,2024-02-03
1006,Gadget-G/Ultra,Electronics,599.99,7,2024-02-05
1007,Tool H [Professional],Tools,119.99,20,2024-02-08
1008,Device I-Mini,Electronics,199.99,30,2024-02-10
1009,Widget J*,Accessories,29.99,50,2024-02-12
1010,Gadget K@Home,Electronics,349.99,10,2024-02-15
1011,Tool L #3,Tools,79.99,18,2024-02-18
1012,Device M++,Electronics,899.99,3,2024-02-20
1013,Widget N Pro Max,Electronics,699.99,6,2024-02-22
1014,Gadget O-Lite,Accessories,99.99,22,2024-02-25
1015,Tool P & Q Set,Tools,159.99,14,2024-02-28
1016,Device R (2024),Electronics,549.99,9,2024-03-01
1017,Widget S/T Combo,Accessories,189.99,11,2024-03-03
1018,Gadget U-XL,Electronics,479.99,8,2024-03-05
1019,Tool V [Compact],Tools,69.99,28,2024-03-07
1020,Device W+Pro,Electronics,849.99,4,2024-03-09
1021,Widget X-100,Accessories,39.99,45,2024-03-11
1022,Gadget Y & Z,Electronics,399.99,10,2024-03-13
1023,Tool AA (Deluxe),Tools,129.99,16,2024-03-15
1024,Device BB-Mini,Electronics,249.99,25,2024-03-17
1025,Widget CC*Pro,Accessories,59.99,35,2024-03-19
1026,Gadget DD@Work,Electronics,499.99,7,2024-03-21
1027,Tool EE #5,Tools,99.99,20,2024-03-23
1028,Device FF++,Electronics,749.99,5,2024-03-25
1029,Widget GG/HH,Accessories,79.99,30,2024-03-27
1030,Gadget II-Ultra,Electronics,649.99,6,2024-03-29
1031,Tool JJ [Pro],Tools,139.99,15,2024-01-05
1032,Device KK (Special),Electronics,899.99,3,2024-01-08
1033,Widget LL+,Accessories,49.99,40,2024-01-11
1034,Gadget MM-500,Electronics,429.99,9,2024-01-14
1035,Tool NN & OO,Tools,109.99,19,2024-01-17
1036,Device PP/QQ,Electronics,779.99,4,2024-01-20
1037,Widget RR*Ultra,Accessories,89.99,26,2024-01-23
1038,Gadget SS@Home,Electronics,359.99,11,2024-01-26
1039,Tool TT #7,Tools,119.99,17,2024-01-29
1040,Device UU-Pro,Electronics,699.99,6,2024-02-02
1041,Widget VV & WW,Accessories,129.99,13,2024-02-06
1042,Gadget XX-Lite,Electronics,279.99,12,2024-02-09
1043,Tool YY [Heavy],Tools,149.99,14,2024-02-13
1044,Device ZZ++,Electronics,949.99,2,2024-02-16
1045,Widget AAA/BBB,Accessories,69.99,32,2024-02-19
1046,Gadget CCC-XL,Electronics,519.99,8,2024-02-23
1047,Tool DDD (Pro),Tools,99.99,21,2024-02-26
1048,Device EEE-Mini,Electronics,229.99,27,2024-03-02
1049,Widget FFF*,Accessories,44.99,42,2024-03-06
1050,Gadget GGG@Office,Electronics,389.99,10,2024-03-10
1051,Tool HHH #9,Tools,129.99,16,2024-03-14
1052,Device III+Pro,Electronics,819.99,4,2024-03-18
1053,Widget JJJ/KKK,Accessories,99.99,24,2024-03-22
1054,Gadget LLL-Ultra,Electronics,599.99,7,2024-03-26
1055,Tool MMM [Compact],Tools,89.99,23,2024-03-30
1056,Device NNN (2024),Electronics,729.99,5,2024-01-07
1057,Widget OOO+,Accessories,54.99,37,2024-01-10
1058,Gadget PPP-500,Electronics,459.99,9,2024-01-13
1059,Tool QQQ & RRR,Tools,139.99,15,2024-01-16
1060,Device SSS/TTT,Electronics,869.99,3,2024-01-19
1061,Widget UUU*Pro,Accessories,74.99,29,2024-01-24
1062,Gadget VVV@Home,Electronics,329.99,11,2024-01-27
1063,Tool WWW #2,Tools,109.99,18,2024-01-30
1064,Device XXX-Pro,Electronics,679.99,6,2024-02-04
1065,Widget YYY & ZZZ,Accessories,119.99,14,2024-02-07
1066,Gadget AAAA-Lite,Electronics,299.99,13,2024-02-11
1067,Tool BBBB [Pro],Tools,159.99,13,2024-02-14
1068,Device CCCC++,Electronics,929.99,2,2024-02-17
1069,Widget DDDD/EEEE,Accessories,64.99,33,2024-02-21
1070,Gadget FFFF-XL,Electronics,539.99,8,2024-02-24
1071,Tool GGGG (Deluxe),Tools,94.99,22,2024-02-27
1072,Device HHHH-Mini,Electronics,239.99,26,2024-03-04
1073,Widget IIII*,Accessories,49.99,41,2024-03-08
1074,Gadget JJJJ@Work,Electronics,409.99,9,2024-03-12
1075,Tool KKKK #4,Tools,124.99,17,2024-03-16
1076,Device LLLL+Pro,Electronics,799.99,5,2024-03-20
1077,Widget MMMM/NNNN,Accessories,109.99,19,2024-03-24
1078,Gadget OOOO-Ultra,Electronics,619.99,7,2024-03-28
1079,Tool PPPP [Heavy],Tools,144.99,14,2024-01-12
1080,Device QQQQ (Special),Electronics,999.99,1,2024-01-25
