order_id,customer_id,product_name,quantity,price,order_date
2001,5023,Desk,3,459.99,2024-01-16
2002,5047,Chair,2,189.50,2024-01-16
2003,5012,Printer,1,324.99,2024-01-17
2004,5035,Scanner,4,156.75,2024-01-17
2005,5008,Router,2,89.99,2024-01-18
2006,5041,Cable,5,12.99,2024-01-18
2007,5019,Adapter,3,24.50,2024-01-19
2008,5050,Stand,1,45.99,2024-01-19
2009,5005,Desk,2,512.00,2024-01-20
2010,5028,Chair,4,215.99,2024-01-20
2011,5014,Printer,1,689.99,2024-01-21
2012,5033,Scanner,3,178.25,2024-01-21
2013,5049,Router,2,125.50,2024-01-22
2014,5007,Cable,5,10.99,2024-01-22
2015,5038,Adapter,1,34.99,2024-01-23
2016,5022,Stand,3,52.75,2024-01-23
2017,5045,Desk,2,599.99,2024-01-24
2018,5011,Chair,4,169.99,2024-01-24
2019,5030,Printer,1,445.00,2024-01-25
2020,5016,Scanner,2,234.50,2024-01-25
2021,5043,Router,3,95.99,2024-01-26
2022,5009,Cable,5,15.99,2024-01-26
2023,5027,Adapter,1,28.75,2024-01-27
2024,5048,Stand,4,67.50,2024-01-27
2025,5013,Desk,2,478.99,2024-01-28
2026,5036,Chair,3,199.99,2024-01-28
2027,5006,Printer,1,556.25,2024-01-29
2028,5044,Scanner,2,145.99,2024-01-29
2029,5020,Router,4,110.50,2024-01-30
2030,5031,Cable,5,18.99,2024-01-30
2031,5015,Adapter,3,31.25,2024-01-31
2032,5040,Stand,1,58.99,2024-01-31
2033,5024,Desk,2,525.00,2024-01-16
2034,5046,Chair,4,179.99,2024-01-17
2035,5010,Printer,1,712.50,2024-01-18
2036,5037,Scanner,3,165.75,2024-01-19
2037,5003,Router,2,102.99,2024-01-20
2038,5042,Cable,5,13.50,2024-01-21
2039,5025,Adapter,1,29.99,2024-01-22
2040,5017,Stand,3,49.75,2024-01-23
2041,5039,Desk,2,487.50,2024-01-24
2042,5021,Chair,4,225.99,2024-01-25
2043,5032,Printer,1,398.00,2024-01-26
2044,5004,Scanner,2,189.99,2024-01-27
2045,5029,Router,3,118.75,2024-01-28
2046,5018,Cable,5,11.99,2024-01-29
2047,5034,Adapter,1,37.50,2024-01-30
2048,5026,Stand,4,71.25,2024-01-31
2049,5001,Desk,2,645.99,2024-01-16
2050,5002,Chair,3,209.50,2024-01-17
