order_id,customer_id,product_name,quantity,price,order_date
1001,5023,Laptop,2,899.99,2024-01-01
1002,5047,Phone,1,699.50,2024-01-02
1003,5012,Tablet,3,399.99,2024-01-03
1004,5038,Monitor,1,449.99,2024-01-04
1005,5005,Keyboard,2,89.99,2024-01-05
1006,5041,Mouse,4,29.99,2024-01-06
1007,5019,Headphones,1,199.99,2024-01-07
1008,5033,Webcam,2,129.99,2024-01-08
1009,5008,Laptop,1,999.99,2024-01-09
1010,5050,Phone,3,649.99,2024-01-10
1011,5025,Tablet,2,349.99,2024-01-11
1012,5014,Monitor,1,549.99,2024-01-12
1013,5042,Keyboard,5,79.99,2024-01-13
1014,5029,Mouse,1,39.99,2024-01-14
1015,5007,Headphones,2,249.99,2024-01-15
1016,5036,Webcam,1,149.99,2024-01-01
1017,5018,Laptop,4,879.99,2024-01-02
1018,5045,Phone,2,599.99,2024-01-03
1019,5011,Tablet,1,429.99,2024-01-04
1020,5039,Monitor,3,399.99,2024-01-05
1021,5022,Keyboard,2,99.99,2024-01-06
1022,5049,Mouse,1,49.99,2024-01-07
1023,5016,Headphones,4,179.99,2024-01-08
1024,5031,Webcam,2,119.99,2024-01-09
1025,5006,Laptop,1,949.99,2024-01-10
1026,5044,Phone,3,679.99,2024-01-11
1027,5027,Tablet,2,369.99,2024-01-12
1028,5013,Monitor,1,499.99,2024-01-13
1029,5040,Keyboard,4,69.99,2024-01-14
1030,5020,Mouse,2,34.99,2024-01-15
1031,5048,Headphones,1,229.99,2024-01-01
1032,5009,Webcam,3,139.99,2024-01-02
1033,5037,Laptop,2,919.99,2024-01-03
1034,5024,Phone,1,629.99,2024-01-04
1035,5015,Tablet,4,379.99,2024-01-05
1036,5043,Monitor,2,479.99,2024-01-06
1037,5028,Keyboard,1,89.99,2024-01-07
1038,5010,Mouse,5,44.99,2024-01-08
1039,5046,Headphones,2,209.99,2024-01-09
1040,5017,Webcam,1,159.99,2024-01-10
1041,5035,Laptop,3,889.99,2024-01-11
1042,5021,Phone,2,689.99,2024-01-12
1043,5050,Tablet,1,419.99,2024-01-13
1044,5026,Monitor,4,429.99,2024-01-14
1045,5012,Keyboard,2,74.99,2024-01-15
1046,5041,Mouse,1,54.99,2024-01-01
1047,5030,Headphones,3,189.99,2024-01-02
1048,5008,Webcam,2,169.99,2024-01-03
1049,5047,Laptop,1,959.99,2024-01-04
1050,5019,Phone,4,659.99,2024-01-05
1051,5038,Tablet,2,389.99,2024-01-06
1052,5014,Monitor,1,519.99,2024-01-07
1053,5045,Keyboard,3,84.99,2024-01-08
1054,5023,Mouse,2,24.99,2024-01-09
1055,5007,Headphones,1,239.99,2024-01-10
1056,5042,Webcam,4,144.99,2024-01-11
1057,5029,Laptop,2,929.99,2024-01-12
1058,5011,Phone,1,669.99,2024-01-13
1059,5039,Tablet,3,359.99,2024-01-14
1060,5025,Monitor,2,489.99,2024-01-15
1061,5049,Keyboard,1,94.99,2024-01-01
1062,5018,Mouse,4,19.99,2024-01-02
1063,5036,Headphones,2,219.99,2024-01-03
1064,5006,Webcam,1,154.99,2024-01-04
1065,5044,Laptop,3,869.99,2024-01-05
1066,5031,Phone,2,639.99,2024-01-06
1067,5016,Tablet,1,409.99,2024-01-07
1068,5040,Monitor,4,459.99,2024-01-08
1069,5027,Keyboard,2,79.99,2024-01-09
1070,5013,Mouse,1,59.99,2024-01-10
1071,5048,Headphones,3,199.99,2024-01-11
1072,5022,Webcam,2,134.99,2024-01-12
1073,5009,Laptop,1,939.99,2024-01-13
1074,5037,Phone,4,619.99,2024-01-14
1075,5020,Tablet,2,339.99,2024-01-15
1076,5043,Monitor,1,509.99,2024-01-01
1077,5024,Keyboard,3,64.99,2024-01-02
1078,5015,Mouse,2,29.99,2024-01-03
1079,5046,Headphones,1,259.99,2024-01-04
1080,5028,Webcam,4,124.99,2024-01-05
1081,5010,Laptop,2,909.99,2024-01-06
1082,5035,Phone,1,649.99,2024-01-07
1083,5017,Tablet,3,399.99,2024-01-08
1084,5050,Monitor,2,439.99,2024-01-09
1085,5021,Keyboard,1,89.99,2024-01-10
1086,5041,Mouse,5,39.99,2024-01-11
1087,5026,Headphones,2,179.99,2024-01-12
1088,5012,Webcam,1,164.99,2024-01-13
1089,5047,Laptop,3,979.99,2024-01-14
1090,5030,Phone,2,589.99,2024-01-15
1091,5008,Tablet,1,449.99,2024-01-01
1092,5038,Monitor,4,469.99,2024-01-02
1093,5019,Keyboard,2,54.99,2024-01-03
1094,5045,Mouse,1,44.99,2024-01-04
1095,5014,Headphones,3,269.99,2024-01-05
1096,5023,Webcam,2,114.99,2024-01-06
1097,5007,Laptop,1,989.99,2024-01-07
1098,5042,Phone,4,609.99,2024-01-08
1099,5029,Tablet,2,329.99,2024-01-09
1100,5011,Monitor,1,529.99,2024-01-10
