date,amount,product_category,region
2024-01-01,1250.50,Electronics,North
2024-01-01,89.99,Clothing,South
2024-01-01,3500.00,Electronics,East
2024-01-02,125.75,Books,West
2024-01-02,450.25,Home & Garden,North
2024-01-02,2100.00,Electronics,South
2024-01-03,75.50,Toys,East
2024-03-03,189.99,Clothing,West
2024-01-04,3250.75,Electronics,North
2024-01-04,425.00,Sports,South
2024-01-05,850.50,Home & Garden,East
2024-01-05,199.99,Books,West
2024-01-06,1500.00,Electronics,North
2024-01-06,325.75,Clothing,South
2024-01-07,2750.25,Electronics,East
2024-01-07,99.99,Toys,West
2024-01-08,575.50,Sports,North
2024-01-08,1250.00,Electronics,South
2024-01-09,425.75,Home & Garden,East
2024-01-09,185.50,Books,West
2024-01-10,2500.00,Electronics,North
2024-01-10,750.25,Clothing,South
2024-01-11,399.99,Toys,East
2024-01-11,1850.50,Electronics,West
2024-01-12,625.75,Sports,North
2024-01-12,3100.00,Electronics,South
2024-01-13,275.50,Books,East
2024-01-13,950.25,Home & Garden,West
2024-01-14,1750.00,Electronics,North
2024-01-14,485.99,Clothing,South
2024-01-15,2250.50,Electronics,East
2024-01-15,125.75,Toys,West
2024-01-16,825.25,Sports,North
2024-01-16,1450.00,Electronics,South
2024-01-17,375.50,Home & Garden,East
2024-01-17,225.99,Books,West
2024-01-18,3500.00,Electronics,North
2024-01-18,650.75,Clothing,South
2024-01-19,1950.25,Electronics,East
2024-01-19,450.50,Toys,West
2024-01-20,725.75,Sports,North
2024-01-20,2750.00,Electronics,South
2024-01-21,525.50,Home & Garden,East
2024-01-21,189.99,Books,West
2024-01-22,1850.00,Electronics,North
2024-01-22,425.75,Clothing,South
2024-01-23,2950.50,Electronics,East
2024-01-23,275.25,Toys,West
2024-01-24,625.99,Sports,North
2024-01-24,1650.00,Electronics,South
2024-01-25,475.50,Home & Garden,East
2024-01-25,325.75,Books,West
2024-01-26,2250.00,Electronics,North
2024-01-26,850.25,Clothing,South
2024-01-27,3750.50,Electronics,East
2024-01-27,199.99,Toys,West
2024-01-28,925.75,Sports,North
2024-01-28,1950.00,Electronics,South
2024-01-29,575.50,Home & Garden,East
2024-01-29,425.25,Books,West
2024-01-30,2850.00,Electronics,North
2024-01-30,725.75,Clothing,South
2024-01-31,1750.50,Electronics,East
2024-01-31,350.99,Toys,West
2024-02-01,1050.25,Sports,North
2024-02-01,2450.00,Electronics,South
2024-02-02,625.50,Home & Garden,East
2024-02-02,275.75,Books,West
2024-02-03,3250.00,Electronics,North
2024-02-03,950.25,Clothing,South
2024-02-04,2150.50,Electronics,East
2024-02-04,425.99,Toys,West
2024-02-05,825.75,Sports,North
2024-02-05,1850.00,Electronics,South
2024-02-06,525.50,Home & Garden,East
2024-02-06,375.25,Books,West
2024-02-07,2750.00,Electronics,North
2024-02-07,650.75,Clothing,South
2024-02-08,1950.50,Electronics,East
2024-02-08,299.99,Toys,West
2024-02-09,725.25,Sports,North
2024-02-09,2550.00,Electronics,South
2024-02-10,475.50,Home & Garden,East
2024-02-10,425.75,Books,West
2024-02-11,3150.00,Electronics,North
2024-02-11,850.25,Clothing,South
2024-02-12,2350.50,Electronics,East
2024-02-12,375.99,Toys,West
2024-02-13,925.75,Sports,North
2024-02-13,1750.00,Electronics,South
2024-02-14,625.50,Home & Garden,East
2024-02-14,325.25,Books,West
2024-02-15,2950.00,Electronics,North
2024-02-15,750.75,Clothing,South
2024-02-16,2050.50,Electronics,East
2024-02-16,450.99,Toys,West
2024-02-17,1025.25,Sports,North
2024-02-17,2650.00,Electronics,South
2024-02-18,575.50,Home & Garden,East
2024-02-18,475.75,Books,West
2024-02-19,3350.00,Electronics,North
2024-02-19,950.25,Clothing,South
2024-02-20,2250.50,Electronics,East
2024-02-20,325.99,Toys,West
2024-02-21,825.75,Sports,North
2024-02-21,1950.00,Electronics,South
2024-02-22,525.50,Home & Garden,East
2024-02-22,375.25,Books,West
2024-02-23,2850.00,Electronics,North
2024-02-23,650.75,Clothing,South
2024-02-24,2150.50,Electronics,East
2024-02-24,425.99,Toys,West
2024-02-25,925.25,Sports,North
2024-02-25,2450.00,Electronics,South
2024-02-26,625.50,Home & Garden,East
2024-02-26,425.75,Books,West
2024-02-27,3050.00,Electronics,North
2024-02-27,850.25,Clothing,South
2024-02-28,2350.50,Electronics,East
2024-02-28,375.99,Toys,West
2024-02-29,1025.75,Sports,North
2024-02-29,2550.00,Electronics,South
2024-03-01,575.50,Home & Garden,East
2024-03-01,325.25,Books,West
2024-03-02,2950.00,Electronics,North
2024-03-02,750.75,Clothing,South
2024-03-03,2150.50,Electronics,East
2024-03-04,825.25,Sports,North
2024-03-04,1850.00,Electronics,South
2024-03-05,525.50,Home & Garden,East
2024-03-05,375.75,Books,West
2024-03-06,3150.00,Electronics,North
2024-03-06,950.25,Clothing,South
2024-03-07,2250.50,Electronics,East
2024-03-07,425.99,Toys,West
2024-03-08,925.75,Sports,North
2024-03-08,2650.00,Electronics,South
2024-03-09,625.50,Home & Garden,East
2024-03-09,475.25,Books,West
2024-03-10,3250.00,Electronics,North
2024-03-10,850.75,Clothing,South
2024-03-11,2350.50,Electronics,East
2024-03-11,375.99,Toys,West
2024-03-12,1025.25,Sports,North
2024-03-12,1950.00,Electronics,South
2024-03-13,575.50,Home & Garden,East
2024-03-13,425.75,Books,West
2024-03-14,2850.00,Electronics,North
2024-03-14,750.25,Clothing,South
2024-03-15,2150.50,Electronics,East
2024-03-15,450.99,Toys,West
