date,product_id,quantity,price
2024-01-15,PROD201,30,175.00
2024-01-16,PROD202,20,95.99
2024-01-17,PROD203,55,210.50
2024-01-18,PROD204,45,320.00
2024-01-19,PROD205,12,89.99
2024-01-20,PROD206,67,145.50
2024-01-21,PROD207,23,199.99
2024-01-22,PROD208,89,275.00
2024-01-23,PROD209,34,156.75
2024-01-24,PROD210,78,420.00
2024-01-25,PROD211,15,67.50
2024-01-26,PROD212,42,189.99
2024-01-27,PROD213,56,234.00
2024-01-28,PROD214,91,315.50
2024-01-29,PROD215,28,125.00
2024-01-30,PROD216,63,298.75
2024-01-31,PROD217,19,145.00
2024-02-01,PROD218,85,389.99
2024-02-02,PROD219,37,176.50
2024-02-03,PROD220,72,445.00
2024-02-04,PROD201,48,175.00
2024-02-05,PROD202,25,95.99
2024-02-06,PROD203,94,210.50
2024-02-07,PROD204,31,320.00
2024-02-08,PROD205,58,89.99
2024-02-09,PROD206,14,145.50
2024-02-10,PROD207,76,199.99
2024-02-11,PROD208,41,275.00
2024-02-12,PROD209,83,156.75
2024-02-13,PROD210,22,420.00
2024-02-14,PROD211,69,67.50
2024-02-15,PROD212,35,189.99
2024-02-16,PROD213,88,234.00
2024-02-17,PROD214,17,315.50
2024-02-18,PROD215,54,125.00
2024-02-19,PROD216,96,298.75
2024-02-20,PROD217,43,145.00
2024-02-21,PROD218,29,389.99
2024-02-22,PROD219,71,176.50
2024-02-23,PROD220,38,445.00
2024-02-24,PROD201,65,175.00
2024-02-25,PROD202,11,95.99
2024-02-26,PROD203,82,210.50
2024-02-27,PROD204,47,320.00
2024-02-28,PROD205,33,89.99
2024-02-29,PROD206,90,145.50
2024-03-01,PROD207,26,199.99
2024-03-02,PROD208,59,275.00
2024-03-03,PROD209,74,156.75
2024-03-04,PROD210,18,420.00
2024-03-05,PROD211,52,67.50
2024-03-06,PROD212,87,189.99
2024-03-07,PROD213,39,234.00
2024-03-08,PROD214,64,315.50
2024-03-09,PROD215,21,125.00
2024-03-10,PROD216,75,298.75
2024-03-11,PROD217,44,145.00
2024-03-12,PROD218,98,389.99
2024-03-13,PROD219,27,176.50
2024-03-14,PROD220,61,445.00
2024-03-15,PROD201,36,175.00
2024-03-16,PROD202,80,95.99
2024-03-17,PROD203,13,210.50
2024-03-18,PROD204,49,320.00
2024-03-19,PROD205,92,89.99
2024-03-20,PROD206,24,145.50
