[2024-01-15T10:23:45.123Z] CSP Violation: violated-directive: script-src, blocked-uri: https://analytics.example.com/tracker.js, source-file: /public/index.html, line-number: 42
[2024-01-15T10:24:12.456Z] CSP Violation: violated-directive: style-src, blocked-uri: inline, source-file: /public/index.html, line-number: 15
[2024-01-15T10:24:18.789Z] CSP Violation: violated-directive: connect-src, blocked-uri: https://api.backend.com/data, source-file: /public/app.js, line-number: 156
[2024-01-15T10:25:03.234Z] CSP Violation: violated-directive: font-src, blocked-uri: https://fonts.googleapis.com, source-file: /public/index.html, line-number: 8
[2024-01-15T10:25:15.567Z] CSP Violation: violated-directive: script-src, blocked-uri: https://analytics.example.com/tracker.js, source-file: /public/dashboard.html, line-number: 38
[2024-01-15T10:26:22.890Z] CSP Violation: violated-directive: style-src, blocked-uri: inline, source-file: /public/dashboard.html, line-number: 22
[2024-01-15T10:26:45.123Z] CSP Violation: violated-directive: connect-src, blocked-uri: https://api.backend.com/data, source-file: /public/app.js, line-number: 203
[2024-01-15T10:27:11.456Z] CSP Violation: violated-directive: font-src, blocked-uri: https://fonts.gstatic.com, source-file: /public/index.html, line-number: 9
[2024-01-15T10:28:33.789Z] CSP Violation: violated-directive: script-src, blocked-uri: https://analytics.example.com/tracker.js, source-file: /public/index.html, line-number: 42
[2024-01-15T10:29:05.012Z] CSP Violation: violated-directive: style-src, blocked-uri: inline, source-file: /public/app.js, line-number: 89
[2024-01-15T10:29:47.345Z] CSP Violation: violated-directive: connect-src, blocked-uri: https://api.backend.com/data, source-file: /public/dashboard.html, line-number: 124
[2024-01-15T10:30:19.678Z] CSP Violation: violated-directive: font-src, blocked-uri: https://fonts.googleapis.com, source-file: /public/dashboard.html, line-number: 12
[2024-01-15T10:31:02.901Z] CSP Violation: violated-directive: script-src, blocked-uri: https://analytics.example.com/tracker.js, source-file: /public/app.js, line-number: 5
[2024-01-15T10:31:28.234Z] CSP Violation: violated-directive: style-src, blocked-uri: inline, source-file: /public/index.html, line-number: 67
[2024-01-15T10:32:14.567Z] CSP Violation: violated-directive: connect-src, blocked-uri: https://api.backend.com/data, source-file: /public/app.js, line-number: 178
[2024-01-15T10:33:09.890Z] CSP Violation: violated-directive: font-src, blocked-uri: https://fonts.gstatic.com, source-file: /public/dashboard.html, line-number: 13
[2024-01-15T10:33:45.123Z] CSP Violation: violated-directive: script-src, blocked-uri: https://analytics.example.com/tracker.js, source-file: /public/dashboard.html, line-number: 38
[2024-01-15T10:34:22.456Z] CSP Violation: violated-directive: style-src, blocked-uri: inline, source-file: /public/dashboard.html, line-number: 45
[2024-01-15T10:35:08.789Z] CSP Violation: violated-directive: connect-src, blocked-uri: https://api.backend.com/data, source-file: /public/index.html, line-number: 98
[2024-01-15T10:35:51.012Z] CSP Violation: violated-directive: font-src, blocked-uri: https://fonts.googleapis.com, source-file: /public/app.js, line-number: 23
[2024-01-15T10:36:17.345Z] CSP Violation: violated-directive: script-src, blocked-uri: https://analytics.example.com/tracker.js, source-file: /public/index.html, line-number: 42
[2024-01-15T10:37:03.678Z] CSP Violation: violated-directive: style-src, blocked-uri: inline, source-file: /public/index.html, line-number: 31
[2024-01-15T10:37:29.901Z] CSP Violation: violated-directive: connect-src, blocked-uri: https://api.backend.com/data, source-file: /public/dashboard.html, line-number: 167
[2024-01-15T10:38:15.234Z] CSP Violation: violated-directive: font-src, blocked-uri: https://fonts.gstatic.com, source-file: /public/index.html, line-number: 9
[2024-01-15T10:39:02.567Z] CSP Violation: violated-directive: script-src, blocked-uri: https://analytics.example.com/tracker.js, source-file: /public/app.js, line-number: 5
[2024-01-15T10:39:48.890Z] CSP Violation: violated-directive: connect-src, blocked-uri: https://api.backend.com/data, source-file: /public/app.js, line-number: 211
[2024-01-15T10:40:25.123Z] CSP Violation: violated-directive: font-src, blocked-uri: https://fonts.gstatic.com, source-file: /public/dashboard.html, line-number: 13
