id,timestamp,value,category,status
1,2024-01-01T10:00:00,1523,A,active
2,2024-01-01T10:01:00,7834,B,pending
3,2024-01-01T10:02:00,2341,C,completed
4,2024-01-01T10:03:00,5678,D,active
5,2024-01-01T10:04:00,3421,A,pending
6,2024-01-01T10:05:00,8765,B,completed
7,2024-01-01T10:06:00,4532,C,active
8,2024-01-01T10:07:00,6789,D,pending
9,2024-01-01T10:08:00,2109,A,completed
10,2024-01-01T10:09:00,9876,B,active
11,2024-01-01T10:10:00,3456,C,pending
12,2024-01-01T10:11:00,7654,D,completed
13,2024-01-01T10:12:00,1234,A,active
14,2024-01-01T10:13:00,5432,B,pending
15,2024-01-01T10:14:00,8901,C,completed
16,2024-01-01T10:15:00,4321,D,active
17,2024-01-01T10:16:00,6543,A,pending
18,2024-01-01T10:17:00,2345,B,completed
19,2024-01-01T10:18:00,9012,C,active
20,2024-01-01T10:19:00,3210,D,pending
21,2024-01-01T10:20:00,7890,A,completed
22,2024-01-01T10:21:00,1357,B,active
23,2024-01-01T10:22:00,5791,C,pending
24,2024-01-01T10:23:00,8024,D,completed
25,2024-01-01T10:24:00,4268,A,active
26,2024-01-01T10:25:00,6802,B,pending
27,2024-01-01T10:26:00,2468,C,completed
28,2024-01-01T10:27:00,9135,D,active
29,2024-01-01T10:28:00,3579,A,pending
30,2024-01-01T10:29:00,7913,B,completed
31,2024-01-01T10:30:00,1468,C,active
32,2024-01-01T10:31:00,5802,D,pending
33,2024-01-01T10:32:00,9246,A,completed
34,2024-01-01T10:33:00,3680,B,active
35,2024-01-01T10:34:00,7024,C,pending
36,2024-01-01T10:35:00,1802,D,completed
37,2024-01-01T10:36:00,5246,A,active
38,2024-01-01T10:37:00,8913,B,pending
39,2024-01-01T10:38:00,4357,C,completed
40,2024-01-01T10:39:00,6791,D,active
41,2024-01-01T10:40:00,2135,A,pending
42,2024-01-01T10:41:00,9579,B,completed
43,2024-01-01T10:42:00,3802,C,active
44,2024-01-01T10:43:00,7246,D,pending
45,2024-01-01T10:44:00,1680,A,completed
46,2024-01-01T10:45:00,5024,B,active
47,2024-01-01T10:46:00,8468,C,pending
48,2024-01-01T10:47:00,4802,D,completed
49,2024-01-01T10:48:00,6246,A,active
50,2024-01-01T10:49:00,2913,B,pending
51,2024-01-01T10:50:00,9357,C,completed
52,2024-01-01T10:51:00,3791,D,active
53,2024-01-01T10:52:00,7135,A,pending
54,2024-01-01T10:53:00,1579,B,completed
55,2024-01-01T10:54:00,5913,C,active
56,2024-01-01T10:55:00,8357,D,pending
57,2024-01-01T10:56:00,4791,A,completed
58,2024-01-01T10:57:00,6135,B,active
59,2024-01-01T10:58:00,2579,C,pending
60,2024-01-01T10:59:00,9024,D,completed
61,2024-01-01T11:00:00,3468,A,active
62,2024-01-01T11:01:00,7802,B,pending
63,2024-01-01T11:02:00,1246,C,completed
64,2024-01-01T11:03:00,5680,D,active
65,2024-01-01T11:04:00,8124,A,pending
66,2024-01-01T11:05:00,4568,B,completed
67,2024-01-01T11:06:00,6912,C,active
68,2024-01-01T11:07:00,2356,D,pending
69,2024-01-01T11:08:00,9790,A,completed
70,2024-01-01T11:09:00,3134,B,active
71,2024-01-01T11:10:00,7578,C,pending
72,2024-01-01T11:11:00,1902,D,completed
73,2024-01-01T11:12:00,5346,A,active
74,2024-01-01T11:13:00,8780,B,pending
75,2024-01-01T11:14:00,4124,C,completed
76,2024-01-01T11:15:00,6568,D,active
77,2024-01-01T11:16:00,2902,A,pending
78,2024-01-01T11:17:00,9346,B,completed
79,2024-01-01T11:18:00,3780,C,active
80,2024-01-01T11:19:00,7124,D,pending
81,2024-01-01T11:20:00,1568,A,completed
82,2024-01-01T11:21:00,5912,B,active
83,2024-01-01T11:22:00,8356,C,pending
84,2024-01-01T11:23:00,4790,D,completed
85,2024-01-01T11:24:00,6234,A,active
86,2024-01-01T11:25:00,2678,B,pending
87,2024-01-01T11:26:00,9123,C,completed
88,2024-01-01T11:27:00,3567,D,active
89,2024-01-01T11:28:00,7901,A,pending
90,2024-01-01T11:29:00,1345,B,completed
91,2024-01-01T11:30:00,5789,C,active
92,2024-01-01T11:31:00,8234,D,pending
93,2024-01-01T11:32:00,4678,A,completed
94,2024-01-01T11:33:00,6012,B,active
95,2024-01-01T11:34:00,2456,C,pending
96,2024-01-01T11:35:00,9890,D,completed
97,2024-01-01T11:36:00,3234,A,active
98,2024-01-01T11:37:00,7678,B,pending
99,2024-01-01T11:38:00,1012,C,completed
100,2024-01-01T11:39:00,5456,D,active
