id,timestamp,value,category,status
301,2024-01-01T16:00:00,5432,A,completed
302,2024-01-01T16:01:00,7651,D,active
303,2024-01-01T16:02:00,3987,C,pending
304,2024-01-01T16:03:00,2341,B,active
305,2024-01-01T16:04:00,8765,A,completed
306,2024-01-01T16:05:00,4523,C,pending
307,2024-01-01T16:06:00,6789,D,active
308,2024-01-01T16:07:00,1234,B,completed
309,2024-01-01T16:08:00,9876,A,pending
310,2024-01-01T16:09:00,3456,C,active
311,2024-01-01T16:10:00,7890,D,completed
312,2024-01-01T16:11:00,2345,B,pending
313,2024-01-01T16:12:00,6543,A,active
314,2024-01-01T16:13:00,8901,C,completed
315,2024-01-01T16:14:00,4567,D,pending
316,2024-01-01T16:15:00,1098,B,active
317,2024-01-01T16:16:00,5678,A,completed
318,2024-01-01T16:17:00,9012,C,pending
319,2024-01-01T16:18:00,3210,D,active
320,2024-01-01T16:19:00,7654,B,completed
321,2024-01-01T16:20:00,2109,A,pending
322,2024-01-01T16:21:00,6432,C,active
323,2024-01-01T16:22:00,8765,D,completed
324,2024-01-01T16:23:00,4321,B,pending
325,2024-01-01T16:24:00,1987,A,active
326,2024-01-01T16:25:00,5432,C,completed
327,2024-01-01T16:26:00,9876,D,pending
328,2024-01-01T16:27:00,3654,B,active
329,2024-01-01T16:28:00,7890,A,completed
330,2024-01-01T16:29:00,2345,C,pending
331,2024-01-01T16:30:00,6789,D,active
332,2024-01-01T16:31:00,1234,B,completed
333,2024-01-01T16:32:00,5678,A,pending
334,2024-01-01T16:33:00,9012,C,active
335,2024-01-01T16:34:00,3456,D,completed
336,2024-01-01T16:35:00,7890,B,pending
337,2024-01-01T16:36:00,2109,A,active
338,2024-01-01T16:37:00,6543,C,completed
339,2024-01-01T16:38:00,8901,D,pending
340,2024-01-01T16:39:00,4567,B,active
341,2024-01-01T16:40:00,1098,A,completed
342,2024-01-01T16:41:00,5432,C,pending
343,2024-01-01T16:42:00,9876,D,active
344,2024-01-01T16:43:00,3210,B,completed
345,2024-01-01T16:44:00,7654,A,pending
346,2024-01-01T16:45:00,2345,C,active
347,2024-01-01T16:46:00,6789,D,completed
348,2024-01-01T16:47:00,1234,B,pending
349,2024-01-01T16:48:00,5678,A,active
350,2024-01-01T16:49:00,9012,C,completed
351,2024-01-01T16:50:00,3456,D,pending
352,2024-01-01T16:51:00,7890,B,active
353,2024-01-01T16:52:00,2109,A,completed
354,2024-01-01T16:53:00,6543,C,pending
355,2024-01-01T16:54:00,8901,D,active
356,2024-01-01T16:55:00,4567,B,completed
357,2024-01-01T16:56:00,1098,A,pending
358,2024-01-01T16:57:00,5432,C,active
359,2024-01-01T16:58:00,9876,D,completed
360,2024-01-01T16:59:00,3210,B,pending
361,2024-01-01T17:00:00,7654,A,active
362,2024-01-01T17:01:00,2345,C,completed
363,2024-01-01T17:02:00,6789,D,pending
364,2024-01-01T17:03:00,1234,B,active
365,2024-01-01T17:04:00,5678,A,completed
366,2024-01-01T17:05:00,9012,C,pending
367,2024-01-01T17:06:00,3456,D,active
368,2024-01-01T17:07:00,7890,B,completed
369,2024-01-01T17:08:00,2109,A,pending
370,2024-01-01T17:09:00,6543,C,active
371,2024-01-01T17:10:00,8901,D,completed
372,2024-01-01T17:11:00,4567,B,pending
373,2024-01-01T17:12:00,1098,A,active
374,2024-01-01T17:13:00,5432,C,completed
375,2024-01-01T17:14:00,9876,D,pending
376,2024-01-01T17:15:00,3210,B,active
377,2024-01-01T17:16:00,7654,A,completed
378,2024-01-01T17:17:00,2345,C,pending
379,2024-01-01T17:18:00,6789,D,active
380,2024-01-01T17:19:00,1234,B,completed
381,2024-01-01T17:20:00,5678,A,pending
382,2024-01-01T17:21:00,9012,C,active
383,2024-01-01T17:22:00,3456,D,completed
384,2024-01-01T17:23:00,7890,B,pending
385,2024-01-01T17:24:00,2109,A,active
386,2024-01-01T17:25:00,6543,C,completed
387,2024-01-01T17:26:00,8901,D,pending
388,2024-01-01T17:27:00,4567,B,active
389,2024-01-01T17:28:00,1098,A,completed
390,2024-01-01T17:29:00,5432,C,pending
391,2024-01-01T17:30:00,9876,D,active
392,2024-01-01T17:31:00,3210,B,completed
393,2024-01-01T17:32:00,7654,A,pending
394,2024-01-01T17:33:00,2345,C,active
395,2024-01-01T17:34:00,6789,D,completed
396,2024-01-01T17:35:00,1234,B,pending
397,2024-01-01T17:36:00,5678,A,active
398,2024-01-01T17:37:00,9012,C,completed
399,2024-01-01T17:38:00,3456,D,pending
400,2024-01-01T17:39:00,7890,B,active
