id,timestamp,value,category,status
201,2024-01-01T14:00:00,6782,C,pending
202,2024-01-01T14:01:00,2198,B,active
203,2024-01-01T14:02:00,9234,A,completed
204,2024-01-01T14:03:00,4521,D,active
205,2024-01-01T14:04:00,7845,B,pending
206,2024-01-01T14:05:00,3192,C,completed
207,2024-01-01T14:06:00,8567,A,active
208,2024-01-01T14:07:00,1234,D,pending
209,2024-01-01T14:08:00,5678,B,completed
210,2024-01-01T14:09:00,9012,C,active
211,2024-01-01T14:10:00,3456,A,pending
212,2024-01-01T14:11:00,7890,D,completed
213,2024-01-01T14:12:00,2345,B,active
214,2024-01-01T14:13:00,6789,C,pending
215,2024-01-01T14:14:00,4123,A,completed
216,2024-01-01T14:15:00,8901,D,active
217,2024-01-01T14:16:00,5234,B,pending
218,2024-01-01T14:17:00,9567,C,completed
219,2024-01-01T14:18:00,3678,A,active
220,2024-01-01T14:19:00,7123,D,pending
221,2024-01-01T14:20:00,1456,B,completed
222,2024-01-01T14:21:00,5789,C,active
223,2024-01-01T14:22:00,9234,A,pending
224,2024-01-01T14:23:00,3567,D,completed
225,2024-01-01T14:24:00,7901,B,active
226,2024-01-01T14:25:00,2234,C,pending
227,2024-01-01T14:26:00,6678,A,completed
228,2024-01-01T14:27:00,4512,D,active
229,2024-01-01T14:28:00,8845,B,pending
230,2024-01-01T14:29:00,3123,C,completed
231,2024-01-01T14:30:00,7456,A,active
232,2024-01-01T14:31:00,1789,D,pending
233,2024-01-01T14:32:00,5123,B,completed
234,2024-01-01T14:33:00,9456,C,active
235,2024-01-01T14:34:00,3789,A,pending
236,2024-01-01T14:35:00,7234,D,completed
237,2024-01-01T14:36:00,2567,B,active
238,2024-01-01T14:37:00,6901,C,pending
239,2024-01-01T14:38:00,4345,A,completed
240,2024-01-01T14:39:00,8678,D,active
241,2024-01-01T14:40:00,3012,B,pending
242,2024-01-01T14:41:00,7345,C,completed
243,2024-01-01T14:42:00,1678,A,active
244,2024-01-01T14:43:00,5912,D,pending
245,2024-01-01T14:44:00,9245,B,completed
246,2024-01-01T14:45:00,3578,C,active
247,2024-01-01T14:46:00,7823,A,pending
248,2024-01-01T14:47:00,2156,D,completed
249,2024-01-01T14:48:00,6489,B,active
250,2024-01-01T14:49:00,4723,C,pending
251,2024-01-01T14:50:00,8956,A,completed
252,2024-01-01T14:51:00,3289,D,active
253,2024-01-01T14:52:00,7512,B,pending
254,2024-01-01T14:53:00,1845,C,completed
255,2024-01-01T14:54:00,5178,A,active
256,2024-01-01T14:55:00,9423,D,pending
257,2024-01-01T14:56:00,3656,B,completed
258,2024-01-01T14:57:00,7989,C,active
259,2024-01-01T14:58:00,2312,A,pending
260,2024-01-01T14:59:00,6645,D,completed
261,2024-01-01T15:00:00,4978,B,active
262,2024-01-01T15:01:00,8201,C,pending
263,2024-01-01T15:02:00,3534,A,completed
264,2024-01-01T15:03:00,7867,D,active
265,2024-01-01T15:04:00,2101,B,pending
266,2024-01-01T15:05:00,6434,C,completed
267,2024-01-01T15:06:00,4767,A,active
268,2024-01-01T15:07:00,8990,D,pending
269,2024-01-01T15:08:00,3223,B,completed
270,2024-01-01T15:09:00,7556,C,active
271,2024-01-01T15:10:00,1889,A,pending
272,2024-01-01T15:11:00,5212,D,completed
273,2024-01-01T15:12:00,9545,B,active
274,2024-01-01T15:13:00,3878,C,pending
275,2024-01-01T15:14:00,7101,A,completed
276,2024-01-01T15:15:00,2434,D,active
277,2024-01-01T15:16:00,6767,B,pending
278,2024-01-01T15:17:00,4090,C,completed
279,2024-01-01T15:18:00,8423,A,active
280,2024-01-01T15:19:00,3756,D,pending
281,2024-01-01T15:20:00,7089,B,completed
282,2024-01-01T15:21:00,2312,C,active
283,2024-01-01T15:22:00,6645,A,pending
284,2024-01-01T15:23:00,4978,D,completed
285,2024-01-01T15:24:00,8201,B,active
286,2024-01-01T15:25:00,3534,C,pending
287,2024-01-01T15:26:00,7867,A,completed
288,2024-01-01T15:27:00,2190,D,active
289,2024-01-01T15:28:00,6523,B,pending
290,2024-01-01T15:29:00,4856,C,completed
291,2024-01-01T15:30:00,8179,A,active
292,2024-01-01T15:31:00,3412,D,pending
293,2024-01-01T15:32:00,7745,B,completed
294,2024-01-01T15:33:00,2078,C,active
295,2024-01-01T15:34:00,6301,A,pending
296,2024-01-01T15:35:00,4634,D,completed
297,2024-01-01T15:36:00,8967,B,active
298,2024-01-01T15:37:00,3290,C,pending
299,2024-01-01T15:38:00,7623,A,completed
300,2024-01-01T15:39:00,1956,D,active
