timestamp,sensor_id,humidity_percent
2024-01-15T10:00:10,sensor_1,45.2
2024-01-15T10:00:25,sensor_3,52.1
2024-01-15T10:00:40,sensor_2,48.7
2024-01-15T10:01:15,sensor_1,45.8
2024-01-15T10:01:35,sensor_3,51.9
2024-01-15T10:02:05,sensor_2,49.1
2024-01-15T10:02:30,sensor_1,46.2
2024-01-15T10:03:10,sensor_3,52.4
2024-01-15T10:03:45,sensor_2,48.9
2024-01-15T10:04:20,sensor_1,46.5
2024-01-15T10:04:50,sensor_3,52.0
2024-01-15T10:05:25,sensor_2,49.3
2024-01-15T10:06:05,sensor_1,46.8
2024-01-15T10:06:40,sensor_3,51.7
2024-01-15T10:07:15,sensor_2,49.5
2024-01-15T10:07:50,sensor_1,47.1
2024-01-15T10:08:30,sensor_3,51.5
2024-01-15T10:09:05,sensor_2,49.8
2024-01-15T10:09:40,sensor_1,47.4
2024-01-15T10:10:20,sensor_3,51.2
2024-01-15T10:11:00,sensor_2,50.1
2024-01-15T10:11:35,sensor_1,47.7
2024-01-15T10:12:15,sensor_3,51.0
2024-01-15T10:12:50,sensor_2,50.3
2024-01-15T10:13:30,sensor_1,48.0
2024-01-15T10:14:10,sensor_3,50.8
2024-01-15T10:14:45,sensor_2,50.6
2024-01-15T10:15:25,sensor_1,48.3
2024-01-15T10:16:05,sensor_3,50.5
2024-01-15T10:16:40,sensor_2,50.9
2024-01-15T10:17:20,sensor_1,48.6
2024-01-15T10:18:00,sensor_3,50.3
2024-01-15T10:18:35,sensor_2,51.2
2024-01-15T10:19:15,sensor_1,48.9
2024-01-15T10:19:55,sensor_3,50.0
2024-01-15T10:20:30,sensor_2,51.5
2024-01-15T10:21:10,sensor_1,49.2
2024-01-15T10:21:50,sensor_3,49.8
2024-01-15T10:22:25,sensor_2,51.8
2024-01-15T10:23:05,sensor_1,49.5
2024-01-15T10:23:45,sensor_3,49.5
2024-01-15T10:24:20,sensor_2,52.1
2024-01-15T10:25:00,sensor_1,49.8
2024-01-15T10:25:40,sensor_3,49.3
2024-01-15T10:26:15,sensor_2,52.4
2024-01-15T10:26:55,sensor_1,50.1
2024-01-15T10:27:35,sensor_3,49.0
2024-01-15T10:28:10,sensor_2,52.7
2024-01-15T10:28:50,sensor_1,50.4
2024-01-15T10:29:30,sensor_3,48.8
2024-01-15T10:30:05,sensor_2,53.0
2024-01-15T10:30:45,sensor_1,50.7
2024-01-15T10:31:25,sensor_3,48.5
2024-01-15T10:32:00,sensor_2,53.3
2024-01-15T10:32:40,sensor_1,51.0
2024-01-15T10:33:20,sensor_3,48.3
2024-01-15T10:33:55,sensor_2,53.6
2024-01-15T10:34:35,sensor_1,51.3
2024-01-15T10:35:15,sensor_3,48.0
2024-01-15T10:35:50,sensor_2,53.9
2024-01-15T10:36:30,sensor_1,51.6
2024-01-15T10:37:10,sensor_3,47.8
2024-01-15T10:37:45,sensor_2,54.2
2024-01-15T10:38:25,sensor_1,51.9
2024-01-15T10:39:05,sensor_3,47.5
2024-01-15T10:39:40,sensor_2,54.5
2024-01-15T10:40:20,sensor_1,52.2
2024-01-15T10:41:00,sensor_3,47.3
2024-01-15T10:41:35,sensor_2,54.8
2024-01-15T10:42:15,sensor_1,52.5
2024-01-15T10:42:55,sensor_3,47.0
2024-01-15T10:43:30,sensor_2,55.1
2024-01-15T10:44:10,sensor_1,52.8
2024-01-15T10:44:50,sensor_3,46.8
2024-01-15T10:45:25,sensor_2,55.4
2024-01-15T10:46:05,sensor_1,53.1
2024-01-15T10:46:45,sensor_3,46.5
2024-01-15T10:47:20,sensor_2,55.7
2024-01-15T10:48:00,sensor_1,53.4
2024-01-15T10:48:40,sensor_3,46.3
2024-01-15T10:49:15,sensor_2,56.0
2024-01-15T10:49:55,sensor_1,53.7
2024-01-15T10:50:35,sensor_3,46.0
2024-01-15T10:51:10,sensor_2,56.3
2024-01-15T10:51:50,sensor_1,54.0
2024-01-15T10:52:30,sensor_3,45.8
2024-01-15T10:53:05,sensor_2,56.6
2024-01-15T10:53:45,sensor_1,54.3
2024-01-15T10:54:25,sensor_3,45.5
2024-01-15T10:55:00,sensor_2,56.9
2024-01-15T10:55:40,sensor_1,54.6
2024-01-15T10:56:20,sensor_3,45.3
2024-01-15T10:56:55,sensor_2,57.2
2024-01-15T10:57:35,sensor_1,54.9
2024-01-15T10:58:15,sensor_3,45.0
2024-01-15T10:58:50,sensor_2,57.5
2024-01-15T10:59:30,sensor_1,55.2
2024-01-15T11:00:10,sensor_3,44.8
2024-01-15T11:00:45,sensor_2,57.8
2024-01-15T11:01:25,sensor_1,55.5
2024-01-15T11:02:05,sensor_3,44.5
2024-01-15T11:02:40,sensor_2,58.1
2024-01-15T11:03:20,sensor_1,55.8
2024-01-15T11:04:00,sensor_3,44.3
2024-01-15T11:04:35,sensor_2,58.4
2024-01-15T11:05:15,sensor_1,56.1
2024-01-15T11:05:55,sensor_3,44.0
2024-01-15T11:06:30,sensor_2,58.7
2024-01-15T11:07:10,sensor_1,56.4
2024-01-15T11:07:50,sensor_3,43.8
2024-01-15T11:08:25,sensor_2,59.0
2024-01-15T11:09:05,sensor_1,56.7
2024-01-15T11:09:45,sensor_3,43.5
2024-01-15T11:10:20,sensor_2,59.3
2024-01-15T11:11:00,sensor_1,57.0
2024-01-15T11:11:40,sensor_3,43.3
2024-01-15T11:12:15,sensor_2,59.6
2024-01-15T11:12:55,sensor_1,57.3
2024-01-15T11:13:35,sensor_3,43.0
2024-01-15T11:14:10,sensor_2,59.9
2024-01-15T11:14:50,sensor_1,57.6
2024-01-15T11:15:30,sensor_3,42.8
2024-01-15T11:16:05,sensor_2,60.2
2024-01-15T11:16:45,sensor_1,57.9
2024-01-15T11:17:25,sensor_3,42.5
2024-01-15T11:18:00,sensor_2,60.5
2024-01-15T11:18:40,sensor_1,58.2
2024-01-15T11:19:20,sensor_3,42.3
2024-01-15T11:19:55,sensor_2,60.8
2024-01-15T11:20:35,sensor_1,58.5
2024-01-15T11:21:15,sensor_3,42.0
2024-01-15T11:21:50,sensor_2,61.1
2024-01-15T11:22:30,sensor_1,58.8
2024-01-15T11:23:10,sensor_3,41.8
2024-01-15T11:23:45,sensor_2,61.4
2024-01-15T11:24:25,sensor_1,59.1
2024-01-15T11:25:05,sensor_3,41.5
2024-01-15T11:25:40,sensor_2,61.7
2024-01-15T11:26:20,sensor_1,59.4
2024-01-15T11:27:00,sensor_3,41.3
2024-01-15T11:27:35,sensor_2,62.0
