timestamp,sensor_id,temperature_celsius
2024-01-15T10:00:15,sensor_1,22.5
2024-01-15T10:00:42,sensor_2,21.3
2024-01-15T10:01:08,sensor_3,23.1
2024-01-15T10:01:52,sensor_1,22.7
2024-01-15T10:02:18,sensor_2,21.5
2024-01-15T10:02:55,sensor_3,23.3
2024-01-15T10:03:21,sensor_1,22.8
2024-01-15T10:04:05,sensor_2,21.4
2024-01-15T10:04:39,sensor_3,23.2
2024-01-15T10:05:12,sensor_1,22.6
2024-01-15T10:05:48,sensor_2,21.6
2024-01-15T10:06:25,sensor_3,23.4
2024-01-15T10:07:01,sensor_1,22.9
2024-01-15T10:07:38,sensor_2,21.7
2024-01-15T10:08:14,sensor_3,23.5
2024-01-15T10:08:51,sensor_1,23.0
2024-01-15T10:09:27,sensor_2,21.8
2024-01-15T10:10:04,sensor_3,23.6
2024-01-15T10:10:40,sensor_1,23.1
2024-01-15T10:11:17,sensor_2,21.9
2024-01-15T10:11:53,sensor_3,23.7
2024-01-15T10:12:30,sensor_1,23.2
2024-01-15T10:13:06,sensor_2,22.0
2024-01-15T10:13:43,sensor_3,23.8
2024-01-15T10:14:19,sensor_1,23.3
2024-01-15T10:14:56,sensor_2,22.1
2024-01-15T10:15:32,sensor_3,23.9
2024-01-15T10:16:09,sensor_1,23.4
2024-01-15T10:16:45,sensor_2,22.2
2024-01-15T10:17:22,sensor_3,24.0
2024-01-15T10:17:58,sensor_1,23.5
2024-01-15T10:18:35,sensor_2,22.3
2024-01-15T10:19:11,sensor_3,24.1
2024-01-15T10:19:48,sensor_1,23.6
2024-01-15T10:20:24,sensor_2,22.4
2024-01-15T10:21:01,sensor_3,24.2
2024-01-15T10:21:37,sensor_1,23.7
2024-01-15T10:22:14,sensor_2,22.5
2024-01-15T10:22:50,sensor_3,24.3
2024-01-15T10:23:27,sensor_1,23.8
2024-01-15T10:24:03,sensor_2,22.6
2024-01-15T10:24:40,sensor_3,24.4
2024-01-15T10:25:16,sensor_1,23.9
2024-01-15T10:25:53,sensor_2,22.7
2024-01-15T10:26:29,sensor_3,24.5
2024-01-15T10:27:06,sensor_1,24.0
2024-01-15T10:27:42,sensor_2,22.8
2024-01-15T10:28:19,sensor_3,24.6
2024-01-15T10:28:55,sensor_1,24.1
2024-01-15T10:29:32,sensor_2,22.9
2024-01-15T10:30:08,sensor_3,24.7
2024-01-15T10:30:45,sensor_1,24.2
2024-01-15T10:31:21,sensor_2,23.0
2024-01-15T10:31:58,sensor_3,24.8
2024-01-15T10:32:34,sensor_1,24.3
2024-01-15T10:33:11,sensor_2,23.1
2024-01-15T10:33:47,sensor_3,24.9
2024-01-15T10:34:24,sensor_1,24.4
2024-01-15T10:35:00,sensor_2,23.2
2024-01-15T10:35:37,sensor_3,25.0
2024-01-15T10:36:13,sensor_1,24.5
2024-01-15T10:36:50,sensor_2,23.3
2024-01-15T10:37:26,sensor_3,25.1
2024-01-15T10:38:03,sensor_1,24.6
2024-01-15T10:38:39,sensor_2,23.4
2024-01-15T10:39:16,sensor_3,25.2
2024-01-15T10:39:52,sensor_1,24.7
2024-01-15T10:40:29,sensor_2,23.5
2024-01-15T10:41:05,sensor_3,25.3
2024-01-15T10:41:42,sensor_1,24.8
2024-01-15T10:42:18,sensor_2,23.6
2024-01-15T10:42:55,sensor_3,25.4
2024-01-15T10:43:31,sensor_1,24.9
2024-01-15T10:44:08,sensor_2,23.7
2024-01-15T10:44:44,sensor_3,25.5
2024-01-15T10:45:21,sensor_1,25.0
2024-01-15T10:45:57,sensor_2,23.8
2024-01-15T10:46:34,sensor_3,25.6
2024-01-15T10:47:10,sensor_1,25.1
2024-01-15T10:47:47,sensor_2,23.9
2024-01-15T10:48:23,sensor_3,25.7
2024-01-15T10:49:00,sensor_1,25.2
2024-01-15T10:49:36,sensor_2,24.0
2024-01-15T10:50:13,sensor_3,25.8
2024-01-15T10:50:49,sensor_1,25.3
2024-01-15T10:51:26,sensor_2,24.1
2024-01-15T10:52:02,sensor_3,25.7
2024-01-15T10:52:39,sensor_1,25.2
2024-01-15T10:53:15,sensor_2,24.0
2024-01-15T10:53:52,sensor_3,25.6
2024-01-15T10:54:28,sensor_1,25.1
2024-01-15T10:55:05,sensor_2,23.9
2024-01-15T10:55:41,sensor_3,25.5
2024-01-15T10:56:18,sensor_1,25.0
2024-01-15T10:56:54,sensor_2,23.8
2024-01-15T10:57:31,sensor_3,25.4
2024-01-15T10:58:07,sensor_1,24.9
2024-01-15T10:58:44,sensor_2,23.7
2024-01-15T10:59:20,sensor_3,25.3
2024-01-15T10:59:57,sensor_1,24.8
2024-01-15T11:00:33,sensor_2,23.6
2024-01-15T11:01:10,sensor_3,25.2
2024-01-15T11:01:46,sensor_1,24.7
2024-01-15T11:02:23,sensor_2,23.5
2024-01-15T11:02:59,sensor_3,25.1
2024-01-15T11:03:36,sensor_1,24.6
2024-01-15T11:04:12,sensor_2,23.4
2024-01-15T11:04:49,sensor_3,25.0
2024-01-15T11:05:25,sensor_1,24.5
2024-01-15T11:06:02,sensor_2,23.3
2024-01-15T11:06:38,sensor_3,24.9
2024-01-15T11:07:15,sensor_1,24.4
2024-01-15T11:07:51,sensor_2,23.2
2024-01-15T11:08:28,sensor_3,24.8
2024-01-15T11:09:04,sensor_1,24.3
2024-01-15T11:09:41,sensor_2,23.1
2024-01-15T11:10:17,sensor_3,24.7
2024-01-15T11:10:54,sensor_1,24.2
2024-01-15T11:11:30,sensor_2,23.0
2024-01-15T11:12:07,sensor_3,24.6
2024-01-15T11:12:43,sensor_1,24.1
2024-01-15T11:13:20,sensor_2,22.9
2024-01-15T11:13:56,sensor_3,24.5
2024-01-15T11:14:33,sensor_1,24.0
2024-01-15T11:15:09,sensor_2,22.8
2024-01-15T11:15:46,sensor_3,24.4
2024-01-15T11:16:22,sensor_1,23.9
2024-01-15T11:16:59,sensor_2,22.7
2024-01-15T11:17:35,sensor_3,24.3
2024-01-15T11:18:12,sensor_1,23.8
2024-01-15T11:18:48,sensor_2,22.6
2024-01-15T11:19:25,sensor_3,24.2
2024-01-15T11:20:01,sensor_1,23.7
2024-01-15T11:20:38,sensor_2,22.5
2024-01-15T11:21:14,sensor_3,24.1
2024-01-15T11:21:51,sensor_1,23.6
2024-01-15T11:22:27,sensor_2,22.4
2024-01-15T11:23:04,sensor_3,24.0
2024-01-15T11:23:40,sensor_1,23.5
2024-01-15T11:24:17,sensor_2,22.3
2024-01-15T11:24:53,sensor_3,23.9
2024-01-15T11:25:30,sensor_1,23.4
2024-01-15T11:26:06,sensor_2,22.2
2024-01-15T11:26:43,sensor_3,23.8
2024-01-15T11:27:19,sensor_1,23.3
2024-01-15T11:27:56,sensor_2,22.1
2024-01-15T11:28:32,sensor_3,23.7
2024-01-15T11:29:09,sensor_1,23.2
