order_id,region,amount
ORD-10001,North,245.50
ORD-10002,South,1250.75
ORD-10003,East,89.99
ORD-10004,North,3421.00
ORD-10005,West,567.25
ORD-10006,Central,1890.50
ORD-10007,Northeast,423.75
ORD-10008,Southwest,2150.00
ORD-10009,South,765.40
ORD-10010,East,1245.80
ORD-10011,North,932.15
ORD-10012,West,3567.90
ORD-10013,Central,456.30
ORD-10014,Northeast,1678.25
ORD-10015,Southwest,890.60
ORD-10016,South,2345.70
ORD-10017,East,543.20
ORD-10018,North,1876.45
ORD-10019,West,234.90
ORD-10020,Central,3210.50
ORD-10021,Northeast,987.65
ORD-10022,Southwest,1456.80
ORD-10023,South,678.95
ORD-10024,East,2987.40
ORD-10025,North,1234.60
ORD-10026,West,876.35
ORD-10027,Central,4521.75
ORD-10028,Northeast,345.80
ORD-10029,Southwest,2678.90
ORD-10030,South,1567.30
ORD-10031,East,890.45
ORD-10032,North,3456.20
ORD-10033,West,1678.55
ORD-10034,Central,923.70
ORD-10035,Northeast,2456.85
ORD-10036,Southwest,567.40
ORD-10037,South,3890.25
ORD-10038,East,1234.90
ORD-10039,North,678.50
ORD-10040,West,2987.60
ORD-10041,Central,1456.75
ORD-10042,Northeast,890.30
ORD-10043,Southwest,3210.45
ORD-10044,South,456.80
ORD-10045,East,1987.65
ORD-10046,North,2345.90
ORD-10047,West,765.25
ORD-10048,Central,3567.40
ORD-10049,Northeast,1234.55
ORD-10050,Southwest,876.70
ORD-10051,South,2678.35
ORD-10052,East,543.90
ORD-10053,North,4123.80
ORD-10054,West,1567.45
ORD-10055,Central,987.60
ORD-10056,Northeast,2890.75
ORD-10057,Southwest,1345.20
ORD-10058,South,678.85
ORD-10059,East,3456.50
ORD-10060,North,923.40
ORD-10061,West,2156.95
ORD-10062,Central,1678.30
ORD-10063,Northeast,456.65
ORD-10064,Southwest,3890.80
ORD-10065,South,1234.25
ORD-10066,East,765.70
ORD-10067,North,2987.55
ORD-10068,West,890.90
ORD-10069,Central,3210.35
ORD-10070,Northeast,1567.80
ORD-10071,Southwest,543.45
ORD-10072,South,4321.60
ORD-10073,East,1876.25
ORD-10074,North,678.40
ORD-10075,West,2456.70
ORD-10076,Central,987.85
ORD-10077,Northeast,3567.95
ORD-10078,Southwest,1234.50
ORD-10079,South,876.65
ORD-10080,East,2678.80
ORD-10081,North,1456.35
ORD-10082,West,543.75
ORD-10083,Central,3890.40
ORD-10084,Northeast,765.90
ORD-10085,Southwest,2345.55
ORD-10086,South,1678.70
ORD-10087,East,456.30
ORD-10088,North,2987.85
ORD-10089,West,1234.95
ORD-10090,Central,890.50
ORD-10091,Northeast,3456.65
ORD-10092,Southwest,678.80
ORD-10093,South,1987.45
ORD-10094,East,2456.60
ORD-10095,North,543.95
ORD-10096,West,3210.70
ORD-10097,Central,1567.55
ORD-10098,Northeast,876.40
ORD-10099,Southwest,2678.75
ORD-10100,South,987.30
ORD-10101,East,3567.85
ORD-10102,North,1345.65
ORD-10103,West,765.50
ORD-10104,Central,2156.90
ORD-10105,Northeast,1876.80
ORD-10106,Southwest,456.95
ORD-10107,South,3890.55
ORD-10108,East,923.70
ORD-10109,North,2345.85
ORD-10110,West,1678.40
ORD-10111,Central,543.60
ORD-10112,Northeast,2987.95
ORD-10113,Southwest,1234.75
ORD-10114,South,890.85
ORD-10115,East,3210.60
ORD-10116,North,678.55
ORD-10117,West,1987.70
ORD-10118,Central,2456.90
ORD-10119,Northeast,765.35
ORD-10120,Southwest,3567.50
ORD-10121,South,1456.60
ORD-10122,East,876.95
ORD-10123,North,2678.65
ORD-10124,West,987.75
ORD-10125,Central,3890.90
ORD-10126,Northeast,1567.45
ORD-10127,Southwest,543.85
ORD-10128,South,2345.40
ORD-10129,East,1234.80
ORD-10130,North,765.60
ORD-10131,West,3456.75
ORD-10132,Central,890.45
ORD-10133,Northeast,2156.85
ORD-10134,Southwest,1678.95
ORD-10135,South,456.50
ORD-10136,East,2987.70
ORD-10137,North,1876.55
ORD-10138,West,678.75
ORD-10139,Central,3210.85
ORD-10140,Northeast,923.60
ORD-10141,Southwest,2456.45
ORD-10142,South,1567.90
ORD-10143,East,543.65
ORD-10144,North,3890.70
ORD-10145,West,1345.80
ORD-10146,Central,765.45
ORD-10147,Northeast,2678.55
ORD-10148,Southwest,987.90
ORD-10149,South,3567.65
ORD-10150,East,1234.70
