transaction_id,customer_id,transaction_date,amount,quantity,is_refund,status,category
TXN001,CUST1001,2023-01-15,125.50,2,false,completed,electronics
TXN002,CUST1002,01/15/2023,89.99,1,False,completed,clothing
TXN003,CUST1003,15-01-2023,N/A,3,true,pending,food
TXN004,,2023-01-16,245.00,unknown,no,completed,electronics
TXN005,CUST1005,01/16/2023,67.25,1.5,yes,completed,clothing
TXN006,CUST1006,16-01-2023,ERROR,2,1,cancelled,food
TXN007,CUST1007,2023-01-17,156.80,4,0,completed,electronics
TXN009,CUST1009,01/17/2023,45.00,,False,completed,clothing
TXN010,,17-01-2023,320.00,5,false,completed,electronics
TXN011,CUST1011,2023-01-18,,3,True,cancelled,food
TXN012,CUST1012,01/18/2023,78.50,1,no,completed,clothing
TXN013,CUST1013,18-01-2023,190.25,2,yes,pending,electronics
TXN015,CUST1015,01/19/2023,56.00,1,0,completed,food
TXN016,,19-01-2023,145.75,3,true,cancelled,clothing
TXN017,CUST1017,2023-01-20,ERROR,2,False,pending,electronics
TXN018,CUST1018,,88.99,,false,completed,food
TXN019,CUST1019,01/20/2023,210.00,4,True,completed,clothing
TXN020,CUST1020,20-01-2023,95.50,1.5,yes,completed,electronics
TXN022,,01/21/2023,167.25,5,1,completed,food
TXN023,CUST1023,21-01-2023,72.00,unknown,0,pending,clothing
TXN024,CUST1024,2023-01-22,N/A,3,true,completed,electronics
TXN025,CUST1025,01/22/2023,134.50,1,False,completed,food
TXN026,CUST1026,22-01-2023,ERROR,2,false,cancelled,clothing
TXN027,CUST1027,2023-01-23,289.99,,True,completed,electronics
TXN029,CUST1029,01/23/2023,156.00,2,no,completed,food
TXN030,,23-01-2023,98.25,1.5,1,completed,clothing
TXN031,CUST1031,2023-01-24,,3,0,cancelled,electronics
TXN032,CUST1032,01/24/2023,N/A,unknown,true,pending,food
TXN033,CUST1033,24-01-2023,178.50,5,False,completed,clothing
TXN034,CUST1034,2023-01-25,67.00,1,false,completed,electronics
TXN036,CUST1036,25-01-2023,234.75,,yes,completed,food
TXN037,CUST1037,2023-01-26,89.99,3,no,pending,clothing
TXN038,CUST1038,,123.50,1.5,1,completed,electronics
TXN039,CUST1039,01/26/2023,N/A,4,0,completed,food
TXN040,CUST1040,26-01-2023,195.00,unknown,true,cancelled,clothing
TXN042,,01/27/2023,ERROR,5,false,completed,electronics
TXN043,CUST1043,27-01-2023,76.25,1,True,completed,food
TXN044,CUST1044,2023-01-28,145.00,,yes,cancelled,clothing
TXN045,CUST1045,01/28/2023,N/A,3,no,completed,electronics
TXN046,CUST1046,28-01-2023,167.50,2,1,pending,food
TXN048,CUST1048,,ERROR,unknown,true,completed,clothing
TXN049,,01/29/2023,256.00,4,False,cancelled,electronics
TXN050,CUST1050,29-01-2023,92.99,1,false,completed,food
TXN051,CUST1051,2023-01-30,,2,True,pending,clothing
TXN052,CUST1052,01/30/2023,N/A,5,yes,completed,electronics
TXN053,CUST1053,30-01-2023,178.25,unknown,no,completed,food
TXN055,CUST1055,01/31/2023,134.00,3,0,completed,clothing
TXN056,CUST1056,31-01-2023,67.50,1.5,true,pending,electronics
TXN057,CUST1057,2023-02-01,215.75,2,False,completed,food
TXN058,CUST1058,02/01/2023,,unknown,false,cancelled,clothing
TXN059,CUST1059,01-02-2023,N/A,4,True,completed,electronics
TXN060,CUST1060,2023-02-02,105.99,1,yes,completed,food
