transaction_id,customer_id,transaction_date,amount,quantity,is_refund,status,category
TXN001,1001,2023-02-20 14:30:00,234.75,1,N,processed,books
TXN002,1002,20-Feb-2023,1500.00,2,NO,processed,electronics
TXN003,1003,2023-02-21,89.99,1,F,processed,home
TXN004,,2023-02-21 09:15:00,450.25,3,N,processed,sports
TXN006,1006,2023-02-22,2399.99,1,Y,refunded,electronics
TXN007,1007,22-Feb-2023,-,2.5,N,processed,books
TXN008,1008,2023-02-22 16:45:00,125.50,multiple,T,processed,home
TXN010,1010,23-Feb-2023,3456.78,10,NO,processed,sports
TXN011,1011,2023-02-23 11:20:00,67.89,1,F,processed,books
TXN012,1012,2023-02-24,899.00,,YES,refunded,electronics
TXN013,1013,,178.45,3,N,processed,home
TXN015,,2023-02-24 13:10:00,5432.10,7,N,processed,sports
TXN016,1016,2023-02-25,234.56,1,NO,processed,books
TXN017,1017,25-Feb-2023,-,3.7,T,failed,electronics
TXN019,1019,,456.78,,YES,processed,home
TXN020,1020,26-Feb-2023,9876.54,15,Y,refunded,sports
TXN021,,2023-02-26 15:45:00,123.45,1,N,processed,books
TXN023,1023,27-Feb-2023,567.89,4,F,processed,electronics
TXN024,1024,2023-02-27 12:00:00,-,2,T,processed,home
TXN025,1025,,2345.67,,N,refunded,sports
TXN026,1026,28-Feb-2023,89.12,1,YES,processed,books
TXN028,1028,2023-03-01,MISSING,3.5,NO,failed,electronics
TXN029,1029,01-Mar-2023,678.90,2,F,processed,home
TXN030,1030,2023-03-01 14:20:00,1234.56,,T,processed,sports
TXN032,1032,02-Mar-2023,3456.78,5,YES,refunded,books
TXN033,1033,2023-03-02 11:45:00,234.50,1,Y,processed,electronics
TXN034,1034,,890.12,2.5,NO,processed,home
TXN036,1036,2023-03-03 16:10:00,5678.90,12,T,processed,sports
TXN037,,2023-03-04,456.78,3,N,processed,books
TXN038,1038,04-Mar-2023,-,1,YES,refunded,electronics
TXN040,1040,,234.67,2,NO,failed,home
TXN041,1041,05-Mar-2023,1567.89,,F,processed,sports
TXN042,,2023-03-05 13:40:00,MISSING,4,T,processed,books
TXN044,1044,06-Mar-2023,-,3.7,YES,processed,electronics
TXN045,1045,2023-03-06 09:25:00,3456.12,6,Y,processed,home
TXN046,1046,,567.89,,NO,failed,sports
TXN048,1048,2023-03-07 15:30:00,8901.23,9,T,processed,books
TXN049,1049,2023-03-08,345.67,multiple,N,refunded,electronics
TXN050,1050,08-Mar-2023,2345.78,5,YES,processed,home
