transaction_id,customer_id,amount,timestamp,product_category
TXN_000001,CUST_00042,245.50,2024-01-15 09:23:15,Electronics
TXN_000002,CUST_00042,89.99,2024-01-15 10:45:22,Clothing
TXN_000003,CUST_00017,156.75,2024-01-15 11:12:33,Books
TXN_000004,CUST_00042,432.00,2024-01-15 13:30:45,Electronics
TXN_000005,CUST_00089,67.25,2024-01-15 14:55:10,Food
TXN_000006,CUST_00042,198.50,2024-01-16 08:15:20,Home
TXN_000007,CUST_00017,322.80,2024-01-16 09:40:35,Electronics
TXN_000008,CUST_00042,45.99,2024-01-16 10:25:50,Food
TXN_000009,CUST_00089,521.00,2024-01-16 11:50:15,Electronics
TXN_000010,CUST_00042,76.30,2024-01-16 13:15:40,Clothing
TXN_000011,CUST_00017,189.99,2024-01-17 08:30:25,Home
TXN_000012,CUST_00042,234.75,2024-01-17 09:45:30,Books
TXN_000013,CUST_00089,98.50,2024-01-17 10:20:45,Clothing
TXN_000014,CUST_00042,145.25,2024-01-17 11:35:55,Food
TXN_000015,CUST_00017,387.60,2024-01-17 12:50:10,Electronics
TXN_000016,CUST_00042,67.89,2024-01-18 08:05:20,Books
TXN_000017,CUST_00089,412.30,2024-01-18 09:20:35,Home
TXN_000018,CUST_00042,523.45,2024-01-18 10:35:50,Electronics
TXN_000019,CUST_00017,91.75,2024-01-18 11:50:05,Clothing
TXN_000020,CUST_00042,178.90,2024-01-18 13:05:15,Food
TXN_000021,CUST_00089,256.40,2024-01-19 08:20:30,Electronics
TXN_000022,CUST_00042,89.99,2024-01-19 09:35:45,Books
TXN_000023,CUST_00017,445.80,2024-01-19 10:50:55,Home
TXN_000024,CUST_00042,123.65,2024-01-19 12:05:10,Clothing
TXN_000025,CUST_00089,334.20,2024-01-19 13:20:25,Electronics
TXN_000026,CUST_00042,198.75,2024-01-20 08:35:40,Food
TXN_000027,CUST_00017,267.50,2024-01-20 09:50:50,Electronics
TXN_000028,CUST_00042,456.30,2024-01-20 11:05:05,Home
