run_id,config_id,problem_id,status,time_seconds
run_1,config_1,problem_1,success,5.3
run_3,config_1,problem_3,success,12.7
run_5,config_1,problem_5,success,8.4
run_7,config_1,problem_7,success,15.2
run_8,config_1,problem_8,success,7.9
run_10,config_1,problem_10,success,9.1
run_11,config_2,problem_1,success,4.8
run_12,config_2,problem_2,success,6.5
run_13,config_2,problem_3,success,11.3
run_15,config_2,problem_5,success,7.2
run_16,config_2,problem_6,success,9.8
run_17,config_2,problem_7,success,14.1
run_20,config_2,problem_10,success,8.6
run_21,config_3,problem_1,success,3.9
run_22,config_3,problem_2,success,5.2
run_23,config_3,problem_3,success,9.7
run_24,config_3,problem_4,success,6.8
run_25,config_3,problem_5,success,4.5
run_26,config_3,problem_6,success,8.1
run_27,config_3,problem_7,success,12.3
run_28,config_3,problem_8,success,7.4
run_30,config_3,problem_10,success,5.9
run_31,config_4,problem_1,success,4.2
run_32,config_4,problem_2,success,7.1
run_33,config_4,problem_3,success,10.8
run_34,config_4,problem_4,success,8.5
run_36,config_4,problem_6,success,9.3
run_37,config_4,problem_7,success,13.6
run_39,config_4,problem_9,success,6.7
run_40,config_4,problem_10,success,11.2
run_41,config_5,problem_1,success,5.1
run_42,config_5,problem_2,success,6.9
run_43,config_5,problem_3,success,10.4
run_45,config_5,problem_5,success,7.8
run_46,config_5,problem_6,success,8.7
run_48,config_5,problem_8,success,9.5
run_49,config_5,problem_9,success,12.8
