feature_name,importance_score,feature_type,data_source
credit_score,0.952,numeric,user_profile
transaction_count,0.876,numeric,transaction_history
avg_purchase_value,0.823,numeric,transaction_history
customer_segment,0.791,categorical,behavioral_data
age,0.745,numeric,demographic_data
income_level,0.718,numeric,user_profile
days_since_last_purchase,0.682,numeric,transaction_history
geographic_region,0.654,categorical,demographic_data
payment_method,0.627,categorical,transaction_history
account_age_days,0.598,numeric,user_profile
total_lifetime_value,0.571,numeric,transaction_history
purchase_frequency,0.543,numeric,behavioral_data
email_engagement_rate,0.518,numeric,behavioral_data
mobile_app_usage,0.492,binary,behavioral_data
loyalty_program_member,0.467,binary,user_profile
avg_session_duration,0.441,numeric,behavioral_data
product_category_preference,0.415,categorical,behavioral_data
credit_utilization_ratio,0.389,numeric,external_api
social_media_connected,0.362,binary,user_profile
referral_source,0.336,categorical,user_profile
device_type,0.311,categorical,behavioral_data
browser_type,0.287,categorical,behavioral_data
time_of_day_preference,0.264,ordinal,behavioral_data
day_of_week_preference,0.241,ordinal,behavioral_data
seasonal_purchase_pattern,0.219,categorical,behavioral_data
cart_abandonment_rate,0.196,numeric,behavioral_data
wishlist_size,0.174,numeric,behavioral_data
review_count,0.153,numeric,behavioral_data
average_rating_given,0.132,numeric,behavioral_data
support_ticket_count,0.112,numeric,user_profile
return_rate,0.094,numeric,transaction_history
discount_usage_frequency,0.078,numeric,transaction_history
email_subscription_status,0.063,binary,user_profile
sms_subscription_status,0.051,binary,user_profile
language_preference,0.042,categorical,user_profile
currency_preference,0.035,categorical,user_profile
shipping_address_count,0.028,numeric,user_profile
saved_payment_methods,0.022,numeric,user_profile
profile_completeness,0.017,numeric,user_profile
two_factor_enabled,0.013,binary,user_profile
newsletter_open_rate,0.009,numeric,behavioral_data
click_through_rate,0.006,numeric,behavioral_data
