id,name,value,category,timestamp
3001,Item_3001,567,B,2024-01-15 09:40:00
3002,Item_3002,234,C,2024-02-20 14:20:00
3003,Item_3003,789,A,2024-03-10 11:35:00
3004,Item_3004,456,D,2024-04-05 08:15:00
3005,Item_3005,892,B,2024-05-12 16:45:00
3006,Item_3006,123,A,2024-06-18 10:20:00
3007,Item_3007,678,C,2024-07-22 13:55:00
3008,Item_3008,345,D,2024-08-30 07:30:00
3009,Item_3009,901,B,2024-09-14 15:10:00
3010,Item_3010,234,A,2024-10-25 12:40:00
3011,Item_3011,567,C,2024-11-08 09:25:00
3012,Item_3012,789,D,2024-12-19 17:50:00
3013,Item_3013,412,B,2024-01-27 11:05:00
3014,Item_3014,635,A,2024-02-14 14:30:00
3015,Item_3015,258,C,2024-03-21 08:45:00
3016,Item_3016,871,D,2024-04-16 16:20:00
3017,Item_3017,194,B,2024-05-29 10:55:00
3018,Item_3018,726,A,2024-06-11 13:15:00
3019,Item_3019,453,C,2024-07-04 07:40:00
3020,Item_3020,980,D,2024-08-17 15:25:00
3021,Item_3021,317,B,2024-09-23 12:50:00
3022,Item_3022,644,A,2024-10-09 09:10:00
3023,Item_3023,271,C,2024-11-14 16:35:00
3024,Item_3024,898,D,2024-12-01 11:00:00
3025,Item_3025,125,B,2024-01-19 14:45:00
3026,Item_3026,752,A,2024-02-28 08:20:00
3027,Item_3027,489,C,2024-03-15 15:55:00
3028,Item_3028,916,D,2024-04-22 10:30:00
3029,Item_3029,343,B,2024-05-07 13:05:00
3030,Item_3030,670,A,2024-06-25 07:50:00
3031,Item_3031,297,C,2024-07-18 16:15:00
3032,Item_3032,824,D,2024-08-09 12:40:00
3033,Item_3033,151,B,2024-09-30 09:25:00
3034,Item_3034,778,A,2024-10-13 14:50:00
3035,Item_3035,405,C,2024-11-26 11:15:00
3036,Item_3036,932,D,2024-12-08 08:40:00
3037,Item_3037,269,B,2024-01-11 16:05:00
3038,Item_3038,596,A,2024-02-24 10:30:00
3039,Item_3039,823,C,2024-03-19 13:55:00
3040,Item_3040,150,D,2024-04-26 07:20:00
3041,Item_3041,777,B,2024-05-14 15:45:00
3042,Item_3042,404,A,2024-06-08 12:10:00
3043,Item_3043,931,C,2024-07-29 09:35:00
3044,Item_3044,268,D,2024-08-21 16:00:00
3045,Item_3045,695,B,2024-09-05 11:25:00
3046,Item_3046,122,A,2024-10-17 14:50:00
3047,Item_3047,749,C,2024-11-03 08:15:00
3048,Item_3048,486,D,2024-12-15 15:40:00
3049,Item_3049,913,B,2024-01-23 10:05:00
3050,Item_3050,340,A,2024-02-07 13:30:00
3051,Item_3051,867,C,2024-03-26 07:55:00
3052,Item_3052,194,D,2024-04-12 16:20:00
3053,Item_3053,721,B,2024-05-31 11:45:00
3054,Item_3054,458,A,2024-06-14 09:10:00
3055,Item_3055,885,C,2024-07-07 14:35:00
3056,Item_3056,212,D,2024-08-28 08:00:00
3057,Item_3057,739,B,2024-09-19 15:25:00
3058,Item_3058,466,A,2024-10-04 12:50:00
3059,Item_3059,893,C,2024-11-21 09:15:00
3060,Item_3060,220,D,2024-12-12 16:40:00
3061,Item_3061,647,B,2024-01-08 11:05:00
3062,Item_3062,374,A,2024-02-16 14:30:00
3063,Item_3063,801,C,2024-03-23 08:55:00
3064,Item_3064,238,D,2024-04-19 15:20:00
3065,Item_3065,765,B,2024-05-25 10:45:00
3066,Item_3066,492,A,2024-06-30 13:10:00
3067,Item_3067,919,C,2024-07-14 07:35:00
3068,Item_3068,246,D,2024-08-06 16:00:00
3069,Item_3069,773,B,2024-09-27 11:25:00
3070,Item_3070,500,A,2024-10-21 14:50:00
3071,Item_3071,827,C,2024-11-11 08:15:00
3072,Item_3072,154,D,2024-12-23 15:40:00
3073,Item_3073,681,B,2024-01-29 10:05:00
3074,Item_3074,408,A,2024-02-12 13:30:00
3075,Item_3075,935,C,2024-03-08 07:55:00
3076,Item_3076,262,D,2024-04-24 16:20:00
3077,Item_3077,789,B,2024-05-18 11:45:00
3078,Item_3078,516,A,2024-06-03 09:10:00
3079,Item_3079,843,C,2024-07-27 14:35:00
3080,Item_3080,170,D,2024-08-13 08:00:00
3081,Item_3081,697,B,2024-09-08 15:25:00
3082,Item_3082,424,A,2024-10-28 12:50:00
3083,Item_3083,951,C,2024-11-17 09:15:00
3084,Item_3084,278,D,2024-12-05 16:40:00
3085,Item_3085,805,B,2024-01-13 11:05:00
3086,Item_3086,532,A,2024-02-26 14:30:00
3087,Item_3087,859,C,2024-03-12 08:55:00
3088,Item_3088,186,D,2024-04-08 15:20:00
3089,Item_3089,713,B,2024-05-22 10:45:00
3090,Item_3090,440,A,2024-06-19 13:10:00
3091,Item_3091,967,C,2024-07-11 07:35:00
3092,Item_3092,294,D,2024-08-24 16:00:00
3093,Item_3093,821,B,2024-09-15 11:25:00
3094,Item_3094,548,A,2024-10-31 14:50:00
3095,Item_3095,875,C,2024-11-07 08:15:00
3096,Item_3096,202,D,2024-12-20 15:40:00
3097,Item_3097,729,B,2024-01-25 10:05:00
3098,Item_3098,456,A,2024-02-09 13:30:00
3099,Item_3099,983,C,2024-03-17 07:55:00
3100,Item_3100,310,D,2024-04-30 16:20:00
