id,name,value,category,timestamp
1001,Item_1001,523,B,2024-04-12 11:20:00
1002,Item_1002,691,D,2024-05-08 16:30:00
1003,Item_1003,412,A,2024-06-22 08:45:00
1004,Item_1004,856,C,2024-01-15 09:15:00
1005,Item_1005,234,B,2024-03-28 14:22:00
1006,Item_1006,678,A,2024-07-11 10:50:00
1007,Item_1007,945,D,2024-02-19 13:40:00
1008,Item_1008,321,C,2024-08-03 07:25:00
1009,Item_1009,567,B,2024-05-30 15:10:00
1010,Item_1010,789,A,2024-09-14 12:35:00
1011,Item_1011,432,D,2024-01-22 08:55:00
1012,Item_1012,654,C,2024-04-07 16:45:00
1013,Item_1013,876,B,2024-06-18 11:30:00
1014,Item_1014,198,A,2024-03-05 09:20:00
1015,Item_1015,765,D,2024-07-29 14:05:00
1016,Item_1016,543,C,2024-02-11 10:40:00
1017,Item_1017,321,B,2024-08-24 13:15:00
1018,Item_1018,987,A,2024-05-16 07:50:00
1019,Item_1019,456,D,2024-09-08 15:25:00
1020,Item_1020,234,C,2024-01-30 12:10:00
1021,Item_1021,678,B,2024-04-25 08:35:00
1022,Item_1022,890,A,2024-06-12 16:00:00
1023,Item_1023,345,D,2024-03-19 11:45:00
1024,Item_1024,567,C,2024-07-04 09:30:00
1025,Item_1025,789,B,2024-02-26 14:55:00
1026,Item_1026,912,A,2024-08-17 10:20:00
1027,Item_1027,234,D,2024-05-09 13:40:00
1028,Item_1028,456,C,2024-09-21 07:15:00
1029,Item_1029,678,B,2024-01-14 15:50:00
1030,Item_1030,801,A,2024-04-02 12:25:00
1031,Item_1031,923,D,2024-06-27 08:00:00
1032,Item_1032,345,C,2024-03-11 16:35:00
1033,Item_1033,567,B,2024-07-23 11:10:00
1034,Item_1034,789,A,2024-02-08 09:45:00
1035,Item_1035,912,D,2024-08-31 14:20:00
1036,Item_1036,134,C,2024-05-22 10:55:00
1037,Item_1037,456,B,2024-09-13 13:30:00
1038,Item_1038,678,A,2024-01-27 07:05:00
1039,Item_1039,890,D,2024-04-19 15:40:00
1040,Item_1040,312,C,2024-06-05 12:15:00
1041,Item_1041,534,B,2024-03-23 08:50:00
1042,Item_1042,756,A,2024-07-16 16:25:00
1043,Item_1043,978,D,2024-02-02 11:00:00
1044,Item_1044,190,C,2024-08-26 09:35:00
1045,Item_1045,412,B,2024-05-18 14:10:00
1046,Item_1046,634,A,2024-09-29 10:45:00
1047,Item_1047,856,D,2024-01-09 13:20:00
1048,Item_1048,278,C,2024-04-14 07:55:00
1049,Item_1049,490,B,2024-06-30 15:30:00
1050,Item_1050,612,A,2024-03-17 12:05:00
1051,Item_1051,834,D,2024-07-08 08:40:00
1052,Item_1052,156,C,2024-02-20 16:15:00
1053,Item_1053,478,B,2024-08-12 11:50:00
1054,Item_1054,690,A,2024-05-04 09:25:00
1055,Item_1055,812,D,2024-09-26 14:00:00
1056,Item_1056,234,C,2024-01-18 10:35:00
1057,Item_1057,456,B,2024-04-10 13:10:00
1058,Item_1058,678,A,2024-06-24 07:45:00
1059,Item_1059,890,D,2024-03-08 15:20:00
1060,Item_1060,312,C,2024-07-31 12:55:00
1061,Item_1061,534,B,2024-02-14 08:30:00
1062,Item_1062,756,A,2024-08-06 16:05:00
1063,Item_1063,978,D,2024-05-28 11:40:00
1064,Item_1064,190,C,2024-09-19 09:15:00
1065,Item_1065,412,B,2024-01-05 14:50:00
1066,Item_1066,634,A,2024-04-29 10:25:00
1067,Item_1067,856,D,2024-06-15 13:00:00
1068,Item_1068,278,C,2024-03-02 07:35:00
1069,Item_1069,490,B,2024-07-27 15:10:00
1070,Item_1070,612,A,2024-02-17 12:45:00
1071,Item_1071,834,D,2024-08-09 08:20:00
1072,Item_1072,156,C,2024-05-01 16:55:00
1073,Item_1073,478,B,2024-09-23 11:30:00
1074,Item_1074,690,A,2024-01-12 09:05:00
1075,Item_1075,812,D,2024-04-06 14:40:00
1076,Item_1076,234,C,2024-06-20 10:15:00
1077,Item_1077,456,B,2024-03-14 13:50:00
1078,Item_1078,678,A,2024-07-05 07:25:00
1079,Item_1079,890,D,2024-02-25 15:00:00
1080,Item_1080,312,C,2024-08-18 12:35:00
1081,Item_1081,534,B,2024-05-10 08:10:00
1082,Item_1082,756,A,2024-09-02 16:45:00
1083,Item_1083,978,D,2024-01-24 11:20:00
1084,Item_1084,190,C,2024-04-17 09:55:00
1085,Item_1085,412,B,2024-06-09 14:30:00
1086,Item_1086,634,A,2024-03-26 10:05:00
1087,Item_1087,856,D,2024-07-19 13:40:00
1088,Item_1088,278,C,2024-02-06 07:15:00
1089,Item_1089,490,B,2024-08-29 15:50:00
1090,Item_1090,612,A,2024-05-21 12:25:00
1091,Item_1091,834,D,2024-09-14 08:00:00
1092,Item_1092,156,C,2024-01-07 16:35:00
1093,Item_1093,478,B,2024-04-21 11:10:00
1094,Item_1094,690,A,2024-06-13 09:45:00
1095,Item_1095,812,D,2024-03-30 14:20:00
1096,Item_1096,234,C,2024-07-14 10:55:00
1097,Item_1097,456,B,2024-02-09 13:30:00
1098,Item_1098,678,A,2024-08-22 07:05:00
1099,Item_1099,890,D,2024-05-14 15:40:00
1100,Item_1100,312,C,2024-09-06 12:15:00
