id,name,value,category,timestamp
1,Item_1,456,A,2024-01-15 10:30:00
2,Item_2,789,C,2024-02-20 14:45:00
3,Item_3,234,B,2024-03-10 09:15:00
4,Item_4,567,D,2024-01-22 11:20:00
5,Item_5,890,A,2024-04-05 16:30:00
6,Item_6,345,C,2024-02-14 08:45:00
7,Item_7,678,B,2024-05-18 13:15:00
8,Item_8,123,D,2024-03-25 07:50:00
9,Item_9,901,A,2024-06-12 15:40:00
10,Item_10,432,C,2024-01-30 12:25:00
11,Item_11,765,B,2024-07-08 10:10:00
12,Item_12,298,D,2024-04-17 14:55:00
13,Item_13,654,A,2024-08-21 09:35:00
14,Item_14,187,C,2024-02-28 11:45:00
15,Item_15,543,B,2024-09-14 16:20:00
16,Item_16,876,D,2024-05-03 08:30:00
17,Item_17,219,A,2024-10-19 13:50:00
18,Item_18,987,C,2024-03-07 07:15:00
19,Item_19,356,B,2024-11-25 15:05:00
20,Item_20,728,D,2024-01-11 10:40:00
21,Item_21,491,A,2024-06-29 12:55:00
22,Item_22,635,C,2024-04-23 09:20:00
23,Item_23,174,B,2024-12-05 14:30:00
24,Item_24,862,D,2024-02-16 11:10:00
25,Item_25,305,A,2024-07-31 16:45:00
26,Item_26,749,C,2024-05-12 08:25:00
27,Item_27,418,B,2024-08-26 13:35:00
28,Item_28,691,D,2024-03-19 07:50:00
29,Item_29,254,A,2024-09-08 15:15:00
30,Item_30,837,C,2024-01-27 10:05:00
31,Item_31,502,B,2024-10-14 12:40:00
32,Item_32,176,D,2024-06-06 09:55:00
33,Item_33,945,A,2024-11-20 14:20:00
34,Item_34,368,C,2024-04-11 11:30:00
35,Item_35,721,B,2024-12-28 16:10:00
36,Item_36,294,D,2024-02-03 08:45:00
37,Item_37,857,A,2024-07-17 13:25:00
38,Item_38,430,C,2024-05-29 07:35:00
39,Item_39,683,B,2024-08-10 15:50:00
40,Item_40,256,D,2024-03-14 10:15:00
41,Item_41,819,A,2024-09-22 12:30:00
42,Item_42,392,C,2024-01-08 09:40:00
43,Item_43,675,B,2024-10-04 14:55:00
44,Item_44,148,D,2024-06-18 11:20:00
45,Item_45,921,A,2024-11-11 16:05:00
46,Item_46,384,C,2024-04-26 08:15:00
47,Item_47,747,B,2024-12-15 13:40:00
48,Item_48,210,D,2024-02-09 07:25:00
49,Item_49,893,A,2024-07-23 15:30:00
50,Item_50,456,C,2024-05-05 10:50:00
51,Item_51,629,B,2024-08-18 12:10:00
52,Item_52,192,D,2024-03-31 09:35:00
53,Item_53,875,A,2024-09-13 14:45:00
54,Item_54,348,C,2024-01-19 11:55:00
55,Item_55,701,B,2024-10-27 16:20:00
56,Item_56,274,D,2024-06-09 08:05:00
57,Item_57,847,A,2024-11-02 13:15:00
58,Item_58,420,C,2024-04-15 07:40:00
59,Item_59,693,B,2024-12-21 15:55:00
60,Item_60,166,D,2024-02-24 10:30:00
61,Item_61,939,A,2024-07-07 12:45:00
62,Item_62,312,C,2024-05-20 09:10:00
63,Item_63,785,B,2024-08-03 14:25:00
64,Item_64,258,D,2024-03-28 11:40:00
65,Item_65,821,A,2024-09-29 16:00:00
66,Item_66,494,C,2024-01-06 08:20:00
67,Item_67,667,B,2024-10-12 13:50:00
68,Item_68,140,D,2024-06-25 07:05:00
69,Item_69,913,A,2024-11-17 15:35:00
70,Item_70,386,C,2024-04-08 10:55:00
71,Item_71,759,B,2024-12-09 12:20:00
72,Item_72,232,D,2024-02-13 09:30:00
73,Item_73,895,A,2024-07-26 14:40:00
74,Item_74,468,C,2024-05-11 11:05:00
75,Item_75,641,B,2024-08-24 16:25:00
76,Item_76,214,D,2024-03-06 08:50:00
77,Item_77,887,A,2024-09-18 13:10:00
78,Item_78,360,C,2024-01-24 07:30:00
79,Item_79,723,B,2024-10-30 15:45:00
80,Item_80,296,D,2024-06-14 10:00:00
81,Item_81,869,A,2024-11-26 12:15:00
82,Item_82,432,C,2024-04-02 09:25:00
83,Item_83,705,B,2024-12-18 14:50:00
84,Item_84,178,D,2024-02-07 11:35:00
85,Item_85,951,A,2024-07-21 16:10:00
86,Item_86,324,C,2024-05-04 08:40:00
87,Item_87,797,B,2024-08-16 13:00:00
88,Item_88,270,D,2024-03-22 07:20:00
89,Item_89,843,A,2024-09-07 15:25:00
90,Item_90,416,C,2024-01-13 10:45:00
91,Item_91,689,B,2024-10-20 12:05:00
92,Item_92,162,D,2024-06-02 09:15:00
93,Item_93,935,A,2024-11-15 14:35:00
94,Item_94,308,C,2024-04-29 11:50:00
95,Item_95,771,B,2024-12-03 16:30:00
96,Item_96,244,D,2024-02-18 08:10:00
97,Item_97,877,A,2024-07-12 13:45:00
98,Item_98,450,C,2024-05-25 07:00:00
99,Item_99,623,B,2024-08-07 15:20:00
100,Item_100,196,D,2024-03-16 10:35:00
