subscription_tier,region,payment_method,account_type,tenure_months,monthly_charges,total_charges,churned
Basic,North,Cash,Personal,3,45.2,135.6,1
Premium,Central,Credit Card,Business,48,125.3,6014.4,0
Standard,East,Bank Transfer,Family,24,75.5,1812.0,0
Basic,South,Cash,Personal,2,42.8,85.6,1
Enterprise,West,Credit Card,Business,60,145.0,8700.0,0
Standard,North,PayPal,Personal,18,68.9,1240.2,0
Basic,East,Cash,Student,4,35.5,142.0,1
Premium,Central,Credit Card,Family,36,115.2,4147.2,0
Basic,South,Cash,Personal,1,40.0,40.0,1
Standard,West,Bank Transfer,Business,30,82.4,2472.0,0
Enterprise,North,Credit Card,Business,55,148.5,8167.5,0
Basic,Central,Cash,Personal,5,38.9,194.5,1
Premium,East,Credit Card,Family,42,118.6,4981.2,0
Standard,South,PayPal,Personal,22,71.2,1566.4,0
Basic,West,Cash,Student,3,33.5,100.5,1
Enterprise,Central,Bank Transfer,Business,65,142.8,9282.0,0
Standard,North,Credit Card,Family,28,79.3,2220.4,0
Basic,East,Cash,Personal,2,44.1,88.2,1
Premium,South,Credit Card,Business,45,122.7,5521.5,0
Basic,West,Cash,Personal,6,41.5,249.0,1
Standard,Central,Bank Transfer,Personal,20,73.8,1476.0,0
Enterprise,North,Credit Card,Business,58,146.2,8479.6,0
Basic,South,Cash,Student,4,36.8,147.2,1
Premium,East,Credit Card,Family,38,119.4,4537.2,0
Standard,West,PayPal,Personal,25,76.9,1922.5,0
Basic,North,Cash,Personal,3,39.7,119.1,1
Enterprise,Central,Credit Card,Business,62,144.3,8946.6,0
Standard,South,Bank Transfer,Family,26,80.1,2082.6,0
Basic,East,Cash,Personal,1,43.2,43.2,1
Premium,West,Credit Card,Business,50,120.8,6040.0,0
Basic,Central,Cash,Student,5,34.9,174.5,1
Standard,North,PayPal,Personal,19,70.5,1339.5,0
Enterprise,East,Credit Card,Business,63,147.9,9317.7,0
Basic,South,Cash,Personal,2,41.8,83.6,1
Premium,Central,Credit Card,Family,40,116.5,4660.0,0
Standard,West,Bank Transfer,Personal,23,77.6,1794.8,0
Basic,North,Cash,Personal,4,37.3,149.2,1
Enterprise,South,Credit Card,Business,59,143.6,8472.4,0
Standard,East,PayPal,Family,27,81.7,2205.9,0
Basic,West,Cash,Student,3,35.1,105.3,1
Premium,North,Credit Card,Business,44,121.9,5363.6,0
Basic,Central,Cash,Personal,6,40.6,243.6,1
Standard,South,Bank Transfer,Personal,21,74.3,1560.3,0
Enterprise,East,Credit Card,Business,56,145.7,8159.2,0
Basic,North,Cash,Personal,2,42.4,84.8,1
Premium,West,Credit Card,Family,39,117.8,4594.2,0
Standard,Central,PayPal,Personal,24,78.2,1876.8,0
Basic,South,Cash,Student,5,36.2,181.0,1
Enterprise,North,Credit Card,Business,61,146.8,8954.8,0
Basic,East,Cash,Personal,3,38.5,115.5,1
Standard,West,Bank Transfer,Family,29,83.4,2418.6,0
Premium,Central,Credit Card,Business,46,123.5,5681.0,0
Basic,South,Cash,Personal,1,44.7,44.7,1
Enterprise,East,Credit Card,Business,64,148.2,9484.8,0
Standard,North,PayPal,Personal,20,72.1,1442.0,0
Basic,West,Cash,Student,4,34.3,137.2,1
Premium,South,Credit Card,Family,41,118.1,4842.1,0
Basic,Central,Cash,Personal,5,39.9,199.5,1
Standard,East,Bank Transfer,Personal,22,75.7,1665.4,0
Enterprise,West,Credit Card,Business,57,144.9,8259.3,0
Basic,North,Cash,Personal,2,41.1,82.2,1
Premium,Central,Credit Card,Business,47,124.2,5837.4,0
Standard,South,PayPal,Family,28,82.8,2318.4,0
Basic,East,Cash,Student,3,37.6,112.8,1
Enterprise,North,Credit Card,Business,60,147.4,8844.0,0
Basic,West,Cash,Personal,6,40.2,241.2,1
Standard,Central,Bank Transfer,Personal,19,71.4,1356.6,0
Premium,East,Credit Card,Family,43,120.3,5172.9,0
Basic,South,Cash,Personal,4,38.1,152.4,1
Enterprise,Central,Credit Card,Business,58,145.1,8415.8,0
Standard,North,PayPal,Personal,26,79.9,2077.4,0
Basic,West,Cash,Student,5,35.7,178.5,1
Premium,South,Credit Card,Business,49,122.4,5997.6,0
Basic,East,Cash,Personal,1,43.9,43.9,1
Standard,West,Bank Transfer,Family,24,76.8,1843.2,0
Enterprise,North,Credit Card,Business,62,146.5,9083.0,0
Basic,Central,Cash,Personal,3,39.4,118.2,1
Premium,East,Credit Card,Family,37,119.7,4428.9,0
Standard,South,PayPal,Personal,21,73.5,1543.5,0
Basic,North,Cash,Student,4,36.5,146.0,1
Enterprise,West,Credit Card,Business,59,143.2,8448.8,0
Basic,South,Cash,Personal,2,42.0,84.0,1
Standard,Central,Bank Transfer,Personal,25,78.6,1965.0,0
Premium,North,Credit Card,Business,45,121.1,5449.5,0
Basic,East,Cash,Personal,5,37.9,189.5,1
Enterprise,South,Credit Card,Business,63,147.6,9298.8,0
Standard,West,PayPal,Family,23,80.4,1849.2,0
Basic,Central,Cash,Student,3,34.7,104.1,1
Premium,East,Credit Card,Family,44,123.8,5447.2,0
Basic,North,Cash,Personal,6,41.3,247.8,1
Standard,South,Bank Transfer,Personal,20,74.9,1498.0,0
Enterprise,Central,Credit Card,Business,56,144.4,8086.4,0
Basic,West,Cash,Personal,1,44.4,44.4,1
Premium,North,Credit Card,Business,48,125.6,6028.8,0
Standard,East,PayPal,Personal,27,81.2,2192.4,0
Basic,South,Cash,Student,4,35.9,143.6,1
Enterprise,West,Credit Card,Business,61,148.0,9028.0,0
Basic,Central,Cash,Personal,2,40.8,81.6,1
Standard,North,Bank Transfer,Family,29,83.9,2433.1,0
Premium,South,Credit Card,Family,42,117.3,4926.6,0
Basic,East,Cash,Personal,5,38.7,193.5,1
Enterprise,North,Credit Card,Business,64,147.1,9414.4,0
Standard,West,PayPal,Personal,22,75.1,1652.2,0
Basic,Central,Cash,Student,3,36.0,108.0,1
Premium,East,Credit Card,Business,46,124.5,5727.0,0
Basic,South,Cash,Personal,6,39.2,235.2,1
Standard,Central,Bank Transfer,Personal,24,77.3,1855.2,0
Enterprise,East,Credit Card,Business,57,145.8,8310.6,0
Basic,North,Cash,Personal,1,43.6,43.6,1
Premium,West,Credit Card,Family,39,118.9,4637.1,0
Standard,South,PayPal,Personal,28,82.1,2298.8,0
Basic,East,Cash,Student,4,34.5,138.0,1
Enterprise,Central,Credit Card,Business,60,146.0,8760.0,0
Basic,West,Cash,Personal,5,41.7,208.5,1
Standard,North,Bank Transfer,Family,26,80.7,2098.2,0
Premium,Central,Credit Card,Business,43,120.6,5185.8,0
Basic,South,Cash,Personal,2,39.6,79.2,1
Enterprise,East,Credit Card,Business,58,143.9,8346.2,0
Standard,West,PayPal,Personal,23,76.4,1757.2,0
Basic,North,Cash,Student,3,37.2,111.6,1
Premium,South,Credit Card,Family,47,123.1,5785.7,0
Basic,Central,Cash,Personal,6,40.4,242.4,1
Standard,East,Bank Transfer,Personal,19,71.8,1364.2,0
Enterprise,West,Credit Card,Business,62,147.3,9132.6,0
Basic,South,Cash,Personal,1,44.1,44.1,1
Premium,North,Credit Card,Business,45,122.8,5526.0,0
Standard,Central,PayPal,Family,27,81.5,2200.5,0
Basic,East,Cash,Student,4,35.3,141.2,1
Enterprise,North,Credit Card,Business,59,144.7,8537.3,0
Basic,West,Cash,Personal,2,42.6,85.2,1
Standard,South,Bank Transfer,Personal,25,78.0,1950.0,0
Premium,East,Credit Card,Family,41,119.0,4879.0,0
Basic,Central,Cash,Personal,5,38.3,191.5,1
Enterprise,South,Credit Card,Business,63,148.5,9355.5,0
Standard,North,PayPal,Personal,21,73.9,1551.9,0
Basic,West,Cash,Student,3,36.7,110.1,1
Premium,Central,Credit Card,Business,48,125.0,6000.0,0
Basic,East,Cash,Personal,6,39.8,238.8,1
Standard,West,Bank Transfer,Family,28,82.5,2310.0,0
Enterprise,Central,Credit Card,Business,56,145.3,8136.8,0
