age,tenure,monthly_charges,total_charges,number_of_services,support_calls,contract_months,payment_delay_days,churn
45,24,89.5,2148.0,5,2,12,0,0
32,6,120.3,721.8,7,8,0,15,1
58,48,65.2,3129.6,3,1,24,0,0
29,12,95.8,1149.6,6,5,6,8,1
67,60,72.4,4344.0,4,0,24,0,0
41,18,110.5,1989.0,8,7,0,22,1
53,36,78.9,2840.4,5,2,12,0,0
25,3,135.2,405.6,7,9,0,18,1
62,54,68.7,3709.8,3,1,24,0,0
38,15,98.3,1474.5,6,6,0,12,1
71,66,55.8,3682.8,2,0,24,0,0
27,8,115.6,924.8,8,8,0,20,1
49,30,82.1,2463.0,5,3,12,2,0
34,10,125.4,1254.0,7,7,0,25,1
56,42,70.5,2961.0,4,1,18,0,0
30,5,130.8,654.0,8,10,0,28,1
64,57,63.2,3602.4,3,0,24,0,0
43,21,92.7,1946.7,6,4,12,5,0
26,7,118.9,832.3,7,9,0,16,1
60,51,66.8,3406.8,3,1,24,0,0
37,14,102.5,1435.0,6,5,6,10,1
69,63,58.4,3679.2,2,0,24,0,0
31,9,122.3,1100.7,8,8,0,19,1
52,33,80.6,2659.8,5,2,12,1,0
28,4,128.7,514.8,7,10,0,30,1
66,59,61.9,3652.1,3,0,24,0,0
40,17,96.8,1645.6,6,6,0,14,1
54,39,75.3,2936.7,4,2,18,0,0
33,11,108.2,1190.2,7,7,0,21,1
63,55,64.7,3558.5,3,1,24,0,0
46,25,87.4,2185.0,5,3,12,3,0
29,6,119.5,717.0,8,9,0,17,1
59,49,67.3,3297.7,3,1,24,0,0
36,13,105.9,1376.7,6,6,0,11,1
70,65,57.1,3711.5,2,0,24,0,0
42,20,91.2,1824.0,5,4,12,6,0
27,5,132.4,662.0,8,9,0,26,1
61,52,65.5,3406.0,3,1,24,0,0
39,16,99.7,1595.2,6,5,6,9,1
68,62,59.8,3707.6,2,0,24,0,0
44,23,88.6,2037.8,5,3,12,2,0
30,8,116.3,930.4,7,8,0,23,1
57,45,71.8,3231.0,4,1,18,0,0
35,12,111.7,1340.4,7,7,0,13,1
65,58,62.5,3625.0,3,0,24,0,0
48,28,84.9,2377.2,5,2,12,1,0
26,4,126.8,507.2,8,10,0,27,1
72,67,56.2,3765.4,2,0,24,0,0
41,19,94.3,1791.7,6,4,12,7,0
28,7,121.5,850.5,7,9,0,18,1
55,41,73.6,3017.6,4,2,18,0,0
32,10,113.8,1138.0,7,8,0,22,1
47,27,86.1,2324.7,5,3,12,2,0
38,15,107.4,1611.0,6,6,0,15,1
74,69,54.3,3746.7,2,0,24,0,0
50,31,81.7,2532.7,5,2,12,0,0
29,6,124.9,749.4,8,9,0,24,1
62,53,66.1,3503.3,3,1,24,0,0
37,14,103.6,1450.4,6,5,6,12,1
51,34,79.2,2692.8,4,2,18,1,0
31,9,114.7,1032.3,7,8,0,20,1
67,61,60.4,3684.4,3,0,24,0,0
43,22,90.5,1991.0,5,3,12,4,0
25,3,129.3,387.9,8,10,0,29,1
58,47,69.8,3280.6,3,1,24,0,0
34,11,109.8,1207.8,7,7,0,16,1
73,68,55.6,3780.8,2,0,24,0,0
46,26,85.3,2217.8,5,3,12,2,0
30,8,117.2,937.6,7,8,0,19,1
64,56,63.9,3578.4,3,1,24,0,0
39,16,101.4,1622.4,6,5,6,10,1
52,35,78.4,2744.0,4,2,18,1,0
28,5,127.6,638.0,8,9,0,25,1
69,64,58.7,3756.8,2,0,24,0,0
42,21,92.1,1934.1,5,4,12,5,0
33,10,112.5,1125.0,7,7,0,21,1
59,50,67.9,3395.0,3,1,24,0,0
45,24,88.8,2131.2,5,2,12,1,0
27,6,120.7,724.2,8,9,0,23,1
63,55,64.2,3531.0,3,1,24,0,0
40,18,97.5,1755.0,6,6,0,13,1
71,66,57.4,3788.4,2,0,24,0,0
48,29,83.6,2424.4,5,2,12,2,0
26,4,131.5,526.0,8,10,0,28,1
56,43,72.7,3126.1,4,1,18,0,0
35,13,106.3,1381.9,6,6,0,14,1
66,59,61.3,3616.7,3,0,24,0,0
44,23,89.9,2067.7,5,3,12,3,0
31,9,115.8,1042.2,7,8,0,22,1
60,51,66.5,3391.5,3,1,24,0,0
38,15,100.2,1503.0,6,5,6,11,1
53,37,77.1,2852.7,4,2,18,1,0
29,7,123.4,863.8,7,9,0,19,1
68,62,59.1,3664.2,2,0,24,0,0
41,20,93.7,1874.0,5,4,12,6,0
24,2,133.9,267.8,8,10,0,30,1
57,46,70.9,3261.4,4,1,18,0,0
36,14,104.8,1467.2,6,6,0,15,1
65,58,62.8,3642.4,3,0,24,0,0
49,30,82.5,2475.0,5,2,12,1,0
30,8,118.6,948.8,7,8,0,24,1
72,67,56.8,3805.6,2,0,24,0,0
43,22,91.6,2015.2,5,3,12,4,0
28,6,122.1,732.6,8,9,0,17,1
61,52,65.8,3421.6,3,1,24,0,0
39,17,98.9,1681.3,6,5,6,9,1
54,38,76.7,2914.6,4,2,18,0,0
32,10,110.4,1104.0,7,7,0,20,1
47,27,86.8,2343.6,5,3,12,2,0
25,3,130.2,390.6,8,10,0,26,1
63,54,64.4,3477.6,3,1,24,0,0
40,18,96.1,1729.8,6,6,0,12,1
70,65,57.9,3763.5,2,0,24,0,0
46,25,87.9,2197.5,5,2,12,1,0
29,7,119.8,838.6,7,9,0,21,1
58,48,68.4,3283.2,3,1,24,0,0
37,15,102.7,1540.5,6,5,6,10,1
51,33,80.3,2649.9,4,2,18,1,0
31,9,114.2,1027.8,7,8,0,23,1
67,60,60.7,3642.0,3,0,24,0,0
44,23,90.1,2072.3,5,3,12,3,0
26,5,128.4,642.0,8,9,0,27,1
62,53,66.9,3545.7,3,1,24,0,0
38,16,100.8,1612.8,6,6,0,14,1
55,40,74.5,2980.0,4,2,18,0,0
33,11,108.9,1197.9,7,7,0,18,1
69,63,59.3,3735.9,2,0,24,0,0
42,21,92.9,1950.9,5,4,12,5,0
27,6,121.3,727.8,8,9,0,22,1
64,56,63.4,3550.4,3,1,24,0,0
41,19,95.6,1816.4,6,4,12,8,0
52,35,79.8,2793.0,5,2,18,1,0
30,8,116.9,935.2,7,8,0,25,1
73,68,55.1,3746.8,2,0,24,0,0
45,24,88.2,2116.8,5,2,12,2,0
28,5,125.7,628.5,8,10,0,28,1
