filepath,size_bytes,created_time,modified_time,accessed_time
/tmp/exploit_tool.py,45632,2024-01-15 14:23:15,2024-01-15 14:23:15,2024-01-15 14:25:00
/home/user/document.txt,8192,2024-01-10 09:00:00,2024-01-12 11:30:00,2024-01-15 10:00:00
/dev/shm/.hidden_script.sh,12288,2024-01-15 15:45:30,2024-01-15 15:45:30,2024-01-15 15:46:00
/var/tmp/reverse_shell.pl,23456,2024-01-15 16:15:22,2024-01-15 16:15:22,2024-01-15 16:20:00
/usr/bin/ls,102400,2024-01-05 08:00:00,2024-01-05 08:00:00,2024-01-15 09:30:00
/etc/passwd,4096,2024-01-01 10:00:00,2024-01-08 14:20:00,2024-01-15 12:00:00
/home/user/work.docx,15360,2024-01-15 14:30:00,2024-01-15 14:30:00,2024-01-15 14:35:00
/tmp/malware.sh,8704,2024-01-15 14:45:12,2024-01-15 14:45:12,2024-01-15 14:50:00
/var/tmp/backdoor.php,18432,2024-01-15 15:12:45,2024-01-15 15:12:45,2024-01-15 15:15:00
/home/user/notes.txt,6144,2024-01-15 15:00:00,2024-01-15 15:00:00,2024-01-15 15:10:00
/dev/shm/payload.py,34816,2024-01-15 16:05:33,2024-01-15 16:05:33,2024-01-15 16:08:00
/home/user/.sneaky.sh,9216,2024-01-15 14:55:21,2024-01-15 14:55:21,2024-01-15 15:00:00
/opt/.exploit.py,27648,2024-01-15 15:22:10,2024-01-15 15:22:10,2024-01-15 15:25:00
/tmp/shell_reverse.py,41984,2024-01-15 16:20:45,2024-01-15 16:20:45,2024-01-15 16:22:00
/var/tmp/backdoor_access.sh,13312,2024-01-15 14:18:30,2024-01-15 14:18:30,2024-01-15 14:20:00
/usr/bin/bash,1048576,2024-01-03 12:00:00,2024-01-03 12:00:00,2024-01-15 11:00:00
/etc/shadow,3072,2024-01-01 10:00:00,2024-01-09 16:30:00,2024-01-15 08:00:00
/home/user/pictures/photo.jpg,524288,2024-01-12 14:00:00,2024-01-12 14:00:00,2024-01-14 20:00:00
/var/log/syslog,204800,2024-01-01 00:00:00,2024-01-16 10:00:00,2024-01-16 10:00:00
/home/user/downloads/file.pdf,98304,2024-01-13 16:45:00,2024-01-13 16:45:00,2024-01-14 09:00:00
