transaction_id,customer_id,date,amount,category
TX001,CUST123,01/15/2024,$45.99,groceries
TX002,,01/15/2024,23.50,transport
TX003,CUST456,01/16/2024,$102.00,electronics
TX004,CUST789,01/16/2024,15.75,dining
TX005,,02/01/2024,$89.99,entertainment
TX006,CUST234,02/03/2024,$250.00,electronics
TX007,CUST567,02/10/2024,12.99,groceries
TX008,CUST123,02/14/2024,$67.50,dining
TX009,CUST890,03/05/2024,45.00,utilities
TX010,CUST456,03/12/2024,$189.99,electronics
TX011,,03/15/2024,8.50,transport
TX012,CUST234,04/01/2024,$125.00,healthcare
TX013,CUST789,04/10/2024,34.99,groceries
TX014,CUST567,05/05/2024,$299.99,electronics
TX015,CUST890,05/20/2024,55.75,dining
TX016,CUST123,06/15/2024,$78.50,entertainment
TX017,CUST456,07/04/2024,22.00,transport
TX018,CUST234,08/12/2024,$145.99,healthcare
TX019,CUST789,09/18/2024,95.50,utilities
TX020,CUST567,10/25/2024,$425.00,electronics
